Quarter,Time,Tm,Detail,WAS,DET
1.0,1:20,Lions,Bryant Johnson 21 yard pass from Matthew Stafford (Jason Hanson kick),0,7
2.0,8:30,Lions,Jason Hanson 39 yard field goal,0,10
,0:00,Lions,Jason Hanson 26 yard field goal,0,13
3.0,13:15,Redskins,Santana Moss 57 yard pass from Jason Campbell (Shaun Suisham kick),7,13
4.0,5:26,Lions,Maurice Morris 2 yard rush (pass failed),7,19
,2:36,Redskins,Rock Cartwright 4 yard pass from Jason Campbell (Shaun Suisham kick),14,19
