Unnamed: 0,KAN,OAK
First Downs,19,32
Rush-Yds-TDs,23-94-0,21-88-1
Cmp-Att-Yd-TD-INT,25-36-342-3-0,29-52-417-3-0
Sacked-Yards,1-11,0-0
Net Pass Yards,331,417
Total Yards,425,505
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,8-108,10-97
Third Down Conv.,8-15,6-13
Fourth Down Conv.,0-0,1-1
Time of Possession,30:36,29:24
