Quarter,Time,Tm,Detail,NYG,PHI
1.0,8:17,Giants,Ron Dayne 3 yard rush (Steve Christie kick),7,0
,6:18,Eagles,Terrell Owens 20 yard pass from Donovan McNabb (David Akers kick),7,7
,2:17,Eagles,Terrell Owens 3 yard pass from Donovan McNabb (David Akers kick),7,14
2.0,6:15,Eagles,L.J. Smith 14 yard pass from Donovan McNabb (David Akers kick),7,21
,2:14,Eagles,David Akers 45 yard field goal,7,24
,1:14,Giants,Steve Christie 53 yard field goal,10,24
3.0,5:22,Eagles,Terrell Owens 12 yard pass from Donovan McNabb (David Akers kick),10,31
4.0,2:25,Giants,Tiki Barber 72 yard rush (Steve Christie kick),17,31
