Unnamed: 0,NYG,PHI
First Downs,19,21
Rush-Yds-TDs,23-170-2,27-141-0
Cmp-Att-Yd-TD-INT,19-37-269-0-0,26-36-330-4-0
Sacked-Yards,5-26,2-17
Net Pass Yards,243,313
Total Yards,413,454
Fumbles-Lost,3-1,0-0
Turnovers,1,0
Penalties-Yards,5-30,8-50
Third Down Conv.,5-15,7-13
Fourth Down Conv.,1-2,0-0
Time of Possession,27:50,32:10
