Unnamed: 0,ARI,SFO
First Downs,16,20
Rush-Yds-TDs,21-109-1,38-149-1
Cmp-Att-Yd-TD-INT,25-41-298-2-2,16-29-252-2-1
Sacked-Yards,1-4,2-14
Net Pass Yards,294,238
Total Yards,403,387
Fumbles-Lost,3-2,2-1
Turnovers,4,2
Penalties-Yards,6-38,4-35
Third Down Conv.,5-13,4-14
Fourth Down Conv.,0-1,1-1
Time of Possession,25:41,34:19
