Quarter,Time,Tm,Detail,ARI,SFO
1.0,9:37,49ers,Phil Dawson 35 yard field goal,0,3
,4:31,49ers,Phil Dawson 26 yard field goal,0,6
,3:06,Cardinals,Larry Fitzgerald 75 yard pass from Carson Palmer (Jay Feely kick),7,6
2.0,9:22,49ers,"Safety, Carson Palmer sacked in the end zone by Corey Lemonier.",7,8
,8:31,49ers,Vernon Davis 61 yard pass from Colin Kaepernick (Phil Dawson kick),7,15
,7:03,Cardinals,Andre Ellington 15 yard rush (Jay Feely kick),14,15
,1:55,49ers,Vernon Davis 35 yard pass from Colin Kaepernick (Phil Dawson kick),14,22
3.0,8:12,Cardinals,Michael Floyd 10 yard pass from Carson Palmer (pass failed),20,22
4.0,6:35,49ers,Kendall Hunter 6 yard rush (Phil Dawson kick),20,29
,4:15,49ers,Phil Dawson 44 yard field goal,20,32
