Quarter,Time,Tm,Detail,PHI,PIT
1.0,8:56,Steelers,Hines Ward 16 yard rush (Jeff Reed kick),0,7
,2:27,Steelers,Hines Ward 20 yard pass from Ben Roethlisberger (Jeff Reed kick),0,14
2.0,10:51,Steelers,Jay Riemersma 2 yard pass from Ben Roethlisberger (Jeff Reed kick),0,21
,6:14,Eagles,David Akers 33 yard field goal,3,21
3.0,2:36,Steelers,Jeff Reed 42 yard field goal,3,24
4.0,7:58,Steelers,Jeff Reed 31 yard field goal,3,27
