Unnamed: 0,PHI,PIT
First Downs,7,25
Rush-Yds-TDs,9-23-0,56-252-1
Cmp-Att-Yd-TD-INT,15-24-109-0-1,11-18-183-2-1
Sacked-Yards,4-19,2-15
Net Pass Yards,90,168
Total Yards,113,420
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,5-25,4-20
Third Down Conv.,0-8,8-15
Fourth Down Conv.,0-1,2-3
Time of Possession,18:11,41:49
