Quarter,Time,Down,ToGo,Location,PHI,PIT,Detail,EPB,EPA
1,7:48,3,4,PHI 26,0,7,Donovan McNabb sacked by Larry Foote for -6 yards,-0.160,-2.030
1,7:36,4,10,PHI 20,0,7,"Dirk Johnson punts 49 yards, returned by Antwaan Randle El for 5 yards (tackle by Quintin Mikell)",-2.030,-1.330
1,7:20,1,10,PIT 36,0,7,Ben Roethlisberger pass complete to Plaxico Burress for 12 yards (tackle by Brian Dawkins),1.330,2.130
1,6:45,1,10,PIT 48,0,7,Jerome Bettis left tackle for no gain (tackle by Ike Reese),2.130,1.580
1,6:06,2,10,PIT 48,0,7,Jerome Bettis left guard for -3 yards (tackle by Derrick Burgess),1.580,0.500
1,5:26,3,13,PIT 45,0,7,Ben Roethlisberger pass complete to Verron Haynes for 18 yards (tackle by Dhani Jones),0.500,3.120
1,4:38,1,10,PHI 37,0,7,Jerome Bettis up the middle for 9 yards (tackle by Jeremiah Trotter and Michael Lewis),3.120,3.790
1,4:00,2,1,PHI 28,0,7,Verron Haynes up the middle for 2 yards (tackle by Jerome McDougle),3.790,3.840
1,3:20,1,10,PHI 26,0,7,Ben Roethlisberger pass incomplete intended for Dan Kreider,3.840,3.300
1,3:14,2,10,PHI 26,0,7,Verron Haynes right tackle for 6 yards (tackle by Jeremiah Trotter),3.300,3.400
1,2:33,3,4,PHI 20,0,13,"Ben Roethlisberger pass complete to Hines Ward for 20 yards, touchdown",3.400,7.000
1,,,,,0,14,"Penalty on Aaron Smith: False Start, 5 yards (no play)",0.000,0.000
1,,,,PHI 2,0,14,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,0,14,"Jeff Reed kicks off 67 yards, returned by Dexter Wynn for 21 yards (tackle by Russell Stuvaints)",0.000,0.540
1,2:20,1,10,PHI 24,0,14,"Penalty on L.J. Smith: False Start, 5 yards (no play)",0.540,0.130
1,2:21,1,15,PHI 19,0,14,Dorsey Levens up the middle for 3 yards (tackle by Troy Polamalu and Chris Hoke),0.130,-0.270
1,1:45,2,12,PHI 22,0,14,Donovan McNabb pass incomplete intended for Terrell Owens,-0.270,-0.960
1,1:37,3,12,PHI 22,0,14,Donovan McNabb pass incomplete intended for Terrell Owens,-0.960,-1.900
1,1:31,4,12,PHI 22,0,14,"Dirk Johnson punts 42 yards, returned by Antwaan Randle El for 2 yards (tackle by Keith Adams)",-1.900,-1.470
1,1:20,1,10,PIT 38,0,14,Ben Roethlisberger pass incomplete intended for Plaxico Burress (defended by Michael Lewis),1.470,0.920
1,1:13,2,10,PIT 38,0,14,Jerome Bettis up the middle for 5 yards (tackle by Hollis Thomas and Mark Simoneau),0.920,0.890
1,0:34,3,5,PIT 43,0,14,"Ben Roethlisberger pass incomplete intended for Jerame Tuman. Penalty on Jevon Kearse: Defensive Offside, 5 yards (no play)",0.890,2.130
1,0:27,1,10,PIT 48,0,14,Jerome Bettis up the middle for 3 yards (tackle by Derrick Burgess),2.130,1.990
Quarter,Time,Down,ToGo,Location,PHI,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,PHI 49,0,14,Jerome Bettis right guard for 8 yards (tackle by Brian Dawkins and Dhani Jones),1.990,2.850
2,14:19,1,10,PHI 41,0,14,Jerome Bettis left end for 9 yards (tackle by Brian Dawkins and Sheldon Brown),2.850,3.520
2,13:38,2,1,PHI 32,0,14,Verron Haynes up the middle for 8 yards (tackle by Brian Dawkins and Sheldon Brown),3.520,3.970
2,13:00,1,10,PHI 24,0,14,Ben Roethlisberger sacked by Sam Rayburn for -7 yards,3.970,2.490
2,12:25,2,17,PHI 31,0,14,Ben Roethlisberger pass complete to Verron Haynes for 26 yards (tackle by Hollis Thomas),2.490,6.060
2,11:35,,,,0,14,Timeout #1 by Pittsburgh Steelers,0.000,6.060
2,11:35,1,5,PHI 5,0,14,Jerome Bettis right guard for 3 yards (tackle by Brian Dawkins),6.060,5.720
2,10:58,2,2,PHI 2,0,20,"Ben Roethlisberger pass complete to Jay Riemersma for 2 yards, touchdown",5.720,7.000
2,,,,PHI 2,0,21,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,0,21,Jeff Reed kicks off 60 yards,0.000,1.600
2,10:51,1,10,PHI 40,0,21,Brian Westbrook right end for 8 yards (tackle by Willie J. Williams and Chris Hope),1.600,2.130
2,10:15,2,2,PHI 48,0,21,Donovan McNabb pass complete to L.J. Smith for 10 yards (tackle by Willie J. Williams),2.130,2.790
2,9:39,1,10,PIT 42,0,21,Dorsey Levens up the middle for 1 yard (tackle by Joey Porter and James Farrior),2.790,2.380
2,9:06,2,9,PIT 41,0,21,Donovan McNabb pass complete to Todd Pinkston for 10 yards (tackle by Ike Taylor),2.380,3.510
2,9:06,1,10,PIT 31,0,21,,3.510,4.240
2,8:27,1,5,PIT 26,0,21,Donovan McNabb pass complete to Chad Lewis for 7 yards (tackle by Clark Haggans),4.240,4.310
2,7:44,1,10,PIT 19,0,21,Donovan McNabb pass incomplete intended for Terrell Owens,4.310,3.750
2,7:40,2,10,PIT 19,0,21,Brian Westbrook right end for 1 yard (tackle by Aaron Smith and Kendrell Bell),3.750,3.140
2,7:00,3,9,PIT 18,0,21,Donovan McNabb pass complete to Terrell Owens for 3 yards (tackle by Troy Polamalu),3.140,2.470
2,6:11,4,6,PIT 15,3,21,David Akers 33 yard field goal good,2.470,3.000
2,,,,PHI 30,3,21,"David Akers kicks off 69 yards, returned by Ricardo Colclough for 22 yards (tackle by Ike Reese)",0.000,0.480
2,6:09,1,10,PIT 23,3,21,Jerome Bettis left tackle for 3 yards (tackle by Derrick Burgess and Sheldon Brown),0.480,0.340
2,5:32,2,7,PIT 26,3,21,Jerome Bettis up the middle for 5 yards (tackle by Darwin Walker and Mark Simoneau),0.340,0.300
2,4:51,3,2,PIT 31,3,21,Ben Roethlisberger pass complete to Hines Ward for 12 yards (tackle by Lito Sheppard),0.300,1.800
2,4:06,1,10,PIT 43,3,21,Jerome Bettis up the middle for 2 yards (tackle by Derrick Burgess and Mark Simoneau),1.800,1.520
2,3:26,2,8,PIT 45,3,21,Ben Roethlisberger pass incomplete intended for Plaxico Burress is intercepted by Brian Dawkins at PHI-7 and returned for 32 yards (tackle by Oliver Ross),1.520,-1.530
2,3:10,1,10,PHI 39,3,21,Donovan McNabb pass complete to Terrell Owens for 4 yards (tackle by James Farrior),1.530,1.530
2,2:39,2,6,PHI 43,3,21,Donovan McNabb pass complete to Terrell Owens for 4 yards (tackle by Ricardo Colclough),1.530,1.360
2,2:00,3,2,PHI 47,3,21,Donovan McNabb pass complete to Brian Westbrook for -4 yards (tackle by James Farrior),1.360,-0.520
2,1:14,4,6,PHI 43,3,21,"Dirk Johnson punts 51 yards, returned by Antwaan Randle El for 10 yards (tackle by Jeremiah Trotter)",-0.520,0.140
2,1:03,1,10,PIT 16,3,21,Jerome Bettis up the middle for 5 yards (tackle by Darwin Walker),-0.140,0.150
2,0:22,2,5,PIT 21,3,21,Jerome Bettis up the middle for 4 yards (tackle by Corey Simon and Dhani Jones),0.150,-0.200
Quarter,Time,Down,ToGo,Location,PHI,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 30,3,21,"Jeff Reed kicks off 67 yards, returned by Roderick Hood for 29 yards (tackle by Ricardo Colclough)",0.000,1.070
3,14:54,1,10,PHI 32,3,21,Brian Westbrook left end for 13 yards (tackle by Chris Hope),1.070,1.930
3,14:26,1,10,PHI 45,3,21,Brian Westbrook right end for -1 yards (tackle by Aaron Smith),1.930,1.250
3,13:53,2,11,PHI 44,3,21,Donovan McNabb pass complete to Brian Westbrook for 6 yards (tackle by Clark Haggans),1.250,1.360
3,13:17,3,5,PIT 50,3,21,Brian Westbrook right end for -1 yards (tackle by James Farrior and Clark Haggans),1.360,-0.130
3,12:38,4,6,PHI 49,3,21,Dirk Johnson punts 42 yards,-0.130,0.280
3,12:29,1,10,PIT 14,3,21,Jerome Bettis left end for 3 yards (tackle by Sheldon Brown and Derrick Burgess),-0.280,-0.370
3,11:51,2,7,PIT 17,3,21,Verron Haynes left guard for 1 yard (tackle by Sheldon Brown and Darwin Walker),-0.370,-0.920
3,11:11,3,6,PIT 18,3,21,Ben Roethlisberger pass complete to Plaxico Burress for 11 yards (tackle by Lito Sheppard),-0.920,0.870
3,10:31,1,10,PIT 29,3,21,Jerome Bettis left tackle for 3 yards (tackle by Derrick Burgess),0.870,0.730
3,9:54,2,7,PIT 32,3,21,Jerome Bettis up the middle for no gain (tackle by Hollis Thomas),0.730,0.040
3,9:14,3,7,PIT 32,3,21,". Plaxico Burress fumbles, recovered by Plaxico Burress at PHI-21",0.040,4.170
3,8:48,1,10,PHI 21,3,21,Jerome Bettis left end for 6 yards (tackle by Darwin Walker and Sheldon Brown),4.170,4.550
3,8:26,2,4,PHI 15,3,21,Jerome Bettis up the middle for no gain (tackle by Hollis Thomas),4.550,3.810
3,7:43,3,4,PHI 15,3,21,Ben Roethlisberger pass incomplete intended for Plaxico Burress (defended by Hollis Thomas),3.810,2.520
3,7:40,4,4,PHI 15,3,21,Jeff Reed 33 yard field goal no good,2.520,-0.480
3,7:36,1,10,PHI 23,3,21,Donovan McNabb pass complete to Chad Lewis for 21 yards (tackle by Troy Polamalu),0.480,1.860
3,7:14,1,10,PHI 44,3,21,Donovan McNabb pass incomplete intended for Terrell Owens,1.860,1.320
3,7:09,2,10,PHI 44,3,21,Donovan McNabb pass complete to Terrell Owens for 13 yards (tackle by Troy Polamalu),1.320,2.720
3,6:34,1,10,PIT 43,3,21,Donovan McNabb pass complete to Terrell Owens for 20 yards (tackle by Troy Polamalu),2.720,4.040
3,5:54,1,10,PIT 23,3,21,Donovan McNabb pass incomplete intended for Dorsey Levens is intercepted by James Farrior at PIT-21 and returned for 41 yards (tackle by Brian Westbrook),4.040,-3.050
3,5:41,1,10,PHI 38,3,21,Jerome Bettis up the middle for 6 yards (tackle by Michael Lewis and Darwin Walker),3.050,3.320
3,4:58,2,4,PHI 32,3,21,Jerome Bettis left end for 1 yard (tackle by Sheldon Brown),3.320,2.740
3,4:13,3,3,PHI 31,3,21,Ben Roethlisberger pass incomplete intended for Hines Ward. Penalty on Jerame Tuman: Illegal Shift (Declined),2.740,1.380
3,4:09,4,3,PHI 31,3,21,"Ben Roethlisberger pass incomplete intended for Hines Ward (defended by Sheldon Brown). Penalty on Michael Lewis: Defensive Offside, 5 yards (no play)",1.380,3.840
3,4:05,1,10,PHI 26,3,21,Jerome Bettis left guard for 1 yard (tackle by Dhani Jones and Sam Rayburn),3.840,3.430
3,3:25,2,9,PHI 25,3,21,Jerome Bettis up the middle for 1 yard (tackle by Sam Rayburn and Keith Adams),3.430,2.870
3,2:45,,,,3,21,Timeout #1 by Philadelphia Eagles,0.000,2.870
3,2:45,3,8,PHI 24,3,21,Ben Roethlisberger pass incomplete intended for Verron Haynes,2.870,1.870
3,2:41,4,8,PHI 24,3,24,Jeff Reed 42 yard field goal good,1.870,3.000
3,,,,PIT 30,3,24,"Jeff Reed kicks off 70 yards, touchback",0.000,0.280
3,2:36,1,10,PHI 20,3,24,Donovan McNabb pass complete to Terrell Owens for 4 yards (tackle by Troy Polamalu),0.280,0.270
3,1:55,2,6,PHI 24,3,24,Donovan McNabb sacked by James Farrior for -6 yards,0.270,-1.330
3,1:24,3,12,PHI 18,3,24,Donovan McNabb pass incomplete intended for Todd Pinkston,-1.330,-2.240
3,1:19,4,12,PHI 18,3,24,"Dirk Johnson punts 30 yards, returned by Verron Haynes for 5 yards (tackle by Dhani Jones)",-2.240,-2.720
3,1:06,1,10,PHI 43,3,24,Jerome Bettis up the middle for 2 yards (tackle by Brian Dawkins),2.720,2.450
3,0:24,2,8,PHI 41,3,24,"Ben Roethlisberger for no gain. Ben Roethlisberger fumbles, recovered by Michael Lewis at PHI-47 (tackle by Ben Roethlisberger)",2.450,-2.060
3,0:19,1,10,PHI 47,3,24,Brian Westbrook up the middle for -3 yards (tackle by Kendrell Bell),2.060,1.110
Quarter,Time,Down,ToGo,Location,PHI,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,PHI 44,3,24,Donovan McNabb pass incomplete intended for Todd Pinkston (defended by Willie J. Williams),1.110,0.430
4,14:54,3,13,PHI 44,3,24,Donovan McNabb sacked by Willie J. Williams for -6 yards,0.430,-0.850
4,14:30,4,19,PHI 38,3,24,"Dirk Johnson punts 37 yards, returned by Antwaan Randle El for -1 yards (tackle by L.J. Smith)",-0.850,-0.540
4,14:20,1,10,PIT 24,3,24,Jerome Bettis up the middle for 7 yards (tackle by Brian Dawkins),0.540,0.940
4,13:39,2,3,PIT 31,3,24,Jerome Bettis for 24 yards (tackle by Jerome McDougle),0.940,2.590
4,13:04,1,10,PHI 45,3,24,Verron Haynes left guard for 12 yards (tackle by Brian Dawkins and Sheldon Brown),2.590,3.380
4,12:19,1,10,PHI 33,3,24,Verron Haynes up the middle for 1 yard (tackle by Hollis Thomas),3.380,2.970
4,11:35,2,9,PHI 32,3,24,Verron Haynes right tackle for 2 yards (tackle by Keith Adams and Dhani Jones),2.970,2.540
4,10:51,3,7,PHI 30,3,24,Antwaan Randle El right end for 12 yards (tackle by Jevon Kearse),2.540,4.370
4,10:16,1,10,PHI 18,3,24,Jerome Bettis up the middle for 1 yard (tackle by Brian Dawkins),4.370,3.940
4,9:33,2,9,PHI 17,3,24,Jerome Bettis left guard for 3 yards (tackle by Dhani Jones),3.940,3.630
4,8:49,3,6,PHI 14,3,24,"Penalty on Ben Roethlisberger: Delay of Game, 5 yards (no play)",3.630,2.970
4,8:22,3,11,PHI 19,3,24,Ben Roethlisberger pass complete to Antwaan Randle El for 6 yards (tackle by Ike Reese),2.970,2.620
4,8:01,4,5,PHI 13,3,27,Jeff Reed 31 yard field goal good,2.620,3.000
4,,,,PIT 30,3,27,"Jeff Reed kicks off 58 yards, returned by Roderick Hood for 45 yards (tackle by Sean Morey)",0.000,2.720
4,7:49,1,10,PIT 43,3,27,Donovan McNabb pass incomplete intended for Terrell Owens (defended by Aaron Smith),2.720,2.180
4,7:45,2,10,PIT 43,3,27,"Penalty on Chad Lewis: False Start, 5 yards (no play)",2.180,1.500
4,7:45,2,15,PIT 48,3,27,Donovan McNabb pass complete to Terrell Owens for 5 yards (tackle by Deshea Townsend),1.500,1.490
4,7:16,3,10,PIT 43,3,27,Donovan McNabb sacked by Clark Haggans for -1 yards. Penalty on Freddie Mitchell: Illegal Formation (Declined),1.490,0.330
4,6:51,4,11,PIT 44,3,27,Donovan McNabb pass incomplete intended for Terrell Owens (defended by Russell Stuvaints),0.330,-1.860
4,6:44,1,10,PIT 44,3,27,Jerome Bettis left tackle for 4 yards (tackle by Dhani Jones and Michael Lewis),1.860,1.860
4,6:01,2,6,PIT 48,3,27,Verron Haynes left tackle for 4 yards (tackle by Jeremiah Trotter and Nate Wayne),1.860,1.690
4,5:18,3,2,PHI 48,3,27,Verron Haynes up the middle for 3 yards (tackle by Ike Reese and Michael Lewis),1.690,2.590
4,4:34,1,10,PHI 45,3,27,Verron Haynes up the middle for 4 yards (tackle by Sheldon Brown),2.590,2.580
4,3:52,2,6,PHI 41,3,27,Willie Parker for 10 yards,2.580,3.510
4,3:45,1,10,PHI 31,3,27,Willie Parker right guard for 2 yards (tackle by Jerome McDougle),3.510,3.240
4,3:03,2,8,PHI 29,3,27,Willie Parker right tackle for 2 yards (tackle by Ike Reese),3.240,2.810
4,2:55,,,,3,27,Timeout #2 by Philadelphia Eagles,0.000,2.810
4,2:55,3,6,PHI 27,3,27,Verron Haynes right guard for 3 yards (tackle by Sheldon Brown),2.810,1.970
4,2:48,,,,3,27,Timeout #3 by Philadelphia Eagles,0.000,1.970
4,2:48,4,3,PHI 24,3,27,Ben Roethlisberger pass complete to Matt Cushing for 17 yards (tackle by Sheldon Brown),1.970,5.600
4,2:48,1,7,PHI 7,3,27,Ben Roethlisberger kneels for -1 yards,5.600,4.570
4,2:00,2,8,PHI 8,3,27,Ben Roethlisberger kneels for -2 yards,4.570,3.130
4,1:19,3,10,PHI 10,3,27,Ben Roethlisberger kneels for -2 yards,3.130,2.630
4,1:19,4,12,PHI 12,3,27,Ben Roethlisberger kneels for -1 yards,2.630,0.320
4,0:35,1,10,PHI 13,3,27,"Penalty on Travis Kirschke: Defensive Offside, 5 yards (no play)",-0.320,0.400
4,0:30,1,5,PHI 18,3,27,Reno Mahe right end for 2 yards (tackle by Travis Kirschke),0.400,0.220
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
