Unnamed: 0,NYJ,IND
First Downs,12,30
Rush-Yds-TDs,17-132-0,40-145-4
Cmp-Att-Yd-TD-INT,11-14-219-3-0,27-36-401-1-0
Sacked-Yards,3-27,1-8
Net Pass Yards,192,393
Total Yards,324,538
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,8-56,4-30
Third Down Conv.,1-7,7-14
Fourth Down Conv.,0-0,2-3
Time of Possession,21:08,38:52
