Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 63 yards, returned by Glenn Holt for 24 yards (tackle by Dennis Haley)",0.000,1.000
1,14:55,1,10,CIN 31,0,0,Carson Palmer pass complete short right to Chad Johnson for 16 yards (tackle by Chris McAlister and Dawan Landry),1.000,2.060
1,14:28,1,10,CIN 47,0,0,Rudi Johnson left guard for 1 yard (tackle by Ray Lewis),2.060,1.650
1,13:53,2,9,CIN 48,0,0,Carson Palmer pass incomplete short right intended for Chris Henry,1.650,0.960
1,13:48,3,9,CIN 48,0,0,Carson Palmer pass incomplete short middle intended for Chad Johnson,0.960,-0.190
1,13:42,4,9,CIN 48,0,0,"Kyle Larson punts 52 yards, touchback",-0.190,-0.280
1,13:34,1,10,BAL 20,0,0,Jamal Lewis middle for 15 yards (tackle by Madieu Williams),0.280,1.270
1,12:53,1,10,BAL 35,0,0,Jamal Lewis left guard for no gain (tackle by Justin Smith and Bryan Robinson),1.270,0.720
1,12:02,2,10,BAL 35,0,0,"Penalty on Steve McNair: Delay of Game, 5 yards (no play)",0.720,0.050
1,11:49,2,15,BAL 30,0,0,Jamal Lewis right tackle for 3 yards (tackle by Caleb Miller),0.050,-0.230
1,11:07,3,12,BAL 33,0,0,Steve McNair pass complete short right to Demetrius Williams for 7 yards (tackle by Keiwan Ratliff and Kevin Kaesviharn),-0.230,-0.720
1,10:32,4,5,BAL 40,0,0,Sam Koch punts 39 yards,-0.720,-0.340
1,10:20,1,10,CIN 21,0,0,Carson Palmer pass incomplete deep left intended for Chad Johnson (defended by Ed Reed),0.340,-0.200
1,10:12,2,10,CIN 21,0,0,Rudi Johnson left tackle for no gain (tackle by Ed Reed),-0.200,-0.890
1,9:33,3,10,CIN 21,0,0,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 9 yards (tackle by Samari Rolle),-0.890,-1.370
,,,,,,,"CIN challenged the ruling, and the play was upheld.",,
1,9:24,4,1,CIN 30,0,0,"Kyle Larson punts 45 yards, returned by B.J. Sams for no gain",-1.370,-0.610
1,9:16,1,10,BAL 25,0,0,Steve McNair pass complete short middle to Todd Heap for 15 yards (tackle by Rashad Jeanty),0.610,1.600
1,8:32,1,10,BAL 40,0,0,Jamal Lewis right end for -2 yards (tackle by Robert Geathers and Landon Johnson),1.600,0.780
1,7:46,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,0.780
1,7:46,2,12,BAL 38,0,0,Steve McNair pass complete short middle to Derrick Mason for 5 yards (tackle by Brian Simmons),0.780,0.760
1,7:06,3,7,BAL 43,0,0,Steve McNair pass incomplete intended for Todd Heap,0.760,-0.520
1,7:01,4,7,BAL 43,0,0,Sam Koch punts 43 yards (tackle by Gary Stills),-0.520,0.060
1,6:52,1,10,CIN 17,0,0,Rudi Johnson right guard for 2 yards (tackle by Bart Scott),-0.060,-0.250
1,6:18,2,8,CIN 19,0,0,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 8 yards (tackle by Ray Lewis and Adalius Thomas),-0.250,0.740
1,5:41,1,10,CIN 27,0,0,Jeremi Johnson middle for 3 yards (tackle by Terrell Suggs and Haloti Ngata),0.740,0.600
1,4:58,2,7,CIN 30,0,0,Rudi Johnson left tackle for 3 yards (tackle by Ray Lewis),0.600,0.300
1,4:18,3,4,CIN 33,0,0,Carson Palmer pass complete short middle to T.J. Houshmandzadeh for 6 yards (tackle by Corey Ivy),0.300,1.530
1,3:40,1,10,CIN 39,0,0,Carson Palmer pass complete short right to Rudi Johnson for 7 yards (tackle by Dawan Landry),1.530,1.930
1,3:23,2,3,CIN 46,0,0,Jeremi Johnson right guard for 2 yards (tackle by Trevor Pryce),1.930,1.490
1,2:45,3,1,CIN 48,0,0,Carson Palmer pass complete short left to Chad Johnson for 11 yards (tackle by Samari Rolle),1.490,2.850
1,2:01,1,10,BAL 41,0,0,Carson Palmer pass complete short middle to Chad Johnson for 11 yards (tackle by Dawan Landry),2.850,3.580
1,1:20,1,10,BAL 30,0,0,Carson Palmer pass complete short middle to Chad Johnson for 24 yards (tackle by Ed Reed),3.580,5.830
1,0:36,1,6,BAL 6,0,0,"Carson Palmer pass complete short right to Chad Johnson for 6 yards. Penalty on Chad Johnson: Offensive Pass Interfere, 10 yards (no play)",5.830,4.310
1,0:28,1,16,BAL 16,0,0,Carson Palmer pass incomplete deep left intended for Chris Henry (defended by Samari Rolle),4.310,3.340
1,0:22,2,16,BAL 16,0,0,Carson Palmer pass complete short right to Rudi Johnson for 10 yards (tackle by Bart Scott),3.340,4.040
Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,BAL 6,0,0,Carson Palmer pass incomplete short right intended for Kenny Watson,4.040,2.990
2,14:53,4,6,BAL 6,0,3,Shayne Graham 23 yard field goal good,2.990,3.000
2,,,,CIN 30,0,3,"Shayne Graham kicks off 72 yards, returned by B.J. Sams for 21 yards (tackle by John Busing). Penalty on Dennis Haley: Unnecessary Roughness, 9 yards",0.000,-0.380
2,14:43,1,10,BAL 10,0,3,Steve McNair pass complete short middle to Ovie Mughelli for 4 yards (tackle by Landon Johnson),-0.380,-0.460
2,14:06,2,6,BAL 14,0,3,Steve McNair pass complete to Mark Clayton for 6 yards (tackle by Caleb Miller),-0.460,0.280
2,13:29,1,10,BAL 20,0,3,Jamal Lewis left tackle for no gain (tackle by Landon Johnson and Bryan Robinson),0.280,-0.270
2,12:48,2,10,BAL 20,0,3,Steve McNair pass complete short right to Derrick Mason for 9 yards (tackle by Johnathan Joseph),-0.270,0.230
2,12:02,3,1,BAL 29,0,3,Jamal Lewis left guard for -1 yards (tackle by Dexter Jackson),0.230,-1.500
2,11:22,4,2,BAL 28,0,3,"Sam Koch punts 45 yards, returned by Keiwan Ratliff for 4 yards (tackle by Gary Stills)",-1.500,-1.000
2,11:10,1,10,CIN 31,0,3,Rudi Johnson left end for 3 yards (tackle by Dwan Edwards),1.000,0.870
2,10:26,2,7,CIN 34,0,3,Carson Palmer pass complete short right to T.J. Houshmandzadeh for 14 yards,0.870,2.130
2,9:52,1,10,CIN 48,0,3,Carson Palmer pass complete short middle to Chad Johnson for 11 yards (tackle by Adalius Thomas),2.130,2.850
2,9:13,1,10,BAL 41,0,3,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",2.850,2.520
2,8:58,1,15,BAL 46,0,3,Carson Palmer pass complete short middle to T.J. Houshmandzadeh for 9 yards (tackle by Ed Reed),2.520,2.850
