Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CHI 25,0,0,Justin Fields pass incomplete short right,0.610,0.060
1,14:54,2,10,CHI 25,0,0,Justin Fields left end for 11 yards (tackle by Jack Campbell),0.060,1.330
1,14:14,1,10,CHI 36,0,0,Justin Fields right tackle for 7 yards (tackle by Tracy Walker),1.330,1.740
1,13:48,2,3,CHI 43,0,0,Justin Fields pass complete short left to D.J. Moore for 14 yards (tackle by Jerry Jacobs),1.740,2.720
1,12:58,1,10,DET 43,0,0,Justin Fields pass complete short right to Cole Kmet for 11 yards (tackle by Alex Anzalone),2.720,3.450
1,12:21,1,10,DET 32,0,0,Justin Fields pass complete short right to Equanimeous St. Brown for 13 yards (tackle by Jerry Jacobs),3.450,4.310
1,11:38,1,10,DET 19,0,0,D'Onta Foreman left end for 4 yards (tackle by Derrick Barnes),4.310,4.350
1,10:59,2,6,DET 15,0,0,Justin Fields scrambles up the middle for 10 yards (tackle by Alex Anzalone),4.350,6.060
1,10:14,1,5,DET 5,0,0,D'Onta Foreman right tackle for 4 yards (tackle by Kerby Joseph and Alex Anzalone),6.060,5.910
1,9:30,,,,,,Timeout #1 by Chicago Bears,,
1,9:30,2,1,DET 1,0,0,Justin Fields pass incomplete short right intended for Cole Kmet. Penalty on Will Harris: Defensive Pass Interference (accepted) (no play),5.910,6.970
1,9:26,1,1,DET 1,6,0,"D'Onta Foreman right tackle for 1 yard, touchdown",6.970,7.000
1,9:23,,,DET 15,7,0,Cairo Santos kicks extra point good,0.000,0.000
1,9:23,,,CHI 35,7,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,9:23,1,10,DET 25,7,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Jaylon Johnson),0.610,1.140
1,8:46,2,2,DET 33,7,0,David Montgomery left end for 3 yards (tackle by Justin Jones and Tremaine Edmunds),1.140,1.330
1,8:16,1,10,DET 36,7,0,Jared Goff pass incomplete short middle,1.330,0.790
1,8:11,2,10,DET 36,7,0,David Montgomery up the middle for 5 yards (tackle by Andrew Billings and Jaquan Brisker),0.790,0.760
1,7:32,3,5,DET 41,7,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Kyler Gordon),0.760,2.260
1,6:55,1,10,DET 50,7,0,David Montgomery right end for 5 yards (tackle by Tremaine Edmunds),2.260,2.390
1,6:21,2,5,CHI 45,7,0,Jared Goff pass short right intended for Sam LaPorta is intercepted by Tyrique Stevenson at CHI-32 and returned for 5 yards (tackle by Brock Wright and Sam LaPorta),2.390,-1.400
1,6:14,1,10,CHI 37,7,0,Justin Fields left end for 6 yards (tackle by Derrick Barnes),1.400,1.670
1,5:37,2,4,CHI 43,7,0,Justin Fields pass complete short right to Cole Kmet for 6 yards (tackle by Benito Jones and Alex Anzalone),1.670,2.190
1,4:56,1,10,CHI 49,7,0,Justin Fields left tackle for 7 yards (tackle by Alex Anzalone),2.190,2.590
1,4:13,2,3,DET 44,7,0,Khalil Herbert right end for -2 yards (tackle by Derrick Barnes),2.590,1.620
1,3:28,3,5,DET 46,7,0,Justin Fields pass complete short left to Cole Kmet for 3 yards (tackle by Alex Anzalone),1.620,0.400
1,2:47,4,2,DET 43,7,0,Justin Fields pass complete short right to D.J. Moore for 5 yards,0.400,3.050
1,2:09,1,10,DET 38,7,0,D'Onta Foreman left end for -6 yards (tackle by Brian Branch),3.050,1.700
1,1:30,2,16,DET 44,7,0,Justin Fields pass incomplete deep middle intended for D.J. Moore,1.700,1.030
1,1:24,3,16,DET 44,7,0,Justin Fields pass incomplete short middle intended for Cole Kmet (defended by John Cominsky),1.030,0.330
1,1:18,4,16,DET 44,7,0,"Trenton Gill punts 44 yards, touchback.",0.330,-0.280
1,1:09,1,10,DET 20,7,0,Jahmyr Gibbs right end for no gain (tackle by Tyrique Stevenson and Montez Sweat),0.280,-0.270
1,0:34,2,10,DET 20,7,0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,-0.270,-0.960
1,0:32,3,10,DET 20,7,0,Jared Goff pass complete short left to Josh Reynolds for 11 yards (tackle by Eddie Jackson),-0.960,1.000
Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 31,7,0,"Jared Goff pass incomplete deep right intended for Josh Reynolds. Penalty on Jaylon Johnson: Defensive Pass Interference, 34 yards (accepted) (no play)",1.000,3.250
2,14:53,1,10,CHI 35,7,0,"Jahmyr Gibbs up the middle for no gain. Penalty on Colby Sorsdal: Offensive Holding, 10 yards (accepted) (no play)",3.250,2.590
2,14:38,1,20,CHI 45,7,0,Jared Goff pass short middle intended for Donovan Peoples-Jones is intercepted by T.J. Edwards at CHI-35 and returned for 2 yards (tackle by Malcolm Rodriguez),2.590,-1.400
2,14:30,1,10,CHI 37,7,0,Justin Fields left tackle for -2 yards (tackle by Brian Branch),1.400,0.590
2,13:43,2,12,CHI 35,7,0,"Penalty on CHI: Delay of Game, 5 yards (accepted) (no play)",0.590,-0.090
2,13:29,2,17,CHI 30,7,0,"Justin Fields pass complete short left to Tyler Scott for 4 yards. Tyler Scott fumbles (forced by Cameron Sutton), recovered by Alex Anzalone at CHI-34",-0.090,-3.310
2,13:18,1,10,CHI 34,7,0,Jared Goff scrambles up the middle for 4 yards (tackle by T.J. Edwards),3.310,3.310
2,12:40,2,6,CHI 30,7,0,David Montgomery right end for 3 yards (tackle by Justin Jones and T.J. Edwards),3.310,3.010
2,12:05,3,3,CHI 27,7,0,Jahmyr Gibbs right end for 14 yards (tackle by Terell Smith),3.010,4.710
2,11:24,1,10,CHI 13,7,0,David Montgomery right end for 4 yards (tackle by Tremaine Edmunds and T.J. Edwards),4.710,4.770
2,10:47,2,6,CHI 9,7,0,David Montgomery up the middle for 1 yard (tackle by Justin Jones),4.770,4.100
2,10:12,3,5,CHI 8,7,0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by Justin Jones),4.100,6.740
2,9:32,1,2,CHI 2,7,0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown (defended by Jaylon Johnson),6.740,5.720
2,9:28,2,2,CHI 2,7,6,"Jahmyr Gibbs left end for 2 yards, touchdown",5.720,7.000
2,9:23,,,CHI 15,7,7,Riley Patterson kicks extra point good,0.000,0.000
2,9:23,,,DET 35,7,7,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,9:23,1,10,CHI 25,7,7,Khalil Herbert up the middle for 1 yard (tackle by Jack Campbell and Quinton Bohanna),0.610,0.200
2,8:43,2,9,CHI 26,7,7,Khalil Herbert up the middle for 4 yards (tackle by Derrick Barnes),0.200,0.040
2,8:03,3,5,CHI 30,7,7,Justin Fields pass complete short left to Khalil Herbert for 5 yards (tackle by Brian Branch),0.040,1.270
2,7:22,1,10,CHI 35,7,7,Justin Fields pass complete deep left to Darnell Mooney for 24 yards (tackle by Tracy Walker),1.270,2.850
2,6:42,1,10,DET 41,7,7,Justin Fields pass complete short left to Equanimeous St. Brown for 6 yards (tackle by Cameron Sutton),2.850,3.050
2,6:21,2,5,DET 35,7,7,Khalil Herbert left tackle for 2 yards (tackle by Josh Paschal and Jack Campbell),3.050,2.680
2,5:47,3,2,DET 33,7,7,Justin Fields left end for 1 yard (tackle by Brian Branch and Jerry Jacobs),2.680,1.310
2,5:02,4,1,DET 32,7,7,Roschon Johnson up the middle for 5 yards (tackle by Derrick Barnes),1.310,3.780
2,4:25,1,10,DET 27,7,7,Justin Fields pass incomplete deep left intended for D.J. Moore (defended by Brian Branch),3.780,3.230
2,4:19,2,10,DET 27,7,7,D'Onta Foreman up the middle for -2 yards (tackle by Quinton Bohanna),3.230,2.280
2,3:34,3,12,DET 29,7,7,Justin Fields pass complete short left to D.J. Moore for 12 yards (tackle by Aidan Hutchinson),2.280,4.440
2,2:48,1,10,DET 17,7,7,Justin Fields left end for -2 yards (tackle by Cameron Sutton),4.440,3.600
2,2:03,2,12,DET 19,7,7,Justin Fields scrambles left tackle for 6 yards (tackle by Charles Harris),3.600,3.680
2,1:55,3,6,DET 13,7,7,Justin Fields pass incomplete short right intended for Khalil Herbert,3.680,2.590
2,1:51,4,6,DET 13,10,7,Cairo Santos 31 yard field goal good,2.590,3.000
2,1:47,,,CHI 35,10,7,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,1:47,1,10,DET 25,10,7,Jared Goff pass complete short middle to Amon-Ra St. Brown for 10 yards (tackle by Tremaine Edmunds),0.610,1.270
2,1:27,1,10,DET 35,10,7,Jared Goff pass complete short middle to Amon-Ra St. Brown for 13 yards (tackle by Kyler Gordon),1.270,2.130
2,1:06,1,10,DET 48,10,7,Jared Goff pass complete short middle to Jahmyr Gibbs for 9 yards (tackle by T.J. Edwards and Tremaine Edmunds),2.130,2.800
2,0:48,2,1,CHI 43,10,7,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,2.800,2.080
2,0:44,3,1,CHI 43,10,7,Jared Goff pass complete short middle to Jameson Williams for 12 yards (tackle by Eddie Jackson),2.080,3.510
2,0:39,,,,,,Timeout #1 by Detroit Lions,,
2,0:39,1,10,CHI 31,10,7,Jared Goff pass complete short right to Jahmyr Gibbs for 8 yards (tackle by T.J. Edwards),3.510,4.050
2,0:33,2,2,CHI 23,10,7,Jared Goff pass complete short right to Jahmyr Gibbs for 14 yards (tackle by Tyrique Stevenson),4.050,5.140
2,0:26,,,,,,Timeout #2 by Detroit Lions,,
2,0:26,1,9,CHI 9,10,7,Jared Goff pass incomplete short right,5.140,4.380
2,0:20,2,9,CHI 9,10,7,Jahmyr Gibbs up the middle for 2 yards (tackle by Kyler Gordon),4.380,3.810
2,0:16,,,,,,Timeout #3 by Detroit Lions,,
2,0:16,3,7,CHI 7,10,13,"Jared Goff pass complete short middle to Amon-Ra St. Brown for 7 yards, touchdown",3.810,7.000
2,0:11,,,CHI 15,10,14,Riley Patterson kicks extra point good,0.000,0.000
2,0:11,,,DET 35,10,14,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,0:11,1,10,CHI 25,10,14,Justin Fields kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,10,14,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DET 25,10,14,David Montgomery up the middle for 20 yards (tackle by Jaquan Brisker),0.610,1.930
3,14:26,1,10,DET 45,10,14,Jared Goff pass incomplete short left intended for Kalif Raymond,1.930,1.380
3,14:21,2,10,DET 45,10,14,David Montgomery right end for 8 yards (tackle by T.J. Edwards and Tremaine Edmunds),1.380,1.750
3,13:49,3,2,CHI 47,10,14,Jared Goff sacked by Jack Sanborn for -5 yards,1.750,-0.190
3,13:10,4,7,DET 48,10,14,"Jack Fox punts 37 yards, fair catch by Trent Taylor at CHI-15",-0.190,0.220
3,13:02,1,10,CHI 15,10,14,Justin Fields pass complete short right to D.J. Moore for 5 yards (tackle by Jack Campbell),-0.220,0.080
3,12:23,2,5,CHI 20,10,14,D'Onta Foreman left tackle for 13 yards (tackle by Aidan Hutchinson and Brian Branch),0.080,1.140
3,11:55,1,10,CHI 33,10,14,Justin Fields pass complete short right to D.J. Moore for 14 yards,1.140,2.060
3,11:11,1,10,CHI 47,10,14,Khalil Herbert up the middle for 6 yards (tackle by John Cominsky and Jerry Jacobs),2.060,2.330
