Unnamed: 0,CHI,DET
First Downs,25,23
Rush-Yds-TDs,46-183-1,22-115-2
Cmp-Att-Yd-TD-INT,16-23-169-1-0,23-35-236-2-3
Sacked-Yards,2-18,2-13
Net Pass Yards,151,223
Total Yards,334,338
Fumbles-Lost,2-1,1-1
Turnovers,1,4
Penalties-Yards,6-69,5-25
Third Down Conv.,5-13,8-11
Fourth Down Conv.,2-2,0-0
Time of Possession,40:24,19:36
