Quarter,Time,Tm,Detail,CHI,DET
1.0,9:23,Bears,D'Onta Foreman 1 yard rush (Cairo Santos kick),7,0
2.0,9:23,Lions,Jahmyr Gibbs 2 yard rush (Riley Patterson kick),7,7
,1:47,Bears,Cairo Santos 31 yard field goal,10,7
,0:11,Lions,Amon-Ra St. Brown 7 yard pass from Jared Goff (Riley Patterson kick),10,14
3.0,6:41,Bears,Cairo Santos 53 yard field goal,13,14
,4:41,Bears,D.J. Moore 39 yard pass from Justin Fields (Cairo Santos kick),20,14
4.0,14:12,Bears,Cairo Santos 40 yard field goal,23,14
,4:15,Bears,Cairo Santos 39 yard field goal,26,14
,2:59,Lions,Jameson Williams 32 yard pass from Jared Goff (Riley Patterson kick),26,21
,0:29,Lions,David Montgomery 1 yard rush (Sam LaPorta pass from Jared Goff),26,29
,0:22,Lions,Safety,26,31
