Unnamed: 0,TEN,NWE
First Downs,16,18
Rush-Yds-TDs,26-84-1,27-96-1
Cmp-Att-Yd-TD-INT,18-26-210-1-1,21-41-201-1-0
Sacked-Yards,3-10,0-0
Net Pass Yards,200,201
Total Yards,284,297
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,9-55,2-14
Third Down Conv.,7-13,7-16
Fourth Down Conv.,0-1,2-3
Time of Possession,31:58,28:02
