Quarter,Time,Tm,Detail,TEN,NWE
1.0,10:59,Patriots,Bethel Johnson 41 yard pass from Tom Brady (Adam Vinatieri kick),0,7
,7:31,Titans,Chris Brown 5 yard rush (Gary Anderson kick),7,7
2.0,13:46,Patriots,Antowain Smith 1 yard rush (Adam Vinatieri kick),7,14
3.0,4:14,Titans,Derrick Mason 11 yard pass from Steve McNair (Gary Anderson kick),14,14
4.0,4:06,Patriots,Adam Vinatieri 46 yard field goal,14,17
