Unnamed: 0,PIT,LVR
First Downs,17,19
Rush-Yds-TDs,31-105-0,19-69-0
Cmp-Att-Yd-TD-INT,16-28-235-2-0,28-44-324-2-3
Sacked-Yards,1-7,4-31
Net Pass Yards,228,293
Total Yards,333,362
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,6-45,7-60
Third Down Conv.,6-15,4-13
Fourth Down Conv.,0-0,1-2
Time of Possession,30:03,29:57
