Unnamed: 0,NOR,CAR
First Downs,14,15
Rush-Yds-TDs,32-111-1,37-178-1
Cmp-Att-Yd-TD-INT,15-29-102-0-1,14-23-162-1-0
Sacked-Yards,0-0,2-13
Net Pass Yards,102,149
Total Yards,213,327
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,4-35,3-29
Third Down Conv.,2-13,3-15
Fourth Down Conv.,1-1,1-2
Time of Possession,29:22,30:38
