Unnamed: 0,GNB,CHI
First Downs,23,17
Rush-Yds-TDs,32-120-2,24-83-1
Cmp-Att-Yd-TD-INT,17-30-244-0-2,19-38-233-1-3
Sacked-Yards,1-8,2-15
Net Pass Yards,236,218
Total Yards,356,301
Fumbles-Lost,2-0,1-0
Turnovers,2,3
Penalties-Yards,6-40,9-89
Third Down Conv.,2-11,1-13
Fourth Down Conv.,0-0,1-2
Time of Possession,34:04,25:56
