Quarter,Time,Tm,Detail,GNB,CHI
1.0,10:50,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),7,0
2.0,11:13,Packers,James Starks 4 yard rush (Mason Crosby kick),14,0
4.0,12:02,Bears,Chester Taylor 1 yard rush (Robbie Gould kick),14,7
,6:04,Packers,B.J. Raji 18 yard interception return (Mason Crosby kick),21,7
,4:43,Bears,Earl Bennett 35 yard pass from Caleb Hanie (Robbie Gould kick),21,14
