Quarter,Time,Tm,Detail,NOR,BAL
1.0,9:03,Saints,Jimmy Graham 18 yard pass from Drew Brees (Garrett Hartley kick),7,0
,4:43,Ravens,Ed Dickson 34 yard pass from Joe Flacco (Billy Cundiff kick),7,7
2.0,14:20,Ravens,Ray Rice 10 yard rush (Billy Cundiff kick),7,14
,10:05,Ravens,Ray Rice 17 yard pass from Joe Flacco (Billy Cundiff kick),7,21
,0:22,Saints,Jimmy Graham 1 yard pass from Drew Brees (Garrett Hartley kick),14,21
3.0,6:24,Saints,Garrett Hartley 47 yard field goal,17,21
,2:15,Ravens,Billy Cundiff 33 yard field goal,17,24
4.0,11:34,Saints,Lance Moore 15 yard pass from Drew Brees (Garrett Hartley kick),24,24
,10:03,Ravens,Billy Cundiff 32 yard field goal,24,27
,0:09,Ravens,Billy Cundiff 27 yard field goal,24,30
