Unnamed: 0,NOR,BAL
First Downs,21,17
Rush-Yds-TDs,14-27-0,39-208-1
Cmp-Att-Yd-TD-INT,29-46-267-3-1,10-20-172-2-0
Sacked-Yards,3-25,3-24
Net Pass Yards,242,148
Total Yards,269,356
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,6-68,10-68
Third Down Conv.,5-13,5-14
Fourth Down Conv.,0-1,1-1
Time of Possession,28:31,31:29
