Unnamed: 0,TEN,KAN
First Downs,23,19
Rush-Yds-TDs,31-202-1,16-69-1
Cmp-Att-Yd-TD-INT,19-31-205-2-1,24-33-264-2-0
Sacked-Yards,2-10,4-8
Net Pass Yards,195,256
Total Yards,397,325
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,8-50,8-68
Third Down Conv.,8-13,4-11
Fourth Down Conv.,0-0,0-1
Time of Possession,32:28,27:32
