Quarter,Time,Tm,Detail,TEN,KAN
1.0,7:37,Chiefs,Kareem Hunt 1 yard rush (Harrison Butker kick),0,7
,2:15,Chiefs,Travis Kelce 13 yard pass from Alex Smith (Harrison Butker kick),0,14
2.0,1:55,Titans,Ryan Succop 49 yard field goal,3,14
,0:03,Chiefs,Demarcus Robinson 14 yard pass from Alex Smith (Harrison Butker kick),3,21
3.0,6:31,Titans,Marcus Mariota 6 yard pass from Marcus Mariota (Ryan Succop kick),10,21
4.0,14:08,Titans,Derrick Henry 35 yard rush (pass failed),16,21
,6:06,Titans,Eric Decker 22 yard pass from Marcus Mariota,22,21
