Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 62 yards, returned by Scottie Phillips for 20 yards (tackle by Marcus Johnson)",0.000,0.480
1,14:55,1,10,HOU 23,0,0,David Johnson left tackle for 8 yards (tackle by Anthony Walker),0.480,1.010
1,14:23,2,2,HOU 31,0,0,Deshaun Watson pass complete short left to Brandin Cooks for 4 yards (tackle by Darius Leonard),1.010,1.270
1,13:47,1,10,HOU 35,0,0,David Johnson left end for 6 yards (tackle by Xavier Rhodes),1.270,1.530
1,13:11,2,4,HOU 41,0,0,David Johnson right tackle for 2 yards (tackle by Khari Willis),1.530,1.090
1,12:30,3,2,HOU 43,0,0,Deshaun Watson sacked by DeForest Buckner for -6 yards,1.090,-0.910
1,11:41,4,8,HOU 37,0,0,"Bryan Anger punts 57 yards, returned by Nyheim Hines for 13 yards (tackle by A.J. Moore)",-0.910,-0.150
1,11:28,1,10,IND 19,0,0,Philip Rivers pass incomplete deep left intended for Jonathan Taylor,0.150,-0.390
1,11:23,2,10,IND 19,0,0,Philip Rivers pass complete short right to Jonathan Taylor for 7 yards (tackle by Zach Cunningham and Keion Crossen),-0.390,-0.160
1,10:34,3,3,IND 26,0,0,Philip Rivers pass complete short middle to Jack Doyle for 7 yards (tackle by Zach Cunningham),-0.160,1.140
1,9:55,1,10,IND 33,0,0,Jonathan Taylor right guard for 5 yards (tackle by A.J. Moore and Zach Cunningham),1.140,1.270
1,9:10,2,5,IND 38,0,0,Jonathan Taylor left end for 2 yards (tackle by Vernon Hargreaves),1.270,0.830
1,8:26,3,3,IND 40,0,0,Philip Rivers pass complete short right to Zach Pascal for 13 yards (tackle by Vernon Hargreaves),0.830,2.460
1,7:47,1,10,HOU 47,0,0,Jonathan Taylor up the middle for 12 yards (tackle by Tyrell Adams and Eric Murray),2.460,3.250
1,7:11,1,10,HOU 35,0,0,Nyheim Hines left guard for 23 yards (tackle by Vernon Hargreaves),3.250,4.780
1,6:35,1,10,HOU 12,0,0,Philip Rivers pass complete short left to Jack Doyle for 7 yards (tackle by Lonnie Johnson),4.780,5.410
1,5:55,2,3,HOU 5,0,6,"Jonathan Taylor right tackle for 5 yards, touchdown",5.410,7.000
1,5:49,,,HOU 15,0,7,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,5:49,,,IND 35,0,7,"Rigoberto Sanchez kicks off 60 yards, returned by Scottie Phillips for 18 yards (tackle by Zaire Franklin)",0.000,0.480
1,5:43,1,10,HOU 23,0,7,Deshaun Watson right end for 1 yard (tackle by Khari Willis),0.480,0.070
1,5:23,2,9,HOU 24,0,7,David Johnson up the middle for 5 yards (tackle by Khari Willis and Darius Leonard),0.070,0.040
1,4:37,3,4,HOU 29,0,7,Deshaun Watson pass complete short left to Keke Coutee for 15 yards (tackle by Kenny Moore),0.040,1.860
1,4:04,1,10,HOU 44,0,7,Buddy Howell left guard for 7 yards (tackle by Xavier Rhodes and Darius Leonard),1.860,2.260
1,3:31,2,3,IND 49,0,7,Deshaun Watson pass incomplete short left intended for Chad Hansen (defended by Bobby Okereke),2.260,1.550
1,3:25,3,3,IND 49,0,7,"Deshaun Watson sacked by DeForest Buckner for -7 yards. Deshaun Watson fumbles (forced by DeForest Buckner), recovered by Justin Houston at HOU-42",1.550,-2.790
1,3:14,1,10,HOU 42,0,7,Philip Rivers pass complete short right to Mo Alie-Cox for 4 yards (tackle by Lonnie Johnson and Keion Crossen),2.790,2.780
1,2:29,2,6,HOU 38,0,7,Nyheim Hines right end for 1 yard (tackle by Zach Cunningham),2.780,2.210
1,1:43,3,5,HOU 37,0,7,Philip Rivers pass complete deep left to Zach Pascal for 26 yards (tackle by Eric Murray),2.210,4.840
1,0:57,1,10,HOU 11,0,13,"Philip Rivers pass complete short middle to Zach Pascal for 11 yards, touchdown",4.840,7.000
1,0:52,,,HOU 15,0,13,"Penalty on Ross Blacklock: Encroachment, 5 yards",1.000,0.000
1,0:52,,,HOU 15,0,14,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,0:52,,,IND 40,0,14,"Rigoberto Sanchez kicks off 51 yards, returned by Scottie Phillips for 11 yards (tackle by E.J. Speed)",0.000,0.280
1,0:49,1,10,HOU 20,0,14,David Johnson left end for 2 yards (tackle by Anthony Walker),0.280,0.000
1,0:04,2,8,HOU 22,0,14,Deshaun Watson pass complete short left to Brandin Cooks for 6 yards (tackle by Xavier Rhodes),0.000,0.100
Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,HOU 28,0,14,Deshaun Watson pass complete short left to Kahale Warring for 9 yards (tackle by Xavier Rhodes),0.100,1.400
2,14:26,1,10,HOU 37,0,14,Deshaun Watson pass incomplete deep right intended for Keke Coutee,1.400,0.860
2,14:20,2,10,HOU 37,0,14,Deshaun Watson pass complete short middle to Pharaoh Brown for 11 yards (tackle by Anthony Walker and Darius Leonard),0.860,2.130
2,13:52,1,10,HOU 48,0,14,Buddy Howell up the middle for 1 yard (tackle by Al-Quadin Muhammad and Taylor Stallworth),2.130,1.720
2,13:10,2,9,HOU 49,0,14,Deshaun Watson sacked by Denico Autry for -7 yards,1.720,0.100
2,12:27,3,16,HOU 42,0,14,Deshaun Watson pass complete short right to Keke Coutee for 11 yards (tackle by Bobby Okereke and DeForest Buckner),0.100,0.130
2,11:51,4,5,IND 47,0,14,"Bryan Anger punts 38 yards, fair catch by Nyheim Hines at IND-9",0.130,0.380
2,11:43,1,10,IND 9,0,14,Philip Rivers pass complete short right to T.Y. Hilton for 7 yards (tackle by Zach Cunningham),-0.380,-0.160
2,11:06,2,3,IND 16,0,14,Jonathan Taylor up the middle for 12 yards (tackle by Lonnie Johnson),-0.160,0.810
2,10:18,1,10,IND 28,0,14,Jonathan Taylor right end for 2 yards (tackle by Zach Cunningham),0.810,0.530
2,9:36,2,8,IND 30,0,14,Philip Rivers sacked by Charles Omenihu for -5 yards,0.530,-0.820
2,8:50,3,13,IND 25,0,14,Philip Rivers pass complete short right to Mo Alie-Cox for 10 yards (tackle by Tyrell Adams),-0.820,-1.040
2,8:04,4,3,IND 35,0,14,"Rigoberto Sanchez punts 44 yards, fair catch by Keke Coutee at HOU-21",-1.040,-0.340
2,7:55,1,10,HOU 21,0,14,David Johnson up the middle for 1 yard (tackle by Denico Autry and T.J. Carrie),0.340,-0.070
2,7:15,2,9,HOU 22,0,14,Deshaun Watson pass complete short right to David Johnson for 2 yards (tackle by T.J. Carrie and Darius Leonard),-0.070,-0.490
2,6:39,3,7,HOU 24,0,14,Deshaun Watson pass complete short middle to Chad Hansen for 17 yards (tackle by Kenny Moore),-0.490,1.660
2,6:13,1,10,HOU 41,0,14,Deshaun Watson sacked by and Denico Autry for -5 yards and Tyquan Lewis for -5 yards,1.660,0.450
2,5:38,2,15,HOU 36,0,14,Scottie Phillips up the middle for 5 yards (tackle by Denico Autry),0.450,0.430
2,4:56,3,10,HOU 41,0,14,"Penalty on Laremy Tunsil: False Start, 5 yards (no play)",0.430,-0.230
2,4:40,3,15,HOU 36,0,14,Deshaun Watson pass complete deep right to David Johnson for 26 yards (tackle by Kenny Moore),-0.230,3.050
