Unnamed: 0,HOU,IND
First Downs,22,20
Rush-Yds-TDs,21-83-0,23-127-1
Cmp-Att-Yd-TD-INT,33-41-373-2-0,22-29-228-2-0
Sacked-Yards,5-31,1-5
Net Pass Yards,342,223
Total Yards,425,350
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,5-24,4-35
Third Down Conv.,8-15,6-11
Fourth Down Conv.,1-2,1-1
Time of Possession,30:50,29:10
