Quarter,Time,Tm,Detail,HOU,IND
1.0,5:49,Colts,Jonathan Taylor 5 yard rush (Rodrigo Blankenship kick),0,7
,0:52,Colts,Zach Pascal 11 yard pass from Philip Rivers (Rodrigo Blankenship kick),0,14
2.0,3:46,Texans,Chad Hansen 38 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,14
,0:00,Texans,Ka'imi Fairbairn 23 yard field goal,10,14
3.0,8:27,Colts,Rodrigo Blankenship 35 yard field goal,10,17
,1:19,Texans,Ka'imi Fairbairn 31 yard field goal,13,17
4.0,13:31,Colts,Rodrigo Blankenship 53 yard field goal,13,20
,7:25,Texans,Keke Coutee 9 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),20,20
,1:47,Colts,Zach Pascal 5 yard pass from Philip Rivers (Rodrigo Blankenship kick),20,27
