Quarter,Time,Down,ToGo,Location,TEN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 66 yards, returned by Eddie Berlin for 19 yards (tackle by Adalius Thomas)",0.000,0.480
1,14:55,1,10,TEN 23,0,0,Steve McNair pass complete to Eddie George for 6 yards (tackle by Will Demps),0.480,0.740
1,14:22,2,4,TEN 29,0,0,Steve McNair pass incomplete intended for Derrick Mason,0.740,0.040
1,14:09,3,4,TEN 29,0,0,Steve McNair pass incomplete intended for Drew Bennett (defended by James Trapp),0.040,-1.440
1,14:05,4,4,TEN 29,0,6,"Craig Hentrich punts, blocked by Ed Reed, recovered by Ed Reed and returned 11 yards, touchdown",-1.440,-7.000
1,13:59,,,TEN 29,0,7,Matt Stover kicks extra point good,0.000,0.000
1,13:59,,,BAL 30,0,7,"Matt Stover kicks off 65 yards, returned by Eddie Berlin for 24 yards (tackle by James Trapp). Penalty on James Trapp: Taunting, 15 yards",0.000,1.860
1,13:52,1,10,TEN 44,0,7,Eddie George left guard for 6 yards (tackle by Cornell Brown),1.860,2.130
1,13:13,2,4,,0,7,Steve McNair pass complete to Frank Wycheck for 9 yards (tackle by Ed Hartwell),2.130,2.850
1,12:41,1,10,BAL 41,0,7,Robert Holcombe middle for 2 yards (tackle by Ed Hartwell and Cornell Brown),2.850,2.580
1,12:04,2,8,BAL 39,0,7,Eddie George left guard for 4 yards (tackle by Gary Baxter and Kelly Gregg),2.580,2.410
1,11:24,3,4,BAL 35,0,7,Steve McNair pass complete to Drew Bennett for 30 yards (tackle by Alvin Porter),2.410,6.060
1,10:36,1,5,BAL 5,0,7,"Penalty on Frank Wycheck: False Start, 5 yards (no play)",6.060,4.910
1,10:26,1,10,BAL 10,0,7,Steve McNair pass complete to Greg Comella for 6 yards (tackle by Ed Reed and Ed Hartwell),4.910,5.340
1,9:26,2,4,BAL 4,0,7,Steve McNair pass incomplete intended for Eddie George,5.340,4.490
1,9:14,3,4,BAL 4,0,7,Steve McNair pass incomplete intended for Drew Bennett is intercepted by Bart Scott at BAL--8,4.490,-0.280
1,9:08,1,10,BAL 20,0,7,Jeff Blake pass complete to Travis Taylor for 2 yards (tackle by Lance Schulters),0.280,0.000
1,8:38,2,8,BAL 22,0,7,"Jeff Blake pass incomplete intended for Travis Taylor is intercepted by Andre Dyson at BAL-28 and returned for 28 yards. Penalty on Keith Bulluck: Roughing the Passer, 15 yards (no play)",0.000,1.400
1,8:27,1,10,BAL 37,0,7,Jamal Lewis middle for -1 yards (tackle by Kevin Carter),1.400,0.720
1,7:57,2,11,BAL 36,0,7,Jeff Blake pass complete to Todd Heap for 4 yards (tackle by Keith Bulluck),0.720,0.560
1,7:20,3,7,BAL 40,0,7,Jeff Blake sacked by Peter Sirmon for -5 yards,0.560,-1.040
1,7:07,4,12,BAL 35,0,7,"Dave Zastudil punts 52 yards, returned by Derrick Mason for 9 yards (tackle by Chad Williams)",-1.040,-0.410
1,6:50,1,10,TEN 22,0,7,"Steve McNair for no gain. Gennaro DiNapoli fumbles, recovered by Peter Boulware at TEN-21 (tackle by Steve McNair)",0.410,-4.170
1,6:45,1,10,TEN 21,0,7,Jamal Lewis left end for 9 yards (tackle by Rocky Calmus),4.170,5.160
1,6:23,2,1,TEN 12,0,7,"Jeff Blake pass incomplete intended for Ron Johnson. Penalty on Kevin Carter: Defensive Offside, 5 yards (no play)",5.160,5.600
1,6:09,1,7,TEN 7,0,7,Jamal Lewis left guard for 1 yard (tackle by John Thornton),5.600,4.950
1,5:36,2,6,TEN 6,0,7,Jamal Lewis left end for -2 yards (tackle by Albert Haynesworth),4.950,3.580
1,4:53,3,8,TEN 8,0,7,Jeff Blake pass incomplete intended for Ron Johnson (defended by Rich Coady),3.580,2.950
1,4:42,4,8,TEN 8,0,10,Matt Stover 26 yard field goal good,2.950,3.000
1,4:42,,,BAL 30,0,10,"Matt Stover kicks off 69 yards, returned by Eddie Berlin for 17 yards (tackle by Adalius Thomas)",0.000,0.040
1,4:34,1,10,TEN 18,0,10,Eddie George right tackle for 2 yards (tackle by Kelly Gregg),0.040,-0.130
1,4:03,2,8,TEN 20,0,10,Eddie George right guard for 5 yards (tackle by Ed Hartwell),-0.130,-0.270
1,3:22,3,3,TEN 25,0,10,Steve McNair pass incomplete intended for Justin McCareins,-0.270,-1.700
1,3:11,4,3,TEN 25,0,10,"Craig Hentrich punts 48 yards, fair catch by Lamont Brightful",-1.700,-0.740
1,3:03,1,10,BAL 27,0,10,Jeff Blake pass incomplete intended for Ron Johnson (defended by Lance Schulters),0.740,0.200
1,2:58,2,10,BAL 27,0,10,Jeff Blake pass complete to Todd Heap for 7 yards (tackle by Lance Schulters),0.200,0.430
1,2:11,2,10,BAL 27,,,Timeout #1 by Baltimore Ravens,0.200,0.430
1,2:11,3,3,BAL 34,0,10,Jeff Blake pass complete to Chester Taylor for 10 yards (tackle by Andre Dyson),0.430,1.860
1,1:37,1,10,BAL 44,0,10,Jeff Blake sacked for -6 yards. Penalty on Ethan Brooks: Illegal Formation (Declined),1.860,0.510
1,1:13,2,16,BAL 38,0,10,Chester Taylor middle for -5 yards (tackle by Juqua Parker and Carlos Hall),0.510,-0.820
1,0:28,3,21,BAL 33,0,10,Jeff Blake pass complete to Chester Taylor for 9 yards (tackle by Robaire Smith),-0.820,-0.590
1,0:03,3,21,BAL 33,,,Timeout #2 by Baltimore Ravens,-0.820,-0.590
1,0:03,4,12,BAL 42,0,10,"Dave Zastudil punts 43 yards, muffed catch by Derrick Mason, recovered by Derrick Mason and returned for no gain",-0.590,0.060
Quarter,Time,Down,ToGo,Location,TEN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 17,0,10,Steve McNair for no gain. Gennaro DiNapoli fumbles,-0.060,-0.850
2,14:35,2,12,TEN 15,0,10,Eddie George middle for 10 yards (tackle by Bernardo Harris),-0.850,-0.240
2,14:00,3,2,TEN 25,0,10,Robert Holcombe right tackle for 6 yards (tackle by Riddick Parker and James Trapp),-0.240,1.000
2,13:20,1,10,TEN 31,0,10,Eddie George right guard for 3 yards (tackle by Adalius Thomas and Ma'ake Kemoeatu),1.000,0.870
2,12:36,2,7,TEN 34,0,10,Steve McNair pass incomplete intended for Kevin Dyson,0.870,0.170
2,12:25,3,7,TEN 34,0,10,Steve McNair pass complete to Drew Bennett for 12 yards (tackle by Robert Tate),0.170,1.990
2,11:46,1,10,TEN 46,0,10,Steve McNair pass complete to Eddie George for 5 yards (tackle by Cornell Brown),1.990,2.130
2,11:05,2,5,BAL 49,0,10,Eddie George right tackle for 4 yards (tackle by Bernardo Harris),2.130,1.950
2,10:18,3,1,BAL 45,0,10,Steve McNair pass complete to Erron Kinney for 15 yards (tackle by Ed Reed),1.950,3.580
2,9:38,1,10,BAL 30,0,10,Frank Wycheck pass complete to Derrick Mason for 13 yards (tackle by Will Demps),3.580,4.440
2,8:58,1,10,BAL 17,0,10,Eddie George right guard for 3 yards (tackle by David Nugent and Peter Boulware),4.440,4.320
2,8:09,2,7,BAL 14,0,10,Steve McNair pass incomplete intended for Greg Comella,4.320,3.500
2,7:57,3,7,BAL 14,0,10,Steve McNair pass incomplete intended for Justin McCareins,3.500,2.510
2,7:49,4,7,BAL 14,3,10,Joe Nedney 32 yard field goal good,2.510,3.000
2,7:49,,,TEN 30,3,10,"Joe Nedney kicks off 66 yards, returned by Lamont Brightful for 14 yards (tackle by Eddie Berlin)",0.000,0.040
2,7:39,1,10,BAL 18,3,10,"Penalty on John Thornton: Encroachment, 5 yards (no play)",0.040,0.880
2,7:39,1,5,BAL 23,3,10,Jamal Lewis right guard for 5 yards (tackle by Lance Schulters and Carlos Hall),0.880,0.810
2,7:06,1,10,BAL 28,3,10,Jeff Blake pass complete to Ron Johnson for 14 yards (tackle by Rocky Calmus and Tank Williams),0.810,1.730
2,6:25,1,10,BAL 42,3,10,Jeff Blake pass incomplete intended for Travis Taylor,1.730,1.190
2,6:15,2,10,BAL 42,3,10,Jamal Lewis left tackle for no gain (tackle by Keith Bulluck and Rocky Calmus),1.190,0.500
2,5:41,3,10,BAL 42,3,10,Jeff Blake pass incomplete intended for Ron Johnson (defended by Andre Dyson),0.500,-0.590
2,5:27,4,10,BAL 42,3,10,"Dave Zastudil punts 39 yards, fair catch by Derrick Mason",-0.590,-0.150
2,5:20,1,10,TEN 19,3,10,Steve McNair pass complete to Kevin Dyson for 24 yards (tackle by Robert Tate),0.150,1.800
2,4:59,1,10,TEN 43,3,10,Steve McNair pass complete to Kevin Dyson for 13 yards (tackle by Cornell Brown),1.800,2.650
2,4:22,1,10,BAL 44,3,10,Eddie George middle for 3 yards (tackle by Anthony Weaver),2.650,2.520
2,3:45,2,7,BAL 41,3,10,Steve McNair pass incomplete intended for Justin McCareins (defended by Gary Baxter),2.520,1.820
2,3:34,3,7,BAL 41,3,10,Steve McNair pass incomplete intended for Derrick Mason,1.820,0.530
2,3:30,4,7,BAL 41,3,10,"Craig Hentrich punts 29 yards, fair catch by Lamont Brightful",0.530,0.350
