Unnamed: 0,TEN,BAL
First Downs,19,12
Rush-Yds-TDs,30-121-0,27-112-0
Cmp-Att-Yd-TD-INT,22-44-296-0-3,11-24-109-0-1
Sacked-Yards,1-15,4-22
Net Pass Yards,281,87
Total Yards,402,199
Fumbles-Lost,3-1,1-1
Turnovers,4,2
Penalties-Yards,9-69,6-65
Third Down Conv.,7-18,2-13
Fourth Down Conv.,0-1,0-1
Time of Possession,34:09,25:51
