Quarter,Time,Tm,Detail,TEN,BAL
1.0,13:59,Ravens,Ed Reed 11 yard blocked punt return (Matt Stover kick),0,7
,4:39,Ravens,Matt Stover 26 yard field goal,0,10
2.0,7:45,Titans,Joe Nedney 32 yard field goal,3,10
,0:04,Titans,Joe Nedney 37 yard field goal,6,10
3.0,2:25,Ravens,Matt Stover 43 yard field goal,6,13
4.0,13:06,Titans,Joe Nedney 40 yard field goal,9,13
,4:33,Titans,Joe Nedney 21 yard field goal,12,13
