Unnamed: 0,CLE,SDG
First Downs,23,19
Rush-Yds-TDs,27-84-0,23-190-3
Cmp-Att-Yd-TD-INT,26-44-241-1-1,19-28-211-0-0
Sacked-Yards,5-32,3-20
Net Pass Yards,209,191
Total Yards,293,381
Fumbles-Lost,3-1,2-1
Turnovers,2,1
Penalties-Yards,6-50,12-113
Third Down Conv.,7-17,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,32:54,27:06
