Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 76 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,LaDainian Tomlinson left tackle for 7 yards (tackle by Andra Davis),0.280,0.680
1,14:31,2,3,SDG 27,0,0,LaDainian Tomlinson right end for 4 yards (tackle by D'Qwell Jackson and Matt Stewart),0.680,1.000
1,13:52,1,10,SDG 31,0,0,Philip Rivers pass complete short right to Eric Parker for 10 yards (tackle by Leigh Bodden),1.000,1.660
1,13:08,1,10,SDG 41,0,0,Philip Rivers pass complete deep right to Eric Parker for 19 yards (tackle by D'Qwell Jackson),1.660,2.920
1,12:27,1,10,CLE 40,0,0,Philip Rivers pass complete short left to Keenan McCardell for no gain,2.920,2.370
1,11:51,2,10,CLE 40,0,0,LaDainian Tomlinson right end for 3 yards (tackle by Chaun Thompson),2.370,2.080
1,11:07,3,7,CLE 37,0,0,Philip Rivers pass complete to Antonio Gates for 7 yards (tackle by Andra Davis and D'Qwell Jackson),2.080,3.580
1,10:24,1,10,CLE 30,0,0,LaDainian Tomlinson for 19 yards (tackle by Sean Jones),3.580,4.840
1,9:50,1,10,CLE 11,0,0,LaDainian Tomlinson middle for 3 yards (tackle by Ethan Kelley),4.840,4.700
1,9:06,2,7,CLE 8,0,0,"Philip Rivers pass complete short right to LaDainian Tomlinson for 3 yards (tackle by Jereme Perry). Penalty on LaDainian Tomlinson: Illegal Shift, 5 yards (no play)",4.700,3.830
1,8:40,2,12,CLE 13,0,0,Philip Rivers pass complete short left to Malcom Floyd for 2 yards (tackle by Ralph Brown),3.830,3.130
1,7:54,3,10,CLE 11,0,0,Philip Rivers pass incomplete short middle intended for Eric Parker (defended by Brodney Pool),3.130,2.700
1,7:50,4,10,CLE 11,0,3,Nate Kaeding 29 yard field goal good,2.700,3.000
1,,,,SDG 30,0,3,"Nate Kaeding kicks off 69 yards, returned by Josh Cribbs for 23 yards (tackle by Bhawoh Jue)",0.000,0.540
1,7:41,1,10,CLE 24,0,3,Charlie Frye pass complete short right to Steve Heiden for 6 yards (tackle by Donnie Edwards and Randall Godfrey),0.540,0.810
1,7:04,2,4,CLE 30,0,3,Reuben Droughns middle for 4 yards (tackle by Carlos Polk and Donnie Edwards),0.810,1.200
1,6:23,1,10,CLE 34,0,3,Reuben Droughns right tackle for 8 yards (tackle by Terrence Kiel and Marlon McCree),1.200,1.740
1,5:39,2,2,CLE 42,0,3,"Penalty on Cosey Coleman: False Start, 5 yards (no play)",1.740,1.060
1,5:22,2,7,CLE 37,0,3,Charlie Frye pass complete short left to Reuben Droughns for no gain,1.060,0.370
1,4:39,3,7,CLE 37,0,3,"Penalty on Kevin Shaffer: False Start, 5 yards (no play)",0.370,-0.300
1,4:14,3,12,CLE 32,0,3,Charlie Frye pass complete deep right to Joe Jurevicius for 52 yards (tackle by Clinton Hart),-0.300,4.510
1,3:23,,,,0,3,Timeout #1 by Cleveland Browns,0.000,4.510
1,3:23,1,10,SDG 16,0,3,Reuben Droughns middle for 2 yards (tackle by Marques Harris and Randall Godfrey),4.510,4.210
1,2:43,2,8,SDG 14,0,3,Reuben Droughns middle for no gain (tackle by Jamal Williams and Donnie Edwards),4.210,3.370
1,2:00,3,8,SDG 14,0,3,Charlie Frye sacked by Jacques Cesaire for -6 yards,3.370,2.120
1,1:38,4,14,SDG 20,3,3,Phil Dawson 37 yard field goal good,2.120,3.000
1,,,,CLE 30,3,3,"Phil Dawson kicks off 68 yards, returned by Michael Turner for 24 yards (tackle by Matt Stewart)",0.000,0.670
1,1:30,1,10,SDG 26,3,3,"Philip Rivers for no gain. Philip Rivers fumbles, recovered by LaDainian Tomlinson at SDG-22",0.670,-0.410
1,1:26,2,14,SDG 22,3,3,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",-0.410,-1.220
1,1:26,2,19,SDG 17,3,3,Philip Rivers pass complete deep middle to Keenan McCardell for 16 yards (tackle by Sean Jones),-1.220,0.370
1,0:46,3,3,SDG 33,3,3,Philip Rivers pass incomplete short left intended for Malcom Floyd,0.370,-1.180
1,0:43,4,3,SDG 33,3,3,"Mike Scifres punts 58 yards, returned by Dennis Northcutt for 81 yards (tackle by Antonio Cromartie)",-1.180,-4.910
1,0:23,1,10,SDG 10,3,3,Reuben Droughns right tackle for 3 yards (tackle by Marques Harris and Luis Castillo),4.910,4.760
Quarter,Time,Down,ToGo,Location,CLE,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,SDG 7,3,3,Charlie Frye right end for 4 yards (tackle by Jamal Williams),4.760,4.720
2,14:30,3,3,SDG 3,3,3,Reuben Droughns right tackle for no gain (tackle by Luis Castillo and Randall Godfrey),4.720,3.040
2,13:50,4,3,SDG 3,6,3,Phil Dawson 20 yard field goal good,3.040,3.000
2,,,,CLE 30,6,3,"Phil Dawson kicks off 71 yards, returned by Michael Turner for 22 yards (tackle by Justin Hamilton). Penalty on Matt Wilhelm: Offensive Holding, 10 yards",0.000,-0.370
2,13:42,1,10,SDG 11,6,3,Michael Turner middle for no gain (tackle by Matt Stewart),-0.370,-0.780
2,13:03,2,10,SDG 11,6,3,"Penalty on Kassim Osgood: False Start, 5 yards (no play)",-0.780,-1.150
2,12:43,2,15,SDG 6,6,3,Philip Rivers pass complete short right to Keenan McCardell for 7 yards (tackle by Brian Russell),-1.150,-1.190
2,12:02,3,8,SDG 13,6,3,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Brodney Pool),-1.190,-2.490
2,11:57,4,8,SDG 13,6,3,"Mike Scifres punts 38 yards, fair catch by Dennis Northcutt",-2.490,-2.190
2,11:49,1,10,CLE 49,6,3,Charlie Frye pass incomplete short middle intended for Braylon Edwards is intercepted by Donnie Edwards at SDG-43 and returned for -2 yards,2.190,-1.660
2,11:42,1,10,SDG 41,6,3,LaDainian Tomlinson right tackle for 4 yards (tackle by Ted Washington),1.660,1.660
2,11:03,2,6,SDG 45,6,3,Philip Rivers pass incomplete short left intended for Keenan McCardell,1.660,0.960
2,10:57,3,6,SDG 45,6,3,Philip Rivers pass complete short left to Eric Parker for 5 yards (tackle by Ralph Brown),0.960,-0.060
2,10:13,4,1,,6,3,"Mike Scifres punts 40 yards, fair catch by Dennis Northcutt",-0.060,0.380
2,10:11,1,10,CLE 10,6,3,Reuben Droughns right end for no gain (tackle by Matt Wilhelm and Marques Harris),-0.380,-0.780
2,9:29,2,10,CLE 10,6,3,Reuben Droughns middle for 5 yards (tackle by Derreck Robinson and Stephen Cooper),-0.780,-0.840
2,8:46,,,,6,3,Timeout #2 by Cleveland Browns,0.000,-0.840
2,8:46,3,5,CLE 15,6,3,Charlie Frye right end for 1 yard (tackle by Marlon McCree),-0.840,-2.390
2,8:13,4,4,CLE 16,6,3,"Dave Zastudil punts 45 yards, returned by Eric Parker for 3 yards (tackle by D'Qwell Jackson). Penalty on Vincent Jackson: Illegal Block Above the , 10 yards",-2.390,-1.070
2,8:01,1,10,SDG 32,6,3,LaDainian Tomlinson left end for 3 yards (tackle by Ralph Brown),1.070,0.930
2,7:18,2,7,SDG 35,6,3,Philip Rivers pass incomplete short left intended for Antonio Gates,0.930,0.230
2,7:13,3,7,SDG 35,6,3,Philip Rivers sacked by Sean Jones and Kamerion Wimbley for -10 yards,0.230,-1.700
2,6:52,4,17,SDG 25,6,3,"Mike Scifres punts 66 yards, returned by Dennis Northcutt for 16 yards (tackle by David Binn). Penalty on Sean Jones: Offensive Holding, 10 yards",-1.700,0.220
2,6:39,1,10,CLE 15,6,3,Reuben Droughns left tackle for 3 yards (tackle by Matt Wilhelm and Ryon Bingham),-0.220,-0.280
2,5:56,2,7,CLE 18,6,9,"Charlie Frye sacked by Randall Godfrey for -12 yards. Charlie Frye fumbles (forced by Randall Godfrey), recovered by Marques Harris at CLE-0, touchdown",-0.280,-7.000
2,,,,CLE 2,6,10,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,6,10,"Nate Kaeding kicks off 69 yards, returned by Josh Cribbs for 47 yards (tackle by Antonio Cromartie)",0.000,2.130
