Unnamed: 0,DET,GNB
First Downs,19,16
Rush-Yds-TDs,19-64-0,33-180-0
Cmp-Att-Yd-TD-INT,25-40-262-1-0,20-30-274-1-0
Sacked-Yards,5-40,1-5
Net Pass Yards,222,269
Total Yards,286,449
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,7-50,10-72
Third Down Conv.,7-15,7-16
Fourth Down Conv.,0-1,0-0
Time of Possession,27:41,32:19
