Quarter,Time,Down,ToGo,Location,MIA,CAR,Detail,EPB,EPA
1,0:55,3,8,MIA 22,0,3,Jay Cutler pass complete short right to Kenny Stills for 12 yards (tackle by Captain Munnerlyn),-0.690,1.200
1,0:27,1,10,MIA 34,0,3,Kenyan Drake right tackle for 3 yards (tackle by James Bradberry),1.200,1.060
Quarter,Time,Down,ToGo,Location,MIA,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,MIA 37,0,3,Jay Cutler pass incomplete short left intended for Kenny Stills,1.060,0.370
2,14:57,3,7,MIA 37,0,3,Jay Cutler pass complete short left to DeVante Parker for 12 yards (tackle by Kevon Seymour),0.370,2.190
2,14:18,1,10,MIA 49,0,3,Jay Cutler pass incomplete short right intended for Jarvis Landry (defended by Charles Johnson),2.190,1.650
2,14:13,2,10,MIA 49,0,3,Kenyan Drake left guard for no gain (tackle by Kawann Short and Mario Addison),1.650,0.960
2,13:31,3,10,MIA 49,0,3,Jay Cutler pass incomplete deep left intended for Julius Thomas,0.960,-0.130
2,13:23,4,10,MIA 49,0,3,"Matt Haack punts 36 yards, fair catch by Kaelin Clay",-0.130,0.220
2,13:16,1,10,CAR 15,0,3,Cameron Artis-Payne middle for 3 yards (tackle by William Hayes and Vincent Taylor),-0.220,-0.280
2,12:43,2,7,CAR 18,0,3,Cam Newton pass incomplete short left intended for Ed Dickson,-0.280,-1.000
2,12:37,3,7,CAR 18,0,3,Cam Newton pass complete short left to Devin Funchess for 12 yards (tackle by Lawrence Timmons and Kiko Alonso),-1.000,0.940
2,11:58,1,10,CAR 30,0,3,Jonathan Stewart left end for 12 yards (tackle by Rey Maualuga),0.940,1.730
2,11:18,1,10,CAR 42,0,3,Jonathan Stewart right guard for 3 yards (tackle by Lawrence Timmons and Rey Maualuga),1.730,1.590
2,10:38,2,7,CAR 45,0,3,Cam Newton pass complete deep right to Curtis Samuel for 23 yards (tackle by T.J. McDonald),1.590,3.450
2,9:54,1,10,MIA 32,0,3,Cam Newton pass incomplete short middle intended for Russell Shepard,3.450,2.900
2,9:50,2,10,MIA 32,0,3,Jonathan Stewart right guard for 18 yards (tackle by Reshad Jones),2.900,4.650
2,9:06,1,10,MIA 14,0,3,Jonathan Stewart right tackle for 1 yard (tackle by William Hayes),4.650,4.160
2,8:25,2,9,MIA 13,0,3,Cam Newton middle for 6 yards (tackle by Reshad Jones),4.160,4.500
2,7:42,3,3,MIA 7,0,3,Cam Newton pass complete short left to Devin Funchess for 3 yards (tackle by Xavien Howard),4.500,6.280
2,7:05,1,4,MIA 4,0,9,"Christian McCaffrey right tackle for 4 yards, touchdown",6.280,7.000
2,6:59,,,MIA 15,0,10,Graham Gano kicks extra point good,0.000,0.000
2,6:59,,,CAR 35,0,10,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
2,6:59,1,10,MIA 25,0,10,Jay Cutler pass complete deep left to Jarvis Landry for 19 yards (tackle by Shaq Thompson),0.610,1.860
2,6:16,1,10,MIA 44,0,10,Damien Williams right tackle for 7 yards (tackle by Kawann Short),1.860,2.260
2,5:39,2,3,CAR 49,0,10,Damien Williams right guard for 11 yards (tackle by Mike Adams),2.260,3.050
2,4:59,1,10,CAR 38,0,10,Jay Cutler pass incomplete deep middle intended for Jarvis Landry (defended by Kevon Seymour),3.050,2.510
2,4:54,2,10,CAR 38,0,10,Jay Cutler pass complete short right to Damien Williams for 15 yards (tackle by Kurt Coleman),2.510,4.040
2,4:22,1,10,CAR 23,0,10,Jay Cutler pass complete short left to Kenyan Drake for 5 yards (tackle by Luke Kuechly and Kawann Short),4.040,4.210
2,3:31,2,5,CAR 18,0,10,Jay Cutler pass incomplete deep left intended for Julius Thomas,4.210,3.490
2,3:26,3,5,CAR 18,0,10,"Jay Cutler pass complete short right to DeVante Parker for 13 yards (tackle by James Bradberry). Penalty on Daryl Worley: Unnecessary Roughness, 2 yards",3.490,6.510
2,2:57,1,3,CAR 3,0,10,Kenyan Drake middle for 1 yard (tackle by Vernon Butler and Kyle Love),6.510,5.720
2,2:19,2,2,CAR 2,6,10,"Jay Cutler pass complete short middle to Julius Thomas for 2 yards, touchdown",5.720,7.000
2,2:12,,,CAR 15,7,10,Cody Parkey kicks extra point good,0.000,0.000
2,2:12,,,MIA 35,7,10,"Cody Parkey kicks off 67 yards, returned by Curtis Samuel for 26 yards (tackle by Alterraun Verner)",0.000,-0.540
2,2:07,1,10,CAR 24,7,10,Cam Newton pass complete deep left to Ed Dickson for 20 yards,0.540,1.860
2,2:00,1,10,CAR 44,7,10,Cam Newton pass complete short left to Christian McCaffrey for 6 yards (tackle by Andre Branch),1.860,2.130
2,1:37,2,4,,7,10,Cam Newton pass incomplete short left intended for Devin Funchess,2.130,1.420
2,1:33,3,4,,7,10,Cam Newton pass complete short left to Curtis Samuel for 5 yards (tackle by Cordrea Tankersley),1.420,2.590
2,1:28,1,10,MIA 45,7,10,"Cam Newton left end for 3 yards (tackle by Lawrence Timmons). Penalty on Trai Turner: Offensive Holding, 10 yards (no play)",2.590,1.930
2,1:18,1,20,CAR 45,7,10,Cam Newton pass complete short right to Brenton Bersin for 12 yards (tackle by Reshad Jones),1.930,0.000
2,1:06,,,,,,Timeout #1 by Carolina Panthers,0.000,-2.310
2,1:06,2,8,MIA 43,7,10,Cam Newton pass incomplete short right intended for Christian McCaffrey,2.310,1.620
2,0:59,3,8,MIA 43,7,10,Cam Newton pass incomplete short right intended for Christian McCaffrey,1.620,0.400
2,0:54,4,8,MIA 43,7,10,"Michael Palardy punts 43 yards, touchback",0.400,-0.280
2,0:47,1,10,MIA 20,7,10,"Jay Cutler pass incomplete short left intended for Julius Thomas is intercepted by Luke Kuechly at MIA-35. Penalty on Julius Thomas: Unsportsmanlike Conduct, 15 yards",0.280,-4.240
2,0:41,1,10,MIA 20,7,10,Cam Newton pass complete short left to Curtis Samuel for 10 yards (tackle by T.J. McDonald),4.240,0.000
2,0:34,,,,,,Timeout #2 by Carolina Panthers,0.000,-4.910
2,0:34,1,10,MIA 10,7,10,Cam Newton middle for 3 yards (tackle by Lawrence Timmons),4.910,0.000
2,0:28,,,,,,Timeout #3 by Carolina Panthers,0.000,-4.760
2,0:28,2,7,MIA 7,7,10,Cam Newton pass incomplete short right intended for Brenton Bersin (defended by Bobby McCain),4.760,3.810
2,0:24,3,7,MIA 7,7,16,"Cam Newton pass complete short left to Ed Dickson for 7 yards, touchdown. Penalty on Andre Branch: Defensive Offside (Declined)",3.810,7.000
2,0:19,,,MIA 15,7,17,Graham Gano kicks extra point good,0.000,0.000
2,0:19,,,CAR 35,7,17,"Graham Gano kicks off 58 yards, returned by Senorise Perry for 16 yards (tackle by David Mayo). Penalty on Maurice Smith: Offensive Holding, 10 yards",0.000,0.320
2,0:12,1,10,MIA 13,7,17,Jay Cutler kneels for -1 yards,-0.320,-0.850
Quarter,Time,Down,ToGo,Location,MIA,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,7,17,"Cody Parkey kicks off 65 yards, returned by Curtis Samuel for 22 yards (tackle by Alterraun Verner)",0.000,-0.410
3,14:54,1,10,CAR 22,7,17,Cam Newton pass complete deep left to Devin Funchess for 17 yards (tackle by Xavien Howard),0.410,1.530
3,14:17,1,10,CAR 39,7,17,Jonathan Stewart middle for 15 yards (tackle by Reshad Jones),1.530,2.520
3,13:37,1,10,MIA 46,7,17,Jonathan Stewart right guard for 4 yards (tackle by Kiko Alonso and Cameron Wake),2.520,2.520
3,12:55,2,6,MIA 42,7,17,Jonathan Stewart left end for 5 yards (tackle by Cordrea Tankersley),2.520,2.480
3,12:20,3,1,MIA 37,7,17,Cam Newton for 9 yards (tackle by Xavien Howard),2.480,3.710
3,12:07,1,10,MIA 28,7,17,Cam Newton pass incomplete deep right intended for Curtis Samuel,3.710,3.170
3,12:00,2,10,MIA 28,7,17,Cam Newton pass incomplete short left intended for Christian McCaffrey (defended by Charles Harris),3.170,2.480
3,11:57,3,10,MIA 28,7,23,"Cam Newton pass complete short left to Devin Funchess for 28 yards, touchdown",2.480,7.000
3,11:50,,,MIA 15,7,24,Graham Gano kicks extra point good,0.000,0.000
3,11:50,,,CAR 35,7,24,"Graham Gano kicks off 59 yards, returned by Senorise Perry for 22 yards (tackle by Brenton Bersin)",0.000,-0.810
3,11:44,1,10,MIA 28,7,24,Damien Williams left tackle for -5 yards (tackle by Mario Addison),0.810,-0.410
3,11:00,2,15,MIA 23,7,24,Jay Cutler pass complete short right to Kenny Stills for 17 yards (tackle by Kurt Coleman),-0.410,1.600
3,10:34,1,10,MIA 40,7,24,Jay Cutler pass incomplete deep left intended for Kenny Stills,1.600,1.050
3,10:29,2,10,MIA 40,7,24,Jay Cutler pass complete short middle to Jarvis Landry for 3 yards (tackle by Luke Kuechly),1.050,0.760
3,10:06,3,7,MIA 43,7,24,Jay Cutler pass complete short left to Jarvis Landry for 6 yards (tackle by Luke Kuechly),0.760,-0.130
3,9:41,4,1,MIA 49,7,24,Damien Williams middle for -1 yards (tackle by Kawann Short and Luke Kuechly),-0.130,-2.390
3,9:34,1,10,MIA 48,7,24,Jonathan Stewart left guard for 7 yards (tackle by Davon Godchaux),2.390,2.790
3,8:53,2,3,MIA 41,7,24,Jonathan Stewart right guard for 16 yards (tackle by T.J. McDonald and Cordrea Tankersley),2.790,3.910
3,8:08,1,10,MIA 25,7,24,Cam Newton pass complete short left to Russell Shepard for 13 yards (tackle by Bobby McCain and Kiko Alonso),3.910,4.780
3,7:22,1,10,MIA 12,7,30,"Cameron Artis-Payne left guard for 12 yards, touchdown",4.780,7.000
3,7:15,,,MIA 15,7,31,Graham Gano kicks extra point good,0.000,0.000
3,7:15,,,CAR 35,7,31,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,7:15,1,10,MIA 25,7,31,Jay Cutler pass complete short right to Julius Thomas for 6 yards (tackle by Mike Adams),0.610,0.870
3,6:45,2,4,MIA 31,7,31,Kenyan Drake middle for 3 yards (tackle by Julius Peppers),0.870,0.560
3,5:58,3,1,MIA 34,13,31,"Kenyan Drake left tackle for 66 yards, touchdown",0.560,7.000
3,5:47,,,CAR 15,14,31,Cody Parkey kicks extra point good,0.000,0.000
3,5:47,,,MIA 35,14,31,"Cody Parkey kicks off 67 yards, returned by Kaelin Clay for 15 yards (tackle by Senorise Perry)",0.000,0.320
3,5:41,1,10,CAR 13,14,31,Cam Newton right tackle for 69 yards (tackle by Cordrea Tankersley),-0.320,4.370
3,4:50,1,10,MIA 18,14,31,Jonathan Stewart right tackle for 4 yards (tackle by Kiko Alonso and Lawrence Timmons),4.370,4.430
3,4:03,2,6,MIA 14,14,31,"Cam Newton pass incomplete short middle intended for Devin Funchess. Penalty on Xavien Howard: Defensive Pass Interference, 12 yards (no play)",4.430,6.740
3,3:58,1,2,MIA 2,14,31,Jonathan Stewart right guard for no gain (tackle by Davon Godchaux),6.740,5.720
3,3:14,2,2,MIA 2,14,37,"Cam Newton pass complete short right to Christian McCaffrey for 2 yards, touchdown",5.720,7.000
3,3:07,,,MIA 15,14,38,Graham Gano kicks extra point good,0.000,0.000
3,3:07,,,CAR 35,14,38,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,3:07,1,10,MIA 25,14,38,Damien Williams middle for 1 yard (tackle by Kawann Short and Charles Johnson),0.610,0.200
3,2:31,2,9,MIA 26,14,38,Jay Cutler pass complete short right to Jarvis Landry for 5 yards (tackle by Captain Munnerlyn),0.200,0.170
3,1:54,3,4,MIA 31,14,38,"Penalty on Mike Pouncey: False Start, 5 yards (no play)",0.170,-0.490
3,1:36,3,9,MIA 26,14,38,Jay Cutler pass complete deep left to DeVante Parker for 24 yards (tackle by Thomas Davis),-0.490,2.260
3,0:57,1,10,,14,38,Jay Cutler pass incomplete deep right intended for DeVante Parker,2.260,1.710
3,0:52,2,10,,14,38,Jay Cutler pass incomplete short middle intended for Jarvis Landry,1.710,1.030
3,0:46,3,10,,14,38,"Jay Cutler pass complete short left to Jarvis Landry for 16 yards (tackle by Mike Adams). Penalty on Laremy Tunsil: Illegal Formation, 5 yards (no play)",1.030,0.370
3,0:18,3,15,MIA 45,14,38,Jay Cutler pass incomplete short right intended for DeVante Parker,0.370,-0.390
3,0:12,4,15,MIA 45,14,38,Matt Haack punts 38 yards,-0.390,0.060
3,0:03,1,10,CAR 17,14,38,Jonathan Stewart left guard for -2 yards (tackle by Andre Branch and Rey Maualuga),-0.060,-0.850
Quarter,Time,Down,ToGo,Location,MIA,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,CAR 15,14,38,Christian McCaffrey right tackle for 16 yards (tackle by T.J. McDonald),-0.850,1.000
4,14:14,1,10,CAR 31,14,38,Christian McCaffrey middle for no gain (tackle by Ndamukong Suh and Kiko Alonso),1.000,0.460
4,13:27,2,10,CAR 31,14,38,Cam Newton pass incomplete short right intended for Christian McCaffrey,0.460,-0.230
4,13:22,3,10,CAR 31,14,38,Cam Newton pass complete short middle to Russell Shepard for 12 yards (tackle by Kiko Alonso),-0.230,1.800
4,12:36,1,10,CAR 43,14,38,Cam Newton pass complete short right to Kaelin Clay for 5 yards (tackle by Cordrea Tankersley),1.800,1.930
4,11:49,2,5,CAR 48,14,38,Jonathan Stewart right guard for 2 yards (tackle by T.J. McDonald and Vincent Taylor),1.930,1.490
4,11:09,3,3,,14,38,"Penalty on Cameron Wake: Neutral Zone Infraction, 5 yards (no play)",1.490,2.590
4,10:48,1,10,MIA 45,14,38,Jonathan Stewart left guard for 11 yards (tackle by T.J. McDonald),2.590,3.310
4,10:00,1,10,MIA 34,14,38,Cameron Artis-Payne middle for no gain (tackle by Kiko Alonso),3.310,2.770
4,9:15,2,10,MIA 34,14,38,Cameron Artis-Payne left tackle for 2 yards (tackle by Rey Maualuga and Lawrence Timmons),2.770,2.350
4,8:28,3,8,MIA 32,14,44,"Cam Newton pass complete deep left to Devin Funchess for 32 yards, touchdown",2.350,7.000
4,8:20,,,MIA 15,14,45,Graham Gano kicks extra point good,0.000,0.000
4,8:20,,,CAR 35,14,45,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
4,8:20,1,10,MIA 25,14,45,Jay Cutler pass incomplete short left intended for Kenny Stills (defended by Mike Adams),0.610,0.060
4,8:15,2,10,MIA 25,14,45,Jay Cutler pass complete short right to DeVante Parker for 6 yards (tackle by James Bradberry),0.060,0.170
4,7:31,3,4,MIA 31,14,45,Jay Cutler pass complete short left to Kenny Stills for 21 yards (tackle by Captain Munnerlyn),0.170,2.390
4,7:06,1,10,CAR 48,14,45,Kenyan Drake middle for 3 yards (tackle by David Mayo and Star Lotulelei),2.390,2.250
4,6:38,2,7,CAR 45,14,45,"Jay Cutler pass incomplete short right intended for Julius Thomas. Penalty on Kurt Coleman: Defensive Holding, 5 yards (no play)",2.250,2.920
4,6:16,1,10,CAR 40,14,45,Jay Cutler pass complete short right to Kenny Stills for 11 yards,2.920,3.640
4,5:56,1,10,CAR 29,14,45,Jay Cutler pass complete short left to DeVante Parker for 9 yards (tackle by Daryl Worley),3.640,4.320
4,5:23,2,1,CAR 20,14,45,Kenyan Drake left tackle for 6 yards (tackle by Shaq Thompson),4.320,4.650
4,4:50,1,10,CAR 14,14,45,Jay Cutler pass complete short left to Kenyan Drake for 5 yards (tackle by Shaq Thompson),4.650,4.900
4,4:18,2,5,CAR 9,14,45,Jay Cutler pass incomplete short right intended for Jarvis Landry (defended by Captain Munnerlyn),4.900,4.050
4,4:13,3,5,CAR 9,20,45,"Jay Cutler pass complete short right to Jarvis Landry for 9 yards, touchdown",4.050,7.000
4,4:05,,,CAR 15,21,45,Cody Parkey kicks extra point good,0.000,0.000
4,4:05,,,MIA 35,21,45,"Cody Parkey kicks off 57 yards, returned by Kaelin Clay for 18 yards (tackle by Mike Hull)",0.000,-0.670
4,3:59,1,10,CAR 26,21,45,Cameron Artis-Payne middle for 3 yards (tackle by Rey Maualuga and Davon Godchaux),0.670,0.540
4,3:11,2,7,CAR 29,21,45,Cameron Artis-Payne middle for 5 yards (tackle by Vincent Taylor and Rey Maualuga),0.540,0.500
4,2:28,3,2,CAR 34,21,45,Cameron Artis-Payne middle for 43 yards (tackle by Cordrea Tankersley),0.500,4.040
4,2:00,1,10,MIA 23,21,45,Derek Anderson kneels for -1 yards,4.040,3.360
4,1:18,2,11,MIA 24,21,45,"Penalty on Trai Turner: False Start, 5 yards (no play)",3.360,2.690
4,0:43,2,16,MIA 29,21,45,Derek Anderson kneels for -1 yards,2.690,1.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
