Unnamed: 0,SEA,WAS
First Downs,16,26
Rush-Yds-TDs,26-181-1,20-84-1
Cmp-Att-Yd-TD-INT,18-27-121-1-1,38-55-295-1-2
Sacked-Yards,0-0,4-26
Net Pass Yards,121,269
Total Yards,302,353
Fumbles-Lost,1-0,1-0
Turnovers,1,2
Penalties-Yards,4-45,6-41
Third Down Conv.,5-12,10-17
Fourth Down Conv.,0-0,0-1
Time of Possession,27:44,32:16
