Quarter,Time,Tm,Detail,SEA,WAS
1.0,8:50,Seahawks,Jason Myers 43 yard field goal,3,0
2.0,10:52,Seahawks,Jason Myers 40 yard field goal,6,0
,1:45,Seahawks,Jacob Hollister 10 yard pass from Russell Wilson (Jason Myers kick),13,0
,0:06,Washington,Dustin Hopkins 48 yard field goal,13,3
3.0,13:12,Seahawks,Carlos Hyde 50 yard rush (Jason Myers kick),20,3
4.0,14:14,Washington,Peyton Barber 1 yard rush (Dustin Hopkins kick failed),20,9
,7:16,Washington,J.D. McKissic 6 yard pass from Dwayne Haskins (run failed),20,15
