Quarter,Time,Down,ToGo,Location,SEA,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Washington to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,J.D. McKissic right end for 3 yards (tackle by Poona Ford),0.610,0.470
1,14:23,2,7,WAS 28,0,0,Dwayne Haskins pass complete short left to Terry McLaurin for -2 yards (tackle by Benson Mayowa),0.470,-0.490
1,13:42,3,9,WAS 26,0,0,Dwayne Haskins pass complete short middle to Cam Sims for no gain (tackle by Quandre Diggs),-0.490,-1.630
1,13:01,4,9,WAS 26,0,0,"Tress Way punts 44 yards, returned by D.J. Reed for 15 yards (tackle by Khaleke Hudson and Danny Johnson)",-1.630,-1.930
1,12:50,1,10,SEA 45,0,0,Chris Carson left tackle for 10 yards (tackle by Kendall Fuller),1.930,2.590
1,12:15,1,10,WAS 45,0,0,Russell Wilson pass complete short right to Tyler Lockett for 6 yards (tackle by Ronald Darby),2.590,2.850
1,11:43,2,4,WAS 39,0,0,Russell Wilson pass incomplete deep right,2.850,2.150
1,11:37,3,4,WAS 39,0,0,Russell Wilson right end for 11 yards (tackle by Kamren Curl),2.150,3.710
1,10:56,1,10,WAS 28,0,0,Chris Carson right guard for 5 yards (tackle by Chase Young and Jonathan Bostic),3.710,3.840
1,10:21,2,5,WAS 23,0,0,Russell Wilson pass complete short right to Chris Carson for 3 yards (tackle by Jonathan Bostic),3.840,3.530
1,10:04,3,2,WAS 20,0,0,"Chris Carson left end for 5 yards (tackle by Chase Young and Jeremy Reaves). Penalty on Mike Iupati: Offensive Holding, 10 yards (no play)",3.530,2.210
1,9:36,,,,,,Timeout #1 by Seattle Seahawks,,
1,9:36,3,12,WAS 30,0,0,Russell Wilson pass complete short left to Carlos Hyde for 5 yards (tackle by Shaun Dion Hamilton and Jimmy Moreland),2.210,1.800
1,8:55,4,7,WAS 25,3,0,Jason Myers 43 yard field goal good,1.800,3.000
1,8:50,,,SEA 35,3,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,8:50,1,10,WAS 25,3,0,J.D. McKissic left guard for 11 yards (tackle by Jamal Adams and Quandre Diggs),0.610,1.330
1,8:28,1,10,WAS 36,3,0,Dwayne Haskins pass complete short right to Terry McLaurin for no gain (tackle by Shaquill Griffin),1.330,0.790
1,7:56,2,10,WAS 36,3,0,J.D. McKissic right end for -1 yards (tackle by K.J. Wright),0.790,-0.030
1,7:19,3,11,WAS 35,3,0,Dwayne Haskins sacked by Jamal Adams for -1 yards,-0.030,-1.110
1,6:29,4,12,WAS 34,3,0,"Penalty on Khaleke Hudson: False Start, 5 yards (no play)",-1.110,-1.440
1,6:19,4,17,WAS 29,3,0,"Tress Way punts 54 yards, returned by D.J. Reed for 3 yards (tackle by Khaleke Hudson)",-1.440,-0.280
1,6:08,1,10,SEA 20,3,0,David Moore left end for 5 yards (tackle by Jeremy Reaves and Chase Young),0.280,0.410
1,5:31,2,5,SEA 25,3,0,Chris Carson left end for 10 yards (tackle by Daron Payne),0.410,1.270
1,4:53,1,10,SEA 35,3,0,Russell Wilson pass complete short right to David Moore for 1 yard (tackle by Jimmy Moreland),1.270,0.860
1,4:16,2,9,SEA 36,3,0,Carlos Hyde right end for 5 yards (tackle by Kamren Curl),0.860,0.830
1,3:33,3,4,SEA 41,3,0,Russell Wilson pass incomplete short left intended for Tyler Lockett,0.830,-0.650
1,3:26,4,4,SEA 41,3,0,Michael Dickson punts 55 yards out of bounds,-0.650,0.380
1,3:16,1,10,WAS 4,3,0,Dwayne Haskins pass incomplete short right intended for Terry McLaurin,-0.380,-0.780
1,3:10,2,10,WAS 4,3,0,Dwayne Haskins pass complete short right to Logan Thomas for 9 yards (tackle by Jamal Adams),-0.780,-0.370
1,2:39,3,1,WAS 13,3,0,Peyton Barber up the middle for 4 yards (tackle by Bobby Wagner and Poona Ford),-0.370,-0.060
1,2:06,1,10,WAS 17,3,0,Dwayne Haskins pass complete short right to Cam Sims for 1 yard (tackle by Shaquill Griffin),-0.060,-0.420
1,1:38,2,9,WAS 18,3,0,J.D. McKissic right tackle for 9 yards (tackle by Shaquill Griffin),-0.420,0.740
1,1:09,1,10,WAS 27,3,0,Peyton Barber left guard for 1 yard (tackle by Poona Ford),0.740,0.330
1,0:31,2,9,WAS 28,3,0,Dwayne Haskins pass incomplete deep left intended for J.D. McKissic (defended by D.J. Reed),0.330,-0.360
1,0:24,3,9,WAS 28,3,0,Dwayne Haskins pass incomplete short left intended for Robert Foster,-0.360,-1.500
1,0:20,4,9,WAS 28,3,0,"Tress Way punts 41 yards, fair catch by D.J. Reed at SEA-31",-1.500,-1.000
1,0:13,1,10,SEA 31,3,0,Russell Wilson pass complete short middle to Tyler Lockett for 15 yards (tackle by Shaun Dion Hamilton),1.000,1.990
Quarter,Time,Down,ToGo,Location,SEA,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 46,3,0,Russell Wilson pass complete short right to Tyler Lockett for 7 yards (tackle by Ronald Darby),1.990,2.400
2,14:37,2,3,WAS 47,3,0,Chris Carson left end for 5 yards (tackle by Khaleke Hudson and Kendall Fuller),2.400,2.790
2,13:52,1,10,WAS 42,3,0,Chris Carson right end for -3 yards (tackle by Shaun Dion Hamilton and Kamren Curl),2.790,1.840
2,13:10,2,13,WAS 45,3,0,Russell Wilson pass complete short middle to Tyler Lockett for 6 yards (tackle by Kamren Curl),1.840,1.950
2,12:32,3,7,WAS 39,3,0,"Russell Wilson pass incomplete deep left intended for Freddie Swain. Penalty on Jimmy Moreland: Defensive Offside, 5 yards (no play)",1.950,2.610
2,12:27,3,2,WAS 34,3,0,Chris Carson up the middle for 4 yards (tackle by Kamren Curl),2.610,3.580
2,11:51,1,10,WAS 30,3,0,Russell Wilson pass incomplete short left intended for Tyler Lockett,3.580,3.030
2,11:45,2,10,WAS 30,3,0,Chris Carson right guard for 3 yards (tackle by Jonathan Bostic),3.030,2.740
2,11:05,3,7,WAS 27,3,0,"Russell Wilson pass incomplete deep right intended for D.K. Metcalf. Penalty on Montez Sweat: Defensive Offside, 5 yards (no play)",2.740,3.400
2,10:59,3,2,WAS 22,3,0,Russell Wilson pass incomplete short left intended for David Moore (defended by Kendall Fuller),3.400,2.120
2,10:55,4,2,WAS 22,6,0,Jason Myers 40 yard field goal good,2.120,3.000
2,10:52,,,SEA 35,6,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
2,10:52,1,10,WAS 25,6,0,Dwayne Haskins pass complete short middle to Logan Thomas for 11 yards (tackle by Bobby Wagner),0.610,1.330
2,10:19,1,10,WAS 36,6,0,Dwayne Haskins pass complete short right to Logan Thomas for 2 yards (tackle by K.J. Wright),1.330,1.060
2,9:35,2,8,WAS 38,6,0,J.D. McKissic up the middle for 2 yards (tackle by L.J. Collier),1.060,0.630
2,9:02,3,6,WAS 40,6,0,Dwayne Haskins pass complete short right to Logan Thomas for 11 yards (tackle by Bobby Wagner),0.630,2.320
2,8:19,1,10,SEA 49,6,0,Dwayne Haskins pass incomplete short middle intended for Peyton Barber,2.320,1.780
2,8:16,2,10,SEA 49,6,0,Dwayne Haskins pass complete short middle to Logan Thomas for 20 yards (tackle by Alton Robinson and Bobby Wagner),1.780,3.640
2,7:37,1,10,SEA 29,6,0,J.D. McKissic left guard for 2 yards (tackle by Bobby Wagner),3.640,3.370
2,6:59,2,8,SEA 27,6,0,Dwayne Haskins pass deep right (defended by Quandre Diggs) intended for Cam Sims is intercepted by Shaquill Griffin at SEA-3 and returned for no gain,3.370,0.380
2,6:50,1,10,SEA 3,6,0,Russell Wilson pass complete short right to D.K. Metcalf for 6 yards (tackle by Khaleke Hudson and Jeremy Reaves),-0.380,-0.340
2,6:16,2,4,SEA 9,6,0,Chris Carson right guard for 4 yards (tackle by Jonathan Bostic and Shaun Dion Hamilton),-0.340,-0.320
2,5:36,1,10,SEA 13,6,0,Chris Carson left tackle for 1 yard (tackle by Khaleke Hudson),-0.320,-0.680
2,4:58,2,9,SEA 14,6,0,Russell Wilson up the middle for 6 yards (tackle by Jonathan Bostic),-0.680,-0.590
2,4:09,3,3,SEA 20,6,0,Russell Wilson pass complete short right to David Moore for 9 yards (tackle by Jimmy Moreland and Jonathan Bostic),-0.590,0.870
2,3:30,1,10,SEA 29,6,0,Russell Wilson pass complete short left to Freddie Swain for 3 yards (tackle by Kendall Fuller),0.870,0.730
2,2:50,2,7,SEA 32,6,0,Russell Wilson right end for 38 yards (tackle by Ronald Darby),0.730,3.580
2,2:07,1,10,WAS 30,6,0,"Russell Wilson pass incomplete deep left intended for D.K. Metcalf. Penalty on Shaun Dion Hamilton: Defensive Pass Interference, 17 yards (no play)",3.580,4.710
2,2:00,1,10,WAS 13,6,0,Russell Wilson pass incomplete short right intended for David Moore,4.710,4.050
2,1:54,2,10,WAS 13,6,0,Chris Carson left guard for 3 yards (tackle by Jonathan Allen and Casey Toohill),4.050,3.650
2,1:49,,,,,,Timeout #1 by Washington Football Team,,
2,1:49,3,7,WAS 10,12,0,"Russell Wilson pass complete short middle to Jacob Hollister for 10 yards, touchdown",3.650,7.000
2,1:45,,,WAS 15,13,0,Jason Myers kicks extra point good,0.000,0.000
2,1:45,,,SEA 35,13,0,"Jason Myers kicks off 63 yards, returned by Danny Johnson for 22 yards (tackle by Linden Stephens)",0.000,0.540
2,1:40,1,10,WAS 24,13,0,Dwayne Haskins pass complete short middle to J.D. McKissic for 13 yards (tackle by Jamal Adams),0.540,1.400
2,1:18,1,10,WAS 37,13,0,Dwayne Haskins pass complete short right to Logan Thomas for 3 yards (tackle by Ryan Neal),1.400,1.260
2,0:58,2,7,WAS 40,13,0,Dwayne Haskins pass incomplete deep left intended for Terry McLaurin,1.260,0.560
2,0:51,3,7,WAS 40,13,0,Dwayne Haskins pass complete short right to Logan Thomas for 10 yards (tackle by Bobby Wagner),0.560,2.260
2,0:46,1,10,WAS 50,13,0,Dwayne Haskins pass incomplete short middle intended for Cam Sims,2.260,1.710
2,0:42,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:42,2,10,WAS 50,13,0,Dwayne Haskins pass complete short right to J.D. McKissic for 4 yards,1.710,1.550
2,0:37,3,6,SEA 46,13,0,Dwayne Haskins pass complete short middle to Terry McLaurin for 18 yards (tackle by Jamal Adams),1.550,3.710
2,0:31,,,,,,Timeout #2 by Washington Football Team,,
2,0:31,1,10,SEA 28,13,0,Dwayne Haskins pass complete short right to Logan Thomas for -2 yards (tackle by Ugo Amadi),3.710,2.900
2,0:20,,,,,,Timeout #3 by Washington Football Team,,
2,0:20,2,12,SEA 30,13,0,Dwayne Haskins pass incomplete short left intended for Steven Sims,2.900,2.210
2,0:15,3,12,SEA 30,13,0,Dwayne Haskins pass incomplete short right intended for Logan Thomas,2.210,1.410
2,0:11,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:11,4,12,SEA 30,13,3,Dustin Hopkins 48 yard field goal good,1.410,3.000
2,0:06,,,WAS 35,13,3,"Dustin Hopkins kicks off 25 yards, returned by Will Dissly for 8 yards (tackle by Isaiah Wright and Troy Apke)",0.000,1.270
Quarter,Time,Down,ToGo,Location,SEA,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,13,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SEA 25,13,3,Russell Wilson pass complete short left to Chris Carson for 3 yards (tackle by Khaleke Hudson),0.610,0.470
3,14:36,2,7,SEA 28,13,3,Chris Carson left end for 13 yards (tackle by Kendall Fuller),0.470,1.660
3,14:04,1,10,SEA 41,13,3,Chris Carson left tackle for 9 yards (tackle by Kamren Curl),1.660,2.340
3,13:23,2,1,SEA 50,19,3,"Carlos Hyde right guard for 50 yards, touchdown",2.340,7.000
3,13:12,,,WAS 15,20,3,Jason Myers kicks extra point good,0.000,0.000
3,13:12,,,SEA 35,20,3,"Jason Myers kicks off 62 yards, returned by Danny Johnson for 20 yards (tackle by Cody Barton)",0.000,0.480
3,13:08,1,10,WAS 23,20,3,J.D. McKissic left tackle for 4 yards (tackle by Jarran Reed and Bobby Wagner),0.480,0.470
3,12:36,2,6,WAS 27,20,3,"Penalty on Terry McLaurin: False Start, 5 yards (no play)",0.470,-0.200
3,12:24,2,11,WAS 22,20,3,Dwayne Haskins pass complete short left to Logan Thomas for 5 yards (tackle by K.J. Wright),-0.200,-0.230
3,11:48,3,6,WAS 27,20,3,Dwayne Haskins pass complete deep right to Terry McLaurin for 30 yards (tackle by Ugo Amadi),-0.230,2.720
3,11:10,1,10,SEA 43,20,3,Dwayne Haskins pass deep left intended for Cam Sims is intercepted by D.J. Reed at SEA-21 and returned for 20 yards,2.720,-1.660
3,10:58,1,10,SEA 41,20,3,Rashaad Penny right end for no gain (tackle by Kamren Curl),1.660,1.120
3,10:14,2,10,SEA 41,20,3,Rashaad Penny up the middle for 6 yards (tackle by Chase Young),1.120,1.220
3,9:35,3,4,SEA 47,20,3,Russell Wilson pass complete short left to Carlos Hyde for 3 yards (tackle by Kendall Fuller and Jimmy Moreland),1.220,-0.060
3,8:57,4,1,SEA 50,20,3,Michael Dickson punts 40 yards out of bounds,-0.060,0.380
3,8:50,1,10,WAS 10,20,3,J.D. McKissic right end for 1 yard (tackle by Jordyn Brooks),-0.380,-0.710
3,8:14,2,9,WAS 11,20,3,Dwayne Haskins pass complete short left to Isaiah Wright for 5 yards (tackle by Bobby Wagner),-0.710,-0.720
3,7:37,3,4,WAS 16,20,3,Dwayne Haskins pass complete short left to J.D. McKissic for 1 yard (tackle by Jamal Adams),-0.720,-2.320
3,7:03,4,3,WAS 17,20,3,"Tress Way punts 43 yards, muffed catch by D.J. Reed, recovered by D.J. Reed at SEA-41, returned by D.J. Reed for 1 yard (tackle by Troy Apke and Khaleke Hudson)",-2.320,-1.730
3,6:54,1,10,SEA 42,20,3,Chris Carson left end for no gain (tackle by Jimmy Moreland),1.730,1.190
3,6:27,2,10,SEA 42,20,3,"Penalty on Will Dissly: False Start, 5 yards (no play)",1.190,0.510
3,6:02,2,15,SEA 37,20,3,Russell Wilson pass incomplete short middle intended for Tyler Lockett,0.510,-0.160
3,5:59,3,15,SEA 37,20,3,Russell Wilson pass complete short left to D.K. Metcalf for 4 yards (tackle by Jimmy Moreland and Montez Sweat),-0.160,-0.650
3,5:17,4,11,SEA 41,20,3,"Michael Dickson punts 51 yards, returned by Steven Sims for no gain (tackle by Will Dissly and Cody Barton). Penalty on Jimmy Moreland: Offensive Holding, 4 yards",-0.650,0.380
3,5:04,1,10,WAS 4,20,3,J.D. McKissic right tackle for 4 yards (tackle by Bobby Wagner and Jarran Reed),-0.380,-0.490
3,4:27,2,6,WAS 8,20,3,Dwayne Haskins pass complete short left to J.D. McKissic for no gain (tackle by Benson Mayowa),-0.490,-0.950
3,3:43,3,6,WAS 8,20,3,"Dwayne Haskins pass complete short middle to Robert Foster for 9 yards (tackle by Ugo Amadi). Penalty on Carlos Dunlap: Roughing the Passer, 15 yards",-0.950,1.070
3,3:18,1,10,WAS 32,20,3,Dwayne Haskins pass complete short left to Logan Thomas for 7 yards (tackle by Ugo Amadi),1.070,1.470
3,2:43,2,3,WAS 39,20,3,Dwayne Haskins pass complete short right to Logan Thomas for 17 yards (tackle by Bobby Wagner and Quandre Diggs),1.470,2.650
3,2:12,1,10,SEA 44,20,3,Dwayne Haskins right end for 12 yards (tackle by Jordyn Brooks),2.650,3.450
3,1:42,1,10,SEA 32,20,3,Peyton Barber right end for -1 yards (tackle by Jamal Adams and Poona Ford),3.450,2.770
3,1:05,2,11,SEA 33,20,3,Dwayne Haskins pass incomplete short left intended for Terry McLaurin (defended by Bobby Wagner),2.770,2.080
3,0:56,3,11,SEA 33,20,3,Dwayne Haskins pass complete short middle to Terry McLaurin for 17 yards (tackle by K.J. Wright),2.080,4.510
3,0:17,1,10,SEA 16,20,3,Dwayne Haskins pass complete short middle to Logan Thomas for 3 yards (tackle by Bobby Wagner),4.510,4.390
Quarter,Time,Down,ToGo,Location,SEA,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,SEA 13,20,3,Dwayne Haskins pass complete short left to J.D. McKissic for 12 yards (tackle by Quandre Diggs),4.390,6.970
4,14:25,1,1,SEA 1,20,3,Dwayne Haskins pass incomplete short right,6.970,5.910
4,14:21,2,1,SEA 1,20,3,Dwayne Haskins pass incomplete short left intended for Terry McLaurin (defended by D.J. Reed),5.910,5.170
4,14:17,3,1,SEA 1,20,9,"Peyton Barber left tackle for 1 yard, touchdown",5.170,7.000
4,14:14,,,SEA 15,20,9,Dustin Hopkins kicks extra point no good wide right,0.000,-1.000
4,14:14,,,WAS 35,20,9,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,14:14,1,10,SEA 25,20,9,Russell Wilson pass complete short middle to D.K. Metcalf for 15 yards (tackle by Ronald Darby and Jeremy Reaves),0.610,1.600
4,13:43,1,10,SEA 40,20,9,Russell Wilson pass complete short middle to D.K. Metcalf for 11 yards (tackle by Jeremy Reaves),1.600,2.320
4,13:01,1,10,WAS 49,20,9,Chris Carson left end for 3 yards (tackle by Jonathan Allen and Jeremy Reaves),2.320,2.190
4,12:14,2,7,WAS 46,20,9,Russell Wilson pass incomplete short left intended for D.K. Metcalf,2.190,1.490
4,12:10,3,7,WAS 46,20,9,Russell Wilson pass complete short middle to D.K. Metcalf for 7 yards (tackle by Jeremy Reaves),1.490,2.980
4,11:24,1,10,WAS 39,20,9,Russell Wilson pass short right (defended by Montez Sweat) intended for Chris Carson is intercepted by Daron Payne at WAS-36 and returned for no gain,2.980,-1.330
4,11:13,1,10,WAS 36,20,9,Dwayne Haskins pass incomplete short left intended for Terry McLaurin,1.330,0.790
4,11:09,2,10,WAS 36,20,9,Dwayne Haskins pass complete short left to J.D. McKissic for 13 yards (tackle by D.J. Reed),0.790,2.190
4,10:42,1,10,WAS 49,20,9,Dwayne Haskins pass complete short middle to J.D. McKissic for 5 yards (tackle by K.J. Wright),2.190,2.320
4,10:06,2,5,SEA 46,20,9,Dwayne Haskins pass incomplete short left intended for Logan Thomas,2.320,1.620
4,10:03,3,5,SEA 46,20,9,Dwayne Haskins pass complete short middle to Cam Sims for 10 yards (tackle by D.J. Reed),1.620,3.180
4,9:42,1,10,SEA 36,20,9,J.D. McKissic right tackle for 6 yards (tackle by Ugo Amadi),3.180,3.450
4,9:07,2,4,SEA 30,20,9,Dwayne Haskins right end for 7 yards (tackle by Jamal Adams),3.450,4.040
4,8:35,1,10,SEA 23,20,9,Dwayne Haskins pass complete short right to Cam Sims for 9 yards (tackle by Shaquill Griffin),4.040,4.950
4,8:12,2,1,SEA 14,20,9,J.D. McKissic left end for 2 yards (tackle by D.J. Reed),4.950,4.780
4,7:47,1,10,SEA 12,20,9,Dwayne Haskins pass complete short left to Cam Sims for 6 yards (tackle by D.J. Reed and Bobby Wagner),4.780,5.210
4,7:21,2,4,SEA 6,20,15,"Dwayne Haskins pass complete short right to J.D. McKissic for 6 yards, touchdown",5.210,7.000
4,7:16,,,SEA 2,20,15,"Two Point Attempt: Peyton Barber rushes, conversion fails.",1.000,-1.000
4,7:16,,,WAS 35,20,15,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,7:16,1,10,SEA 25,20,15,Chris Carson left end for -4 yards (tackle by Khaleke Hudson),0.610,-0.480
4,6:37,2,14,SEA 21,20,15,Russell Wilson pass complete short middle to Jacob Hollister for 7 yards (tackle by Kamren Curl and Thomas Davis),-0.480,-0.230
4,5:51,3,7,SEA 28,20,15,Russell Wilson pass incomplete short left intended for Carlos Hyde,-0.230,-1.500
4,5:44,4,7,SEA 28,20,15,"Michael Dickson punts 57 yards, returned by Steven Sims for -1 yards (tackle by Ryan Neal)",-1.500,0.280
4,5:34,1,10,WAS 14,20,15,J.D. McKissic left guard for 5 yards (tackle by Jamal Adams),-0.280,-0.040
4,5:01,2,5,WAS 19,20,15,Dwayne Haskins left tackle for 9 yards (tackle by D.J. Reed),-0.040,0.810
4,4:50,1,10,WAS 28,20,15,J.D. McKissic left guard for 3 yards (tackle by Damon Harrison),0.810,0.670
4,4:26,2,7,WAS 31,20,15,Dwayne Haskins pass complete short middle to Logan Thomas for 5 yards (tackle by Bobby Wagner),0.670,0.630
4,3:52,3,2,WAS 36,20,15,Dwayne Haskins pass complete short middle to J.D. McKissic for 2 yards (tackle by K.J. Wright),0.630,1.470
4,3:39,1,10,WAS 38,20,15,"Dwayne Haskins sacked by Alton Robinson for -11 yards. Dwayne Haskins fumbles (forced by Alton Robinson), recovered by Dwayne Haskins at WAS-27",1.470,-0.560
4,2:59,2,21,WAS 27,20,15,Dwayne Haskins pass complete short middle to Isaiah Wright for 10 yards (tackle by K.J. Wright),-0.560,0.100
4,2:24,3,11,WAS 37,20,15,"Dwayne Haskins pass complete short middle to Terry McLaurin for 9 yards (tackle by K.J. Wright). Penalty on K.J. Wright: Unnecessary Roughness, 15 yards",0.100,2.980
4,2:18,1,10,SEA 39,20,15,Dwayne Haskins pass complete short left to Terry McLaurin for 5 yards (tackle by D.J. Reed and Alton Robinson),2.980,3.120
4,2:00,2,5,SEA 34,20,15,Dwayne Haskins pass complete short middle to Steven Sims for 11 yards (tackle by Ugo Amadi),3.120,4.040
4,1:18,1,10,SEA 23,20,15,Dwayne Haskins pass incomplete deep middle intended for Logan Thomas,4.040,3.500
4,1:14,2,10,SEA 23,20,15,Dwayne Haskins sacked by L.J. Collier for -5 yards,3.500,2.150
4,1:08,,,,,,Timeout #1 by Washington Football Team,,
4,1:08,3,15,SEA 28,20,15,Dwayne Haskins sacked by Carlos Dunlap for -9 yards,2.150,0.790
4,1:03,,,,,,Timeout #1 by Washington Football Team,,
4,1:03,4,24,SEA 37,20,15,Dwayne Haskins pass incomplete deep middle (defended by Shaquill Griffin). Penalty on Wes Schweitzer: Offensive Holding (Declined),0.790,-1.400
4,0:51,1,10,SEA 37,20,15,Russell Wilson kneels for -1 yards,1.400,0.720
4,0:49,,,,,,Timeout #3 by Washington Football Team,,
4,0:49,2,11,SEA 36,20,15,Russell Wilson kneels for -1 yards,0.720,-0.100
4,0:08,3,12,SEA 35,20,15,Russell Wilson kneels for -1 yards,-0.100,-1.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
