Quarter,Time,Tm,Detail,DEN,KAN
1.0,9:20,Chiefs,Ryan Succop 34 yard field goal,0,3
,4:31,Chiefs,Ryan Succop 22 yard field goal,0,6
2.0,0:18,Broncos,Jacob Tamme 7 yard pass from Peyton Manning (Matt Prater kick),7,6
3.0,7:35,Chiefs,Ryan Succop 49 yard field goal,7,9
,4:41,Broncos,Demaryius Thomas 30 yard pass from Peyton Manning (Matt Prater kick),14,9
4.0,0:14,Broncos,Matt Prater 34 yard field goal,17,9
