Quarter,Time,Tm,Detail,NYG,WAS
1.0,9:56,Giants,Amani Toomer 40 yard pass from Eli Manning (John Carney kick),7,0
,2:11,Giants,John Carney 31 yard field goal,10,0
2.0,12:01,Giants,John Carney 38 yard field goal,13,0
,8:31,Redskins,Devin Thomas 29 yard rush (Shaun Suisham kick),13,7
3.0,8:33,Giants,Brandon Jacobs 1 yard rush (John Carney kick),20,7
4.0,6:26,Giants,John Carney 39 yard field goal,23,7
