Unnamed: 0,HOU,BAL
First Downs,18,24
Rush-Yds-TDs,25-93-0,30-113-2
Cmp-Att-Yd-TD-INT,21-37-220-1-0,20-33-305-0-1
Sacked-Yards,4-20,2-16
Net Pass Yards,200,289
Total Yards,293,402
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,5-15,5-25
Third Down Conv.,6-16,3-11
Fourth Down Conv.,0-3,0-0
Time of Possession,27:48,32:12
