Quarter,Time,Down,ToGo,Location,HOU,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,HOU 20,0,0,Matt Schaub pass complete short left to Kevin Walter for 2 yards (tackle by Haloti Ngata),0.280,0.000
1,14:27,2,8,HOU 22,0,0,Arian Foster right tackle for no gain (tackle by Ray Lewis),0.000,-0.690
1,13:50,3,8,HOU 22,0,0,Matt Schaub pass complete short middle to Kevin Walter for 11 yards (tackle by Lardarius Webb),-0.690,1.140
1,13:14,1,10,HOU 33,0,0,Matt Schaub pass incomplete short right intended for Arian Foster,1.140,0.590
1,13:09,2,10,HOU 33,0,0,Arian Foster right tackle for 3 yards (tackle by Terrence Cody),0.590,0.300
1,12:31,3,7,HOU 36,0,0,Matt Schaub pass complete short middle to Derrick Mason for 11 yards (tackle by Bernard Pollard and Ed Reed),0.300,2.060
1,12:00,1,10,HOU 47,0,0,Ben Tate left guard for 2 yards (tackle by Ray Lewis and Haloti Ngata),2.060,1.790
1,11:24,2,8,HOU 49,0,0,Matt Schaub sacked by Ray Lewis for -7 yards,1.790,0.170
1,10:51,3,15,HOU 42,0,0,Arian Foster for 16 yards (tackle by Cary Williams),0.170,2.790
1,10:18,1,10,BAL 42,0,0,Matt Schaub pass incomplete short left intended for Arian Foster,2.790,2.240
1,10:13,2,10,BAL 42,0,0,Matt Schaub pass incomplete deep middle intended for Bryant Johnson (defended by Bernard Pollard),2.240,1.550
1,10:08,3,10,BAL 42,0,0,Matt Schaub pass incomplete short middle intended for Owen Daniels,1.550,0.460
1,10:04,4,10,BAL 42,0,0,Brett Hartmann punts 39 yards,0.460,0.380
1,9:55,1,10,BAL 3,0,0,Ray Rice right guard for 6 yards (tackle by Brian Cushing and Glover Quin),-0.380,-0.340
1,9:24,2,4,BAL 9,0,0,Joe Flacco pass complete short left to Anquan Boldin for 14 yards (tackle by Kareem Jackson),-0.340,0.480
1,8:49,1,10,BAL 23,0,0,Joe Flacco pass complete short right to Torrey Smith for 14 yards (tackle by Kareem Jackson),0.480,1.400
1,8:20,1,10,BAL 37,0,0,"Penalty on Andre Gurode: False Start, 5 yards (no play)",1.400,1.070
1,8:00,1,15,BAL 32,0,0,Ray Rice right tackle for 6 yards (tackle by Brooks Reed),1.070,0.990
1,7:22,2,9,BAL 38,0,0,Joe Flacco pass complete short middle to Ray Rice for 15 yards (tackle by Danieal Manning),0.990,2.460
1,6:38,1,10,HOU 47,0,0,Joe Flacco pass complete short right to Anquan Boldin for 13 yards (tackle by Danieal Manning),2.460,3.310
1,5:47,1,10,HOU 34,0,0,Joe Flacco pass incomplete short middle intended for Anquan Boldin,3.310,2.770
1,5:27,2,10,HOU 34,0,0,Ray Rice right tackle for 2 yards (tackle by Tim Bulman),2.770,2.350
1,5:05,3,8,HOU 32,0,0,Joe Flacco pass complete short middle to Anquan Boldin for 10 yards (tackle by Johnathan Joseph),2.350,4.110
1,4:25,1,10,HOU 22,0,0,Joe Flacco pass complete short right to Ray Rice for 9 yards (tackle by Glover Quin),4.110,5.060
1,3:45,2,1,HOU 13,0,0,Vonta Leach right guard for 5 yards (tackle by Glover Quin and DeMeco Ryans),5.060,5.370
1,3:05,1,8,HOU 8,0,0,Joe Flacco pass complete short right to Ed Dickson for 7 yards (tackle by Danieal Manning),5.370,5.910
1,2:41,2,1,HOU 1,0,0,Vonta Leach left guard for no gain (tackle by J.J. Watt and Brian Cushing). Penalty on Antonio Smith: Personal Foul,5.910,6.970
1,2:12,1,1,HOU 1,0,0,Ray Rice right guard for no gain (tackle by Darryl Sharpton),6.970,5.910
1,1:35,2,1,HOU 1,0,0,Ray Rice left guard for no gain (tackle by Brooks Reed and Johnathan Joseph). Penalty on Antonio Smith: Personal Foul,5.910,6.970
1,1:15,1,1,HOU 1,0,6,"Joe Flacco left guard for 1 yard, touchdown",6.970,7.000
1,,,,HOU 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,BAL 35,0,7,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
1,1:08,1,10,HOU 20,0,7,Arian Foster right end for 3 yards (tackle by Jarret Johnson),0.280,0.140
1,0:32,2,7,HOU 23,0,7,Arian Foster right tackle for 1 yard (tackle by Terrence Cody),0.140,-0.430
Quarter,Time,Down,ToGo,Location,HOU,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,HOU 24,0,7,Matt Schaub pass complete short right to Derrick Mason for 12 yards (tackle by Danny Gorrer),-0.430,1.330
2,14:29,1,10,HOU 36,0,7,Arian Foster up the middle for 3 yards (tackle by Ray Lewis),1.330,1.200
2,13:50,2,7,HOU 39,0,7,Matt Schaub up the middle for 3 yards (tackle by Ray Lewis),1.200,0.890
2,13:50,3,4,HOU 42,0,7,Matt Schaub pass complete short middle to Owen Daniels for 8 yards (tackle by Brendon Ayanbadejo),0.890,2.260
2,12:33,1,10,HOU 50,0,7,Matt Schaub pass complete short right to Owen Daniels for 5 yards (tackle by Lardarius Webb),2.260,2.390
2,12:02,2,5,BAL 45,0,7,Arian Foster right guard for no gain (tackle by Arthur Jones and Ray Lewis),2.390,1.690
2,11:19,3,5,BAL 45,0,7,Matt Schaub pass incomplete short right intended for Jacoby Jones,1.690,0.270
2,11:14,4,5,BAL 45,0,7,"Brett Hartmann punts 34 yards, fair catch by Lardarius Webb",0.270,0.370
2,11:07,1,10,BAL 11,0,7,"Penalty on Dennis Pitta: False Start, 5 yards (no play)",-0.370,-0.570
2,11:07,1,15,BAL 6,0,7,"Joe Flacco pass incomplete short right intended for Torrey Smith. Penalty on Kareem Jackson: Defensive Holding, 5 yards (no play)",-0.570,-0.370
2,11:02,1,10,BAL 11,0,7,Joe Flacco pass incomplete short right intended for Dennis Pitta,-0.370,-0.780
2,10:59,2,10,BAL 11,0,7,Joe Flacco sacked by Tim Jamison for -9 yards,-0.780,-2.470
2,10:23,3,19,BAL 2,0,7,Joe Flacco pass incomplete short left intended for Torrey Smith,-2.470,-2.490
2,10:18,4,19,BAL 2,0,7,Sam Koch punts 48 yards (tackle by Kris Wilson),-2.490,-2.520
