Unnamed: 0,TAM,PHI
First Downs,15,14
Rush-Yds-TDs,21-81-0,34-159-1
Cmp-Att-Yd-TD-INT,23-38-155-0-1,12-25-127-1-1
Sacked-Yards,6-29,2-17
Net Pass Yards,126,110
Total Yards,207,269
Fumbles-Lost,4-1,3-1
Turnovers,2,2
Penalties-Yards,7-59,8-56
Third Down Conv.,3-13,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:47,31:13
