Quarter,Time,Tm,Detail,TAM,PHI
1.0,10:29,Eagles,David Akers 30 yard field goal,0,3
,5:39,Buccaneers,Derrick Brooks 11 yard defensive fumble return (Martin Gramatica kick),7,3
2.0,2:29,Eagles,Todd Pinkston 42 yard pass from Donovan McNabb (David Akers kick),7,10
3.0,6:22,Eagles,David Akers 36 yard field goal,7,13
,2:39,Buccaneers,Martin Gramatica 48 yard field goal,10,13
4.0,8:18,Eagles,Donovan McNabb 1 yard rush (David Akers kick),10,20
