Unnamed: 0,BAL,DEN
First Downs,24,24
Rush-Yds-TDs,21-58-1,23-65-0
Cmp-Att-Yd-TD-INT,34-62-362-2-2,27-42-462-7-0
Sacked-Yards,4-27,3-17
Net Pass Yards,335,445
Total Yards,393,510
Fumbles-Lost,1-0,3-2
Turnovers,2,2
Penalties-Yards,7-53,8-61
Third Down Conv.,8-22,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,33:48,26:12
