Unnamed: 0,DAL,KAN
First Downs,16,22
Rush-Yds-TDs,16-82-0,26-126-2
Cmp-Att-Yd-TD-INT,28-43-216-0-2,23-37-260-0-1
Sacked-Yards,5-22,3-16
Net Pass Yards,194,244
Total Yards,276,370
Fumbles-Lost,2-1,1-1
Turnovers,3,2
Penalties-Yards,6-45,6-64
Third Down Conv.,5-15,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,29:13,30:47
