Quarter,Time,Tm,Detail,DAL,KAN
1.0,10:01,Chiefs,Travis Kelce 4 yard rush (Harrison Butker kick failed),0,6
,7:55,Chiefs,Harrison Butker 37 yard field goal,0,9
,2:50,Cowboys,Greg Zuerlein 33 yard field goal,3,9
2.0,14:08,Chiefs,Clyde Edwards-Helaire 1 yard rush (Harrison Butker kick),3,16
3.0,9:21,Cowboys,Greg Zuerlein 30 yard field goal,6,16
,2:36,Chiefs,Harrison Butker 53 yard field goal,6,19
4.0,12:52,Cowboys,Greg Zuerlein 48 yard field goal,9,19
