Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,MIA 20,0,0,Chad Henne pass complete short right to Ronnie Brown for 12 yards,0.280,1.070
1,14:35,1,10,MIA 32,0,0,Chad Henne pass complete short right to Brian Hartline for 4 yards (tackle by Devin McCourty and Rob Ninkovich),1.070,1.070
1,13:58,2,6,MIA 36,0,0,Ronnie Brown left guard for 3 yards (tackle by Jerod Mayo),1.070,0.760
1,13:16,3,3,MIA 39,0,0,Chad Henne pass complete short middle to Anthony Fasano for 21 yards (tackle by Brandon Meriweather),0.760,2.920
1,12:45,1,10,NWE 40,0,0,Chad Henne sacked by Mike Wright for -5 yards,2.920,1.700
1,12:13,2,15,NWE 45,0,0,Chad Henne pass complete short right to Ronnie Brown for 9 yards (tackle by Jerod Mayo),1.700,2.210
1,11:28,3,6,NWE 36,0,0,Ronnie Brown middle for -2 yards (tackle by Jermaine Cunningham),2.210,0.720
1,11:07,4,8,NWE 38,0,0,"Brandon Fields punts 27 yards, muffed catch by Wes Welker, recovered by Wes Welker and returned for no gain",0.720,0.370
1,10:56,1,10,NWE 11,0,0,BenJarvus Green-Ellis left tackle for 6 yards (tackle by Karlos Dansby),-0.370,-0.160
1,10:17,2,4,NWE 17,0,0,Tom Brady pass incomplete short left intended for Brandon Tate,-0.160,-0.720
1,10:10,3,4,NWE 17,0,0,Tom Brady pass incomplete short left intended for Wes Welker,-0.720,-2.320
1,10:02,4,4,NWE 17,0,0,"Zoltan Mesko punts 60 yards, returned by Davone Bess for 13 yards (tackle by Tracy White)",-2.320,-1.330
1,9:50,1,10,MIA 36,0,0,Chad Henne pass complete short left to Davone Bess for 21 yards (tackle by Jerod Mayo),1.330,2.720
1,9:15,1,10,NWE 43,0,0,Ricky Williams left end for 11 yards (tackle by Jerod Mayo),2.720,3.450
1,8:34,1,10,NWE 32,0,0,Ricky Williams for 6 yards,3.450,3.710
1,8:09,2,4,NWE 26,0,0,Ricky Williams left tackle for 5 yards (tackle by Jerod Mayo),3.710,4.170
1,7:25,,,,0,0,Timeout #1 by Miami Dolphins,0.000,4.170
1,7:25,1,10,NWE 21,0,0,Chad Henne pass complete short left to Ricky Williams for 7 yards (tackle by Kyle Arrington),4.170,4.740
1,6:59,2,3,NWE 14,0,0,"Ronnie Brown right tackle for 4 yards (tackle by Devin McCourty). Penalty on Richie Incognito: Offensive Holding, 10 yards (no play)",4.740,3.220
1,6:34,2,13,NWE 24,0,0,Ronnie Brown right tackle for 5 yards (tackle by Brandon Spikes),3.220,3.180
1,5:56,3,8,NWE 19,0,6,"Chad Henne pass complete short right to Davone Bess for 19 yards, touchdown",3.180,7.000
1,,,,NWE 2,0,7,Dan Carpenter kicks extra point good,0.000,0.000
1,,,,MIA 30,0,7,"Dan Carpenter kicks off 71 yards, returned by Brandon Tate for 25 yards (tackle by Bobby Carpenter)",0.000,0.540
1,5:42,1,10,NWE 24,0,7,Tom Brady pass complete short left to Brandon Tate for 11 yards (tackle by Karlos Dansby),0.540,1.270
1,5:22,1,10,NWE 35,0,7,BenJarvus Green-Ellis left guard for 3 yards (tackle by Randy Starks),1.270,1.130
1,4:51,2,7,NWE 38,0,7,"Tom Brady pass complete deep left to Aaron Hernandez for 36 yards (tackle by Vontae Davis). Penalty on Matt Light: Offensive Holding, 10 yards (no play)",1.130,-0.220
1,4:23,2,17,NWE 28,0,7,Tom Brady pass complete short left to Brandon Tate for 6 yards (tackle by Chris Clemons),-0.220,-0.100
1,3:45,3,11,NWE 34,0,7,Tom Brady pass complete short right to Rob Gronkowski for 4 yards (tackle by Kendall Langford),-0.100,-0.850
1,3:07,4,7,NWE 38,0,7,"Zoltan Mesko punts 39 yards, returned by Davone Bess for 10 yards (tackle by Patrick Chung)",-0.850,-1.140
1,2:56,1,10,MIA 33,0,7,Chad Henne pass incomplete short right intended for Brian Hartline,1.140,0.590
1,2:52,2,10,MIA 33,0,7,Ronnie Brown middle for -1 yards (tackle by Vince Wilfork),0.590,-0.230
1,2:12,3,11,MIA 32,0,7,Chad Henne pass complete short left to Davone Bess for 13 yards (tackle by Jerod Mayo),-0.230,1.930
1,1:32,1,10,MIA 45,0,7,Chad Henne pass incomplete deep right intended for Brandon Marshall is intercepted by Rob Ninkovich at NWE-39 and returned for 1 yard,1.930,-1.600
1,1:24,1,10,NWE 40,0,7,BenJarvus Green-Ellis right tackle for 6 yards (tackle by Sean Smith and Chris Clemons),1.600,1.860
1,0:43,2,4,NWE 46,0,7,BenJarvus Green-Ellis right end for 6 yards (tackle by Sean Smith and Cameron Wake),1.860,2.390
1,0:08,1,10,MIA 48,0,7,Tom Brady pass complete short left to Aaron Hernandez for -1 yards (tackle by Tim Dobbins),2.390,1.710
Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,MIA 49,0,7,Tom Brady pass complete short left to Aaron Hernandez for 10 yards (tackle by Cameron Wake),1.710,2.340
2,14:18,3,1,MIA 39,0,7,BenJarvus Green-Ellis right tackle for no gain (tackle by Kendall Langford and Tim Dobbins),2.340,0.660
2,13:38,4,1,MIA 39,0,7,Tom Brady right guard for 2 yards (tackle by Paul Soliai),0.660,3.120
2,13:07,1,10,MIA 37,0,7,BenJarvus Green-Ellis right tackle for 4 yards (tackle by Bobby Carpenter),3.120,3.110
2,12:34,2,6,MIA 33,0,7,BenJarvus Green-Ellis right end for 5 yards (tackle by Randy Starks and Yeremiah Bell),3.110,3.070
2,11:54,3,1,MIA 28,0,7,BenJarvus Green-Ellis left tackle for 2 yards (tackle by Yeremiah Bell),3.070,3.840
2,11:15,1,10,MIA 26,0,7,Sammy Morris right end for -1 yards (tackle by Cameron Wake),3.840,3.160
2,10:34,2,11,MIA 27,0,7,Danny Woodhead middle for 9 yards (tackle by Tyrone Culver),3.160,3.750
2,9:51,,,,0,7,Timeout #1 by New England Patriots,0.000,3.750
2,9:51,3,2,MIA 18,0,7,Tom Brady pass complete short left to Aaron Hernandez for 9 yards (tackle by Sean Smith),3.750,5.140
2,9:08,1,9,MIA 9,0,7,Tom Brady sacked by Cameron Wake for -6 yards,5.140,3.460
2,8:35,2,15,MIA 15,0,7,Sammy Morris left tackle for 4 yards (tackle by Bobby Carpenter),3.460,3.120
2,7:55,3,11,MIA 11,0,7,Tom Brady pass complete short middle to Wes Welker for 6 yards (tackle by Yeremiah Bell),3.120,3.010
2,7:16,4,5,MIA 5,3,7,Stephen Gostkowski 23 yard field goal good,3.010,3.000
2,,,,NWE 30,3,7,"Stephen Gostkowski kicks off 70 yards, returned by Nolan Carroll for 21 yards (tackle by Devin McCourty)",0.000,0.340
2,7:06,1,10,MIA 21,3,7,Chad Henne pass incomplete deep right intended for Brian Hartline (defended by Mike Wright),0.340,-0.200
2,7:02,2,10,MIA 21,3,7,Ronnie Brown right tackle for 4 yards (tackle by Rob Ninkovich and Vince Wilfork),-0.200,-0.360
2,6:21,3,6,MIA 25,3,7,Chad Henne pass complete short right to Davone Bess for 14 yards (tackle by Jonathan Wilhite),-0.360,1.530
2,5:41,1,10,MIA 39,3,7,Davone Bess left end for -3 yards (tackle by Brandon Meriweather),1.530,0.580
2,5:04,2,13,MIA 36,3,7,Ronnie Brown middle for 3 yards (tackle by Vince Wilfork),0.580,0.300
2,4:23,,,,3,7,Timeout #2 by New England Patriots,0.000,0.300
2,4:23,3,10,MIA 39,3,7,"Chad Henne pass incomplete deep right intended for Brian Hartline. Penalty on Devin McCourty: Defensive Pass Interfere, 16 yards (no play)",0.300,2.590
2,4:16,1,10,NWE 45,3,7,"Penalty on Pat McQuistan: False Start, 5 yards (no play)",2.590,2.260
2,4:16,1,15,,3,7,Chad Henne pass complete short middle to Davone Bess for 7 yards (tackle by Gary Guyton),2.260,2.310
2,3:37,2,8,NWE 43,3,7,Ricky Williams right tackle for 16 yards (tackle by Kyle Arrington),2.310,3.780
2,2:55,1,10,NWE 27,3,7,Chad Henne pass incomplete short right intended for Patrick Cobbs is intercepted by Rob Ninkovich at NWE-25,3.780,-0.610
2,2:47,1,10,NWE 25,3,7,Tom Brady pass complete short left to Wes Welker for 6 yards (tackle by Vontae Davis),0.610,0.870
2,2:21,2,4,NWE 31,3,7,Tom Brady pass complete short right to Wes Welker for 5 yards (tackle by Bobby Carpenter),0.870,1.330
2,2:00,1,10,NWE 36,3,7,Tom Brady pass complete short right to Aaron Hernandez for 5 yards (tackle by Bobby Carpenter),1.330,1.470
2,1:56,2,5,NWE 41,3,7,Danny Woodhead right tackle for 4 yards (tackle by Sean Smith),1.470,1.290
2,1:39,3,1,NWE 45,3,7,Tom Brady middle for 5 yards (tackle by Cameron Wake),1.290,2.260
2,1:20,1,10,,3,7,Tom Brady pass complete short left to Wes Welker for 5 yards (tackle by Yeremiah Bell),2.260,2.390
2,0:59,2,5,MIA 45,3,7,Tom Brady pass complete short right to Brandon Tate for 10 yards (tackle by Benny Sapp),2.390,3.250
2,0:40,1,10,MIA 35,3,7,Tom Brady pass incomplete,3.250,2.700
2,0:32,2,10,MIA 35,3,7,Tom Brady pass complete short right to Brandon Tate for 12 yards,2.700,4.040
2,0:26,,,,3,7,Timeout #2 by Miami Dolphins,0.000,4.040
2,0:26,1,10,MIA 23,3,7,Tom Brady pass complete short left to Wes Welker for 11 yards (tackle by Vontae Davis),4.040,4.780
2,0:12,1,10,MIA 12,3,7,Tom Brady pass incomplete short left intended for Randy Moss,4.780,4.100
2,0:08,2,10,MIA 12,3,7,Tom Brady sacked by Kendall Langford for 0 yards,4.100,3.120
2,0:03,,,,3,7,Timeout #3 by New England Patriots,0.000,0.000
2,0:03,,,,3,7,Timeout #3 by Miami Dolphins,0.000,3.120
2,0:03,3,10,MIA 12,6,7,Stephen Gostkowski 30 yard field goal good,3.120,3.000
Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 30,12,7,"Dan Carpenter kicks off 73 yards, returned by Brandon Tate for 103 yards, touchdown",0.000,7.000
3,,,,MIA 2,13,7,Stephen Gostkowski kicks extra point good,0.000,0.000
3,,,,NWE 30,13,7,"Stephen Gostkowski kicks off 75 yards, touchback",0.000,0.280
3,14:46,1,10,MIA 20,13,7,Ronnie Brown middle for 2 yards (tackle by Jerod Mayo),0.280,0.000
3,14:13,2,8,MIA 22,13,7,Chad Henne pass incomplete short right intended for Anthony Fasano (defended by Devin McCourty),0.000,-0.690
3,14:06,3,8,MIA 22,13,7,Chad Henne pass complete short right to Brandon Marshall for 4 yards (tackle by Jonathan Wilhite),-0.690,-1.630
3,13:32,4,4,MIA 26,13,7,Brandon Fields punts no gain,-1.630,-4.580
3,13:26,1,10,MIA 15,13,7,BenJarvus Green-Ellis right tackle for 3 yards (tackle by Karlos Dansby),4.580,4.450
3,12:50,2,7,MIA 12,19,7,"BenJarvus Green-Ellis left guard for 12 yards, touchdown",4.450,7.000
3,,,,MIA 2,20,7,Stephen Gostkowski kicks extra point good,0.000,0.000
3,,,,NWE 30,20,7,"Stephen Gostkowski kicks off 79 yards, touchback",0.000,0.280
