Quarter,Time,Tm,Detail,NWE,MIA
1.0,5:48,Dolphins,Davone Bess 19 yard pass from Chad Henne (Dan Carpenter kick),0,7
2.0,7:13,Patriots,Stephen Gostkowski 23 yard field goal,3,7
,0:00,Patriots,Stephen Gostkowski 30 yard field goal,6,7
3.0,14:46,Patriots,Brandon Tate 103 yard kickoff return (Stephen Gostkowski kick),13,7
,12:44,Patriots,BenJarvus Green-Ellis 12 yard rush (Stephen Gostkowski kick),20,7
,8:56,Dolphins,Ricky Williams 28 yard pass from Chad Henne (Dan Carpenter kick),20,14
,4:02,Patriots,Danny Woodhead 11 yard pass from Tom Brady (Stephen Gostkowski kick),27,14
4.0,14:05,Patriots,Kyle Arrington 35 yard blocked field goal return (Stephen Gostkowski kick),34,14
,6:30,Patriots,Patrick Chung 51 yard interception return (Stephen Gostkowski kick),41,14
