Unnamed: 0,KAN,OAK
First Downs,19,26
Rush-Yds-TDs,24-78-2,33-130-2
Cmp-Att-Yd-TD-INT,20-25-318-5-0,20-41-331-2-5
Sacked-Yards,2-12,0-0
Net Pass Yards,306,331
Total Yards,384,461
Fumbles-Lost,1-1,2-2
Turnovers,1,7
Penalties-Yards,8-91,10-90
Third Down Conv.,4-9,7-14
Fourth Down Conv.,1-1,1-1
Time of Possession,25:53,34:07
