Quarter,Time,Tm,Detail,KAN,OAK
1.0,14:38,Chiefs,Jamaal Charles 49 yard pass from Alex Smith (Ryan Succop kick),7,0
,11:05,Raiders,Sebastian Janikowski 34 yard field goal,7,3
,7:27,Chiefs,Jamaal Charles 39 yard pass from Alex Smith (Ryan Succop kick),14,3
,5:07,Chiefs,Eric Berry 47 yard interception return (Ryan Succop kick),21,3
2.0,14:40,Raiders,Rashad Jennings 1 yard rush (Sebastian Janikowski kick),21,10
,8:59,Chiefs,Jamaal Charles 1 yard rush (Ryan Succop kick),28,10
,5:42,Chiefs,Jamaal Charles 16 yard pass from Alex Smith (Ryan Succop kick),35,10
,3:00,Raiders,Rashad Jennings 1 yard rush (Sebastian Janikowski kick),35,17
3.0,12:01,Raiders,Andre Holmes 6 yard pass from Matt McGloin (Sebastian Janikowski kick),35,24
,4:56,Raiders,Mychal Rivera 14 yard pass from Matt McGloin (Sebastian Janikowski kick),35,31
,3:34,Chiefs,Jamaal Charles 71 yard pass from Alex Smith (Ryan Succop kick),42,31
,1:20,Chiefs,Sean McGrath 6 yard pass from Alex Smith (Ryan Succop kick),49,31
4.0,8:19,Chiefs,Knile Davis 17 yard rush (Ryan Succop kick),56,31
