Quarter,Time,Tm,Detail,IND,HOU
1.0,8:33,Colts,T.Y. Hilton 45 yard pass from Jacoby Brissett (Adam Vinatieri kick),7,0
2.0,4:34,Colts,Adam Vinatieri 22 yard field goal,10,0
,0:56,Texans,Lamarr Houston 34 yard fumble return (Ka'imi Fairbairn kick),10,7
3.0,1:56,Colts,T.Y. Hilton 80 yard pass from Jacoby Brissett (Adam Vinatieri kick),17,7
4.0,9:12,Colts,Adam Vinatieri 53 yard field goal,20,7
,6:11,Texans,DeAndre Hopkins 34 yard pass from Tom Savage (Ka'imi Fairbairn kick),20,14
