Unnamed: 0,IND,HOU
First Downs,17,19
Rush-Yds-TDs,28-92-0,21-94-0
Cmp-Att-Yd-TD-INT,20-30-308-2-0,19-44-219-1-0
Sacked-Yards,3-29,2-25
Net Pass Yards,279,194
Total Yards,371,288
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,6-68,7-74
Third Down Conv.,4-14,4-14
Fourth Down Conv.,0-0,0-1
Time of Possession,30:59,29:01
