Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 70 yards, returned by Eddie Royal for 22 yards (tackle by Keyaron Fox)",0.000,0.410
1,14:55,1,10,DEN 22,0,0,Kyle Orton pass complete short left to Eddie Royal for 13 yards (tackle by William Gay),0.410,1.270
1,14:19,1,10,DEN 35,0,0,Correll Buckhalter right guard for 1 yard (tackle by James Harrison),1.270,0.860
1,13:42,2,9,DEN 36,0,0,Kyle Orton pass complete short left to Eddie Royal for 14 yards (tackle by James Farrior),0.860,2.260
1,13:42,1,10,,0,0,Correll Buckhalter right guard for 5 yards (tackle by Keyaron Fox),2.260,2.390
1,12:27,2,5,PIT 45,0,0,Kyle Orton pass complete deep left to Eddie Royal for 20 yards (tackle by William Gay),2.390,3.910
1,11:52,1,10,PIT 25,0,0,Correll Buckhalter middle for -3 yards (tackle by LaMarr Woodley),3.910,2.960
1,11:15,2,13,PIT 28,0,0,Kyle Orton pass complete short right to Brandon Marshall for 6 yards (tackle by Deshea Townsend),2.960,3.070
1,10:35,3,7,PIT 22,0,0,Kyle Orton pass incomplete short right intended for Eddie Royal (defended by William Gay),3.070,1.990
1,10:28,4,7,PIT 22,0,3,Matt Prater 40 yard field goal good,1.990,3.000
1,,,,DEN 30,0,3,"Matt Prater kicks off 75 yards, returned by Stefan Logan for 22 yards (tackle by Spencer Larsen)",0.000,-0.060
1,10:18,1,10,PIT 17,0,3,Rashard Mendenhall middle for 5 yards (tackle by D.J. Williams),-0.060,0.210
1,9:33,2,5,PIT 22,0,3,Ben Roethlisberger pass complete short right to Santonio Holmes for 9 yards (tackle by Champ Bailey),0.210,1.000
1,8:49,1,10,PIT 31,0,3,Rashard Mendenhall left tackle for 6 yards (tackle by Andra Davis),1.000,1.270
1,8:07,2,4,PIT 37,0,3,Ben Roethlisberger pass incomplete short right intended for Hines Ward,1.270,0.560
1,8:03,3,4,PIT 37,0,3,Ben Roethlisberger sacked by Elvis Dumervil and Darrell Reid for -10 yards,0.560,-1.570
1,8:03,4,14,PIT 27,0,3,Daniel Sepulveda punts 55 yards,-1.570,-0.040
1,7:21,1,10,DEN 18,0,3,Kyle Orton pass complete short middle to Brandon Marshall for 15 yards (tackle by Keyaron Fox),0.040,1.140
1,6:41,1,10,DEN 33,0,3,Kyle Orton pass complete short middle to Brandon Marshall for 4 yards (tackle by Keyaron Fox),1.140,1.130
1,6:05,2,6,DEN 37,0,3,Knowshon Moreno right tackle for -2 yards (tackle by James Farrior),1.130,0.170
1,5:24,3,8,DEN 35,0,3,Kyle Orton pass complete short middle to Brandon Marshall for 9 yards (tackle by James Farrior),0.170,1.860
1,4:50,1,10,DEN 44,0,3,Kyle Orton pass complete short left to Jabar Gaffney for 3 yards (tackle by William Gay and James Harrison),1.860,1.720
1,4:06,2,7,DEN 47,0,3,Kyle Orton pass incomplete short left intended for Eddie Royal,1.720,1.030
1,4:02,3,7,DEN 47,0,3,Kyle Orton pass complete short right to Brandon Marshall for 5 yards (tackle by Ike Taylor),1.030,0.070
1,3:20,4,2,PIT 48,0,3,"Mitch Berger punts 48 yards, touchback",0.070,-0.280
1,3:12,1,10,PIT 20,0,3,Rashard Mendenhall middle for 3 yards (tackle by D.J. Williams),0.280,0.140
1,2:28,2,7,PIT 23,0,3,Ben Roethlisberger pass incomplete deep left intended for Mike Wallace,0.140,-0.560
1,2:22,3,7,PIT 23,0,3,Ben Roethlisberger pass complete short middle to Santonio Holmes for 16 yards (tackle by Brian Dawkins),-0.560,1.530
1,1:37,1,10,PIT 39,0,3,Ben Roethlisberger sacked by D.J. Williams and Andra Davis for -8 yards,1.530,-0.090
1,1:00,2,18,PIT 31,0,3,Ben Roethlisberger pass complete short right to Rashard Mendenhall for 9 yards (tackle by Wesley Woodyard),-0.090,0.430
1,0:13,3,9,PIT 40,0,3,Ben Roethlisberger pass incomplete short left intended for Mike Wallace (defended by Andre' Goodman),0.430,-0.720
1,0:07,4,9,PIT 40,0,3,"Daniel Sepulveda punts 43 yards, returned by Eddie Royal for 6 yards (tackle by Ryan Mundy)",-0.720,-0.480
Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 23,0,3,Correll Buckhalter left end for 7 yards (tackle by James Farrior and Tyrone Carter),0.480,0.880
2,14:20,2,3,DEN 30,0,3,Correll Buckhalter left tackle for 1 yard (tackle by LaMarr Woodley),0.880,0.300
2,13:40,3,2,DEN 31,0,3,Kyle Orton pass complete short right to Eddie Royal for 11 yards (tackle by William Gay),0.300,1.730
2,13:01,1,10,DEN 42,6,3,"Kyle Orton pass incomplete short middle intended for Knowshon Moreno is intercepted by Tyrone Carter at DEN-48 and returned for 48 yards, touchdown",1.730,-7.000
2,,,,DEN 2,7,3,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,7,3,"Jeff Reed kicks off 67 yards, returned by Kenny McKinley for 18 yards (tackle by Arnold Harrison)",0.000,0.340
2,12:44,1,10,DEN 21,7,3,Knowshon Moreno left guard for 4 yards (tackle by Nick Eason),0.340,0.340
2,12:14,2,6,DEN 25,7,3,Kyle Orton sacked by Brett Keisel for -4 yards,0.340,-0.890
2,11:42,3,10,DEN 21,7,3,Kyle Orton pass complete short middle to Brandon Marshall for 15 yards (tackle by Troy Polamalu),-0.890,1.330
2,10:58,1,10,DEN 36,7,3,Knowshon Moreno right tackle for -1 yards (tackle by Keyaron Fox),1.330,0.660
2,10:20,2,11,DEN 35,7,3,Kyle Orton pass complete short right to Jabar Gaffney for 3 yards (tackle by Ike Taylor),0.660,0.370
2,9:38,3,8,DEN 38,7,3,Kyle Orton pass complete short middle to Daniel Graham for 18 yards (tackle by LaMarr Woodley),0.370,2.650
2,8:52,1,10,PIT 44,7,3,"Penalty on Russ Hochstein: False Start, 5 yards (no play)",2.650,2.320
2,8:36,1,15,PIT 49,7,3,Kyle Orton pass incomplete short left intended for Brandon Marshall,2.320,1.440
2,8:31,2,15,PIT 49,7,3,Kyle Orton pass complete short left to Brandon Marshall for 10 yards (tackle by James Harrison),1.440,2.080
2,7:45,3,5,PIT 39,7,3,Kyle Orton pass incomplete short left intended for Jabar Gaffney (defended by William Gay),2.080,0.660
,,,,,,,"DEN challenged the incomplete pass ruling, and the play was upheld.",,
2,7:40,4,5,PIT 39,7,3,"Kyle Orton pass complete short right to Brandon Stokley for 8 yards (tackle by LaMarr Woodley). Penalty on Ben Hamilton: Offensive Holding, 10 yards (no play)",0.660,0.000
2,7:13,4,15,PIT 49,7,3,Mitch Berger punts 26 yards,0.000,-0.480
2,7:05,1,10,PIT 23,7,3,Rashard Mendenhall middle for 4 yards (tackle by Brian Dawkins and Kenny Peterson),0.480,0.470
2,6:27,2,6,PIT 27,7,3,Rashard Mendenhall middle for 4 yards (tackle by Brian Dawkins),0.470,0.300
2,5:42,3,2,PIT 31,7,3,Ben Roethlisberger pass complete short right to Mike Wallace for 11 yards (tackle by Andre' Goodman),0.300,1.730
2,5:15,1,10,PIT 42,7,3,Rashard Mendenhall middle for 3 yards (tackle by Mario Haggan and Ronald Fields),1.730,1.590
2,4:34,2,7,PIT 45,7,3,"Penalty on Trai Essex: False Start, 5 yards (no play)",1.590,0.920
2,4:14,2,12,PIT 40,7,3,Ben Roethlisberger pass complete short right to Hines Ward for 4 yards (tackle by Renaldo Hill),0.920,0.760
2,3:29,3,8,PIT 44,7,3,Ben Roethlisberger pass complete short right to Heath Miller for no gain,0.760,-0.460
2,2:57,4,8,PIT 44,7,3,"Daniel Sepulveda punts 40 yards, fair catch by Eddie Royal",-0.460,0.140
2,2:47,1,10,DEN 16,7,3,Correll Buckhalter right end for 6 yards (tackle by Ike Taylor),-0.140,0.280
2,2:24,2,4,DEN 22,7,3,Knowshon Moreno left tackle for 3 yards (tackle by James Harrison),0.280,-0.200
2,2:00,3,1,DEN 25,7,3,Kyle Orton pass complete short middle to Brandon Marshall for 18 yards (tackle by Ike Taylor),-0.200,1.800
2,1:29,1,10,DEN 43,7,3,Kyle Orton sacked by Brett Keisel for -2 yards,1.800,0.980
2,0:52,2,12,DEN 41,7,3,Kyle Orton pass complete short left to Correll Buckhalter for -1 yards (tackle by Troy Polamalu),0.980,0.170
2,0:26,3,13,DEN 40,7,3,Correll Buckhalter right tackle for 5 yards (tackle by LaMarr Woodley),0.170,-0.390
2,0:18,,,,7,3,Timeout #1 by Pittsburgh Steelers,0.000,-0.390
2,0:18,4,8,DEN 45,7,3,"Mitch Berger punts 39 yards, fair catch by Stefan Logan. Penalty on Joe Burnett: Running Into the Kicker (Declined), Penalty on Limas Sweed: Offensive Holding, 8 yards",-0.390,0.380
2,0:11,1,10,PIT 9,7,3,Ben Roethlisberger kneels for -2 yards,-0.380,-0.930
Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,7,3,"Matt Prater kicks off 75 yards, returned by Stefan Logan for 22 yards (tackle by Josh Barrett)",0.000,-0.060
3,14:53,1,10,PIT 17,7,3,Ben Roethlisberger pass complete short middle to Hines Ward for 7 yards (tackle by Wesley Woodyard),-0.060,0.480
3,14:20,2,3,PIT 24,7,3,Rashard Mendenhall right tackle for 6 yards (tackle by Andre' Goodman and Wesley Woodyard),0.480,0.940
3,13:34,1,10,PIT 30,7,3,Rashard Mendenhall left tackle for 3 yards (tackle by Wesley Woodyard),0.940,0.800
3,12:58,2,7,PIT 33,7,3,Ben Roethlisberger pass complete short middle to Hines Ward for 18 yards (tackle by Renaldo Hill),0.800,2.320
3,12:10,1,10,DEN 49,7,3,Ben Roethlisberger pass complete short middle to Santonio Holmes for 16 yards (tackle by Champ Bailey),2.320,3.380
3,11:30,1,10,DEN 33,7,9,"Ben Roethlisberger sacked by Kenny Peterson for -13 yards. Ben Roethlisberger fumbles (forced by Kenny Peterson), recovered by Robert Ayers at DEN-46 and returned for 54 yards, touchdown",3.380,-7.000
3,,,,PIT 2,7,10,Matt Prater kicks extra point good,0.000,0.000
3,,,,DEN 30,7,10,"Matt Prater kicks off 75 yards, returned by Stefan Logan for 25 yards (tackle by Spencer Larsen)",0.000,0.280
3,11:09,1,10,PIT 20,7,10,Ben Roethlisberger pass complete deep right to Mike Wallace for 18 yards (tackle by Andre' Goodman),0.280,1.470
3,10:29,1,10,PIT 38,7,10,Rashard Mendenhall right end for 24 yards (tackle by Wesley Woodyard),1.470,3.050
3,10:01,1,10,DEN 38,7,10,Ben Roethlisberger pass complete deep right to Santonio Holmes for 35 yards (tackle by Champ Bailey),3.050,6.510
3,9:15,1,3,DEN 3,13,10,"Ben Roethlisberger pass complete short middle to Hines Ward for 3 yards, touchdown",6.510,7.000
3,,,,DEN 2,14,10,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,14,10,"Jeff Reed kicks off 43 yards, returned by Spencer Larsen for 13 yards (tackle by Keyaron Fox)",0.000,1.600
