Quarter,Time,Tm,Detail,IND,CHI
1.0,8:08,Colts,Mo Alie-Cox 13 yard pass from Philip Rivers (Rodrigo Blankenship kick),7,0
2.0,9:24,Bears,Cairo Santos 27 yard field goal,7,3
,3:47,Colts,Rodrigo Blankenship 21 yard field goal,10,3
,0:06,Colts,Rodrigo Blankenship 30 yard field goal,13,3
3.0,0:55,Colts,Rodrigo Blankenship 44 yard field goal,16,3
4.0,3:47,Colts,Rodrigo Blankenship 30 yard field goal,19,3
,1:35,Bears,Allen Robinson 16 yard pass from Nick Foles (David Montgomery run),19,11
