Unnamed: 0,IND,CHI
First Downs,18,16
Rush-Yds-TDs,38-103-0,16-28-0
Cmp-Att-Yd-TD-INT,16-29-190-1-0,26-42-249-1-1
Sacked-Yards,1-4,1-8
Net Pass Yards,186,241
Total Yards,289,269
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,8-76,8-103
Third Down Conv.,8-19,4-14
Fourth Down Conv.,1-2,0-0
Time of Possession,32:28,27:32
