Quarter,Time,Down,ToGo,Location,IND,CHI,Detail,EPB,EPA
2,14:29,4,5,IND 39,7,0,"Rigoberto Sanchez punts 47 yards, returned by Ted Ginn for no gain (tackle by George Odum). Penalty on Kindle Vildor: Offensive Holding, 7 yards",-0.780,0.380
2,14:19,1,10,CHI 7,7,0,Nick Foles pass complete deep left to Darnell Mooney for 33 yards (tackle by Xavier Rhodes),-0.380,1.600
2,13:40,1,10,CHI 40,7,0,David Montgomery left tackle for 2 yards (tackle by Justin Houston),1.600,1.320
2,12:56,2,8,CHI 42,7,0,Nick Foles pass complete deep middle to Allen Robinson for 27 yards (tackle by Julian Blackmon),1.320,3.510
2,12:11,1,10,IND 31,7,0,Nick Foles pass complete short left to Anthony Miller for no gain (tackle by Kenny Moore),3.510,2.970
2,11:27,2,10,IND 31,7,0,Nick Foles pass complete short left to David Montgomery for 17 yards (tackle by Kenny Moore),2.970,4.650
2,10:50,1,10,IND 14,7,0,Nick Foles pass complete short middle to David Montgomery for 5 yards (tackle by Anthony Walker),4.650,4.900
2,10:11,,,,,,Timeout #2 by Chicago Bears,,
2,10:11,2,5,IND 9,7,0,Nick Foles right tackle for no gain (tackle by Bobby Okereke),4.900,4.050
2,9:32,3,5,IND 9,7,0,Nick Foles pass incomplete short left intended for Demetrius Harris,4.050,2.880
2,9:28,4,5,IND 9,7,3,Cairo Santos 27 yard field goal good,2.880,3.000
2,9:24,,,CHI 35,7,3,"Cairo Santos kicks off 67 yards, returned by Isaiah Rodgers for 32 yards (tackle by Kindle Vildor)",0.000,0.940
2,9:18,1,10,IND 30,7,3,Jonathan Taylor right guard for 3 yards (tackle by Bilal Nichols),0.940,0.800
2,8:51,2,7,IND 33,7,3,Philip Rivers pass incomplete short right,0.800,0.100
2,8:45,3,7,IND 33,7,3,Philip Rivers pass complete short left to T.Y. Hilton for 13 yards (tackle by Eddie Jackson). Penalty on Eddie Jackson: Defensive Pass Interference (Declined),0.100,1.990
2,8:25,1,10,IND 46,7,3,Jonathan Taylor left tackle for -1 yards (tackle by Roquan Smith and Danny Trevathan),1.990,1.320
2,7:49,2,11,IND 45,7,3,"Jonathan Taylor left tackle for 12 yards (tackle by Robert Quinn). Penalty on Robert Quinn: Horse Collar Tackle, 15 yards",1.320,3.710
2,7:17,1,10,CHI 28,7,3,Jonathan Taylor left tackle for 9 yards (tackle by Jaylon Johnson),3.710,4.420
2,6:46,2,1,CHI 19,7,3,Jordan Wilkins left guard for 3 yards (tackle by Akiem Hicks),4.420,4.510
2,6:11,1,10,CHI 16,7,3,Jordan Wilkins left guard for no gain (tackle by James Vaughters),4.510,3.900
2,5:25,2,10,CHI 16,7,3,Philip Rivers pass incomplete short left intended for Zach Pascal (defended by Jaylon Johnson),3.900,3.080
2,5:20,3,10,CHI 16,7,3,Philip Rivers pass complete short middle to Jack Doyle for 12 yards (tackle by Roquan Smith),3.080,6.280
2,4:39,1,4,CHI 4,7,3,Jonathan Taylor left guard for 1 yard (tackle by Roquan Smith),6.280,5.530
2,3:58,2,3,CHI 3,7,3,Philip Rivers pass incomplete short left intended for Mo Alie-Cox (defended by Tashaun Gipson),5.530,4.720
2,3:54,3,3,CHI 3,7,3,Philip Rivers pass incomplete short middle intended for Zach Pascal,4.720,3.040
2,3:50,4,3,CHI 3,10,3,Rodrigo Blankenship 21 yard field goal good,3.040,3.000
2,3:47,,,IND 35,10,3,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,3:47,1,10,CHI 25,10,3,David Montgomery right guard for 3 yards (tackle by Grover Stewart),0.610,0.470
2,3:07,2,7,CHI 28,10,3,Darnell Mooney left end for -3 yards (tackle by Justin Houston),0.470,-0.620
2,2:23,3,10,CHI 25,10,3,Nick Foles pass incomplete deep middle intended for Cordarrelle Patterson,-0.620,-1.700
2,2:16,4,10,CHI 25,10,3,"Pat O'Donnell punts 49 yards, returned by Nyheim Hines for 4 yards (tackle by Josh Woods). Penalty on Cordarrelle Patterson: Unsportsmanlike Conduct, 15 yards",-1.700,-1.930
2,2:05,1,10,IND 45,10,3,Jordan Wilkins right tackle for 2 yards (tackle by Roquan Smith),1.930,1.650
2,1:58,2,8,IND 47,10,3,"Penalty on Braden Smith: False Start, 5 yards (no play)",1.650,0.980
2,1:58,2,13,IND 42,10,3,Philip Rivers pass complete short middle to Zach Pascal for 11 yards (tackle by Tashaun Gipson),0.980,1.750
2,1:37,3,2,CHI 47,10,3,Philip Rivers pass complete short right to Trey Burton for 8 yards (tackle by Tashaun Gipson),1.750,2.980
2,1:33,1,10,CHI 39,10,3,Nyheim Hines left guard for 1 yard (tackle by Khalil Mack),2.980,2.580
2,1:12,2,9,CHI 38,10,3,"Philip Rivers pass incomplete deep right intended for T.Y. Hilton. Penalty on Kyle Fuller: Defensive Pass Interference, 28 yards (no play)",2.580,4.910
2,1:07,1,10,CHI 10,10,3,Nyheim Hines left tackle for -1 yards (tackle by Akiem Hicks),4.910,4.020
2,1:03,,,,,,Timeout #3 by Chicago Bears,,
2,1:03,2,11,CHI 11,10,3,Philip Rivers pass complete short right to T.Y. Hilton for 3 yards (tackle by Roquan Smith),4.020,3.580
2,0:57,3,8,CHI 8,10,3,Philip Rivers sacked by Brent Urban for -4 yards,3.580,2.630
2,0:10,,,,,,Timeout #1 by Indianapolis Colts,,
2,0:10,4,12,CHI 12,13,3,Rodrigo Blankenship 30 yard field goal good,2.630,3.000
2,0:06,,,IND 35,13,3,"Rigoberto Sanchez kicks off 39 yards, returned by Ryan Nall for 8 yards (tackle by E.J. Speed)",0.000,1.200
