Unnamed: 0,JAX,NOR
First Downs,18,32
Rush-Yds-TDs,23-88-0,25-103-1
Cmp-Att-Yd-TD-INT,20-33-354-2-3,35-49-445-3-0
Sacked-Yards,2-10,1-10
Net Pass Yards,344,435
Total Yards,432,538
Fumbles-Lost,0-0,2-1
Turnovers,3,1
Penalties-Yards,4-38,2-20
Third Down Conv.,6-13,4-10
Fourth Down Conv.,0-1,0-0
Time of Possession,26:06,33:54
