Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
1,8:53,1,3,JAX 3,0,3,Reggie Bush left guard for 2 yards (tackle by Mike Peterson and Sammy Knight),6.510,5.910
1,8:36,2,1,JAX 1,0,9,"Reggie Bush left guard for 1 yard, touchdown",5.910,7.000
1,,,,JAX 2,0,10,Olindo Mare kicks extra point good,0.000,0.000
1,,,,NOR 30,0,10,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
1,8:33,1,10,JAX 20,0,10,Fred Taylor right guard for no gain (tackle by Scott Fujita),0.280,-0.270
1,7:49,2,10,JAX 20,0,10,Quinn Gray pass incomplete short right intended for Reggie Williams,-0.270,-0.960
1,7:44,3,10,JAX 20,6,10,"Quinn Gray pass complete deep left to Reggie Williams for 80 yards, touchdown",-0.960,7.000
1,,,,NOR 2,7,10,John Carney kicks extra point good,0.000,0.000
1,,,,JAX 30,7,10,"John Carney kicks off 59 yards, returned by Pierre Thomas for 21 yards (tackle by Brian Iwuh)",0.000,1.070
1,7:25,1,10,NOR 32,7,10,Drew Brees pass complete short left to Reggie Bush for 11 yards (tackle by Reggie Nelson),1.070,1.800
1,6:57,1,10,NOR 43,7,10,Drew Brees pass incomplete short middle intended for Reggie Bush (defended by John Henderson),1.800,1.250
1,6:46,2,10,NOR 43,7,10,Drew Brees pass incomplete deep left intended for David Patten,1.250,0.560
1,6:40,3,10,NOR 43,7,10,Drew Brees left end for 8 yards (tackle by Daryl Smith),0.560,0.000
1,6:26,4,2,JAX 49,7,10,Steve Weatherford punts 39 yards,0.000,0.380
1,6:17,1,10,JAX 10,7,10,Fred Taylor right guard for 15 yards (tackle by Will Smith and Roman Harper),-0.380,0.610
1,5:40,1,10,JAX 25,7,10,Quinn Gray pass incomplete deep right intended for John Broussard (defended by Mike McKenzie),0.610,0.060
1,5:33,2,10,JAX 25,7,10,Fred Taylor left end for 5 yards (tackle by Josh Bullocks and Hollis Thomas),0.060,0.040
1,4:48,3,5,JAX 30,7,10,"Quinn Gray pass complete short right to Maurice Jones-Drew for 22 yards (tackle by Mike McKenzie). Penalty on Mike McKenzie: Face Mask (15 Yards), 15 yards",0.040,3.380
1,4:20,1,10,NOR 33,7,10,Fred Taylor left tackle for -1 yards (tackle by Kendrick Clancy and Will Smith),3.380,2.700
1,3:45,2,11,NOR 34,7,10,Quinn Gray pass complete short left to John Broussard for 15 yards (tackle by Jason David),2.700,4.310
1,3:21,1,10,NOR 19,7,10,Quinn Gray pass complete short left to Fred Taylor for 4 yards (tackle by Josh Bullocks),4.310,4.350
1,2:46,2,6,NOR 15,7,10,Maurice Jones-Drew left guard for 3 yards (tackle by Will Smith),4.350,4.190
1,2:09,,,,7,10,Timeout #1 by Jacksonville Jaguars,0.000,4.190
1,2:09,3,3,NOR 12,7,10,Quinn Gray pass incomplete short left intended for Maurice Jones-Drew,4.190,2.730
1,2:05,4,3,NOR 12,10,10,John Carney 30 yard field goal good,2.730,3.000
1,,,,JAX 30,10,10,"John Carney kicks off 64 yards, returned by Aaron Stecker for 15 yards (tackle by Brian Iwuh)",0.000,0.340
1,1:56,1,10,NOR 21,10,10,Drew Brees pass incomplete short right intended for Marques Colston,0.340,-0.200
1,1:49,2,10,NOR 21,10,10,Drew Brees pass complete short middle to Marques Colston for 20 yards (tackle by Reggie Nelson),-0.200,1.660
1,1:12,1,10,NOR 41,10,10,Drew Brees pass complete deep left to Billy Miller for 57 yards (tackle by Sammy Knight),1.660,6.740
1,0:18,1,2,JAX 2,10,16,"Drew Brees pass complete short right to Reggie Bush for 2 yards, touchdown",6.740,7.000
1,,,,JAX 2,10,17,Olindo Mare kicks extra point good,0.000,0.000
1,,,,NOR 30,16,17,"Olindo Mare kicks off 70 yards, returned by Maurice Jones-Drew for 100 yards, touchdown",0.000,7.000
1,,,,NOR 2,17,17,John Carney kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,JAX 30,17,17,"John Carney kicks off 67 yards, returned by Aaron Stecker for 21 yards (tackle by Scott Starks)",0.000,0.540
2,14:55,1,10,NOR 24,17,17,Drew Brees pass incomplete (defended by Marcus Stroud),0.540,0.000
2,14:49,2,10,NOR 24,17,17,Drew Brees pass incomplete short right intended for Aaron Stecker,0.000,-0.690
2,14:44,3,10,NOR 24,17,17,Drew Brees pass complete short left to Lance Moore for 13 yards (tackle by Aaron Glenn). Penalty on Marcus Stroud: Defensive Offside (Declined),-0.690,1.400
2,14:21,1,10,NOR 37,17,17,Reggie Bush right tackle for 10 yards (tackle by Clint Ingram and Rashean Mathis),1.400,2.060
2,13:38,1,10,NOR 47,17,17,Drew Brees pass complete deep middle to Marques Colston for 21 yards (tackle by Reggie Nelson),2.060,3.450
2,12:57,1,10,JAX 32,17,17,Drew Brees pass incomplete deep left intended for Marques Colston,3.450,2.900
2,12:52,2,10,JAX 32,17,17,Drew Brees pass complete short right to Eric Johnson for 11 yards (tackle by Sammy Knight),2.900,4.170
2,12:17,1,10,JAX 21,17,17,Reggie Bush right guard for no gain (tackle by Rob Meier and John Henderson),4.170,3.630
2,11:41,2,10,JAX 21,17,17,"Drew Brees sacked by Paul Spicer for -10 yards. Drew Brees fumbles (forced by Paul Spicer), recovered by Paul Spicer at JAX-31 (tackle by Jon Stinchcomb). Penalty on Jon Stinchcomb: Offensive Holding (Declined)",3.630,-1.000
2,11:34,1,10,JAX 31,17,17,Quinn Gray pass complete short middle to Marcedes Lewis for 18 yards (tackle by Josh Bullocks),1.000,2.190
2,10:55,1,10,JAX 49,17,17,Fred Taylor right guard for 1 yard (tackle by Brian Simmons and Charles Grant),2.190,1.780
2,10:12,2,9,,17,17,Quinn Gray pass incomplete deep middle intended for Matt Jones,1.780,1.090
2,10:07,3,9,,17,17,Quinn Gray pass incomplete short left intended for Ernest Wilford,1.090,-0.060
2,10:01,4,9,,17,17,Adam Podlesh punts 25 yards,-0.060,-0.610
2,9:49,1,10,NOR 25,17,17,Drew Brees pass complete short right to Eric Johnson for no gain,0.610,0.060
2,9:17,2,10,NOR 25,17,17,Drew Brees pass complete short right to Marques Colston for 10 yards (tackle by Reggie Nelson),0.060,1.270
2,8:42,1,10,NOR 35,17,17,Reggie Bush left guard for 7 yards (tackle by Aaron Glenn),1.270,1.670
2,8:12,2,3,NOR 42,17,17,Drew Brees pass complete short right to Lance Moore for 5 yards (tackle by Rashean Mathis),1.670,2.060
2,7:44,1,10,NOR 47,17,17,Drew Brees pass complete short middle to Marques Colston for 14 yards (tackle by Reggie Nelson). Penalty on Marcus Stroud: Defensive Offside (Declined),2.060,2.980
2,7:22,1,10,JAX 39,17,17,Aaron Stecker left guard for 3 yards (tackle by Mike Peterson),2.980,2.850
2,6:47,2,7,JAX 36,17,17,Drew Brees pass complete short right to Devery Henderson for 15 yards (tackle by Rashean Mathis),2.850,4.170
2,6:19,1,10,JAX 21,17,17,Drew Brees pass complete short left to Marques Colston for 13 yards (tackle by Aaron Glenn),4.170,5.370
2,5:37,1,8,JAX 8,17,23,"Drew Brees pass complete short middle to Lance Moore for 8 yards, touchdown",5.370,7.000
2,,,,JAX 2,17,24,Olindo Mare kicks extra point good,0.000,0.000
2,,,,NOR 30,17,24,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
2,5:31,1,10,JAX 20,17,24,Maurice Jones-Drew left end for 11 yards (tackle by Mike McKenzie),0.280,1.000
2,5:04,1,10,JAX 31,17,24,Fred Taylor right guard for 4 yards (tackle by Jason David and Mark Simoneau),1.000,1.000
2,4:21,2,6,JAX 35,17,24,Fred Taylor left guard for 1 yard (tackle by Josh Bullocks and Mark Simoneau),1.000,0.430
2,3:48,3,5,JAX 36,17,24,Quinn Gray pass incomplete short right intended for Dennis Northcutt (defended by Jason Craft),0.430,-0.980
2,3:43,4,5,JAX 36,17,24,"Adam Podlesh punts 41 yards, returned by Lance Moore for 4 yards (tackle by Scott Starks)",-0.980,-0.740
2,3:34,1,10,NOR 27,17,24,Reggie Bush left tackle for 4 yards (tackle by John Henderson and Sammy Knight),0.740,0.740
2,2:54,2,6,NOR 31,17,24,Drew Brees pass incomplete deep right intended for Devery Henderson,0.740,0.040
2,2:47,,,,17,24,Timeout #2 by New Orleans Saints,0.000,0.040
2,2:47,3,6,NOR 31,17,24,--,0.040,-1.310
2,2:40,4,6,NOR 31,17,24,"Steve Weatherford punts 49 yards, returned by Maurice Jones-Drew for no gain",-1.310,-0.280
2,2:29,1,10,JAX 20,17,24,"Quinn Gray pass incomplete. Penalty on Maurice Williams: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,2:23,1,20,JAX 10,17,24,Maurice Jones-Drew right tackle for 5 yards (tackle by Roman Harper),-0.760,-1.070
2,2:18,,,,17,24,Timeout #3 by New Orleans Saints,0.000,-1.070
2,2:18,2,15,JAX 15,17,24,Greg Jones left guard for -1 yards (tackle by Antwan Lake),-1.070,-2.030
2,2:00,3,16,JAX 14,17,24,Maurice Jones-Drew for 12 yards (tackle by Jason David),-2.030,-1.630
2,1:54,4,4,JAX 26,17,24,"Adam Podlesh punts 41 yards, returned by Reggie Bush for no gain. Reggie Bush fumbles, recovered by Kevin Kaesviharn at NOR-33 and returned for 2 yards (tackle by Scott Starks)",-1.630,-1.270
2,1:43,1,10,NOR 35,17,24,Drew Brees pass complete short left to David Patten for 36 yards (tackle by Reggie Nelson),1.270,3.640
2,1:35,1,10,JAX 29,17,24,Drew Brees pass complete short middle to Reggie Bush for no gain,3.640,3.100
2,1:08,2,10,JAX 29,17,24,Drew Brees pass incomplete,3.100,2.410
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
2,1:05,3,10,JAX 29,17,24,Reggie Bush up the middle for 5 yards (tackle by Sammy Knight),2.410,1.920
2,0:54,,,,17,24,Timeout #2 by Jacksonville Jaguars,0.000,1.920
2,0:54,4,5,JAX 24,17,24,Olindo Mare 43 yard field goal no good,1.920,-1.140
2,0:50,1,10,JAX 33,17,24,Quinn Gray pass incomplete deep left intended for John Broussard is intercepted by Jason David at NOR-24,1.140,-0.540
2,0:42,1,10,NOR 24,17,24,Drew Brees pass complete deep middle to Eric Johnson for 10 yards (tackle by Sammy Knight),0.540,1.200
2,0:25,1,10,NOR 34,17,24,Drew Brees pass complete deep middle to Marques Colston for 30 yards (tackle by Reggie Nelson),1.200,3.180
2,0:15,1,10,JAX 36,17,24,Drew Brees pass complete short left to Reggie Bush for 2 yards (tackle by Daryl Smith),3.180,2.910
2,0:08,2,8,JAX 34,17,24,Olindo Mare 52 yard field goal no good,2.910,-1.730
2,0:03,1,10,JAX 42,17,24,Quinn Gray kneels for -1 yards,1.730,1.050
Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 30,17,24,"Olindo Mare kicks off 74 yards, returned by Maurice Jones-Drew for 25 yards (tackle by Pierre Thomas)",0.000,0.340
3,14:54,1,10,JAX 21,17,24,Quinn Gray pass complete short left to Reggie Williams for 7 yards (tackle by Jason David),0.340,0.750
3,14:17,2,3,JAX 28,17,24,Fred Taylor left tackle for -1 yards (tackle by Hollis Thomas and Brian Simmons),0.750,-0.100
3,13:33,3,4,JAX 27,17,24,Quinn Gray pass complete short right to Ernest Wilford for 14 yards (tackle by Mike McKenzie),-0.100,1.660
3,12:58,1,10,JAX 41,17,24,Dennis Northcutt right end for 1 yard (tackle by Charles Grant),1.660,1.260
3,12:32,2,9,JAX 42,17,24,"Quinn Gray pass complete short left to Reggie Williams for 12 yards (tackle by Jason David). Penalty on Reggie Williams: Taunting, 15 yards",1.260,1.530
3,12:16,1,10,JAX 39,17,24,Quinn Gray pass complete deep middle to Marcedes Lewis for 21 yards (tackle by Brian Simmons),1.530,2.920
3,11:45,1,10,NOR 40,17,24,Fred Taylor right guard for 3 yards (tackle by Will Smith and Roman Harper),2.920,2.780
3,11:15,2,7,NOR 37,17,24,"Quinn Gray sacked by Mark Simoneau for -2 yards. Penalty on Vince Manuwai: Offensive Holding, 10 yards (no play)",2.780,1.430
3,10:34,2,17,NOR 47,17,24,Quinn Gray pass complete short right to Ernest Wilford for 9 yards (tackle by Josh Bullocks),1.430,1.950
3,9:47,3,8,NOR 38,17,24,Quinn Gray pass complete short middle to Reggie Williams for 4 yards (tackle by Jason Craft),1.950,1.080
3,9:01,4,4,NOR 34,17,30,"Quinn Gray pass incomplete short right intended for Ernest Wilford is intercepted by Mike McKenzie at NOR-25 and returned for 75 yards, touchdown",1.080,-7.000
3,,,,JAX 2,17,31,Olindo Mare kicks extra point good,0.000,0.000
3,,,,NOR 30,17,31,"Olindo Mare kicks off 68 yards, returned by Maurice Jones-Drew for 17 yards (tackle by Terrance Copper)",0.000,0.150
3,8:42,1,10,JAX 19,17,31,Fred Taylor right guard for 3 yards (tackle by Mark Simoneau),0.150,0.070
3,8:04,2,7,JAX 22,17,31,Quinn Gray pass complete short left to Marcedes Lewis for 5 yards (tackle by Jason David),0.070,-0.030
3,7:18,3,2,JAX 27,17,31,Quinn Gray right end for 1 yard (tackle by Will Smith),-0.030,-1.500
3,7:04,4,1,JAX 28,17,31,Adam Podlesh punts 39 yards,-1.500,-1.140
3,6:56,1,10,NOR 33,17,31,Reggie Bush right end for 7 yards (tackle by Rashean Mathis),1.140,1.540
3,6:15,2,3,NOR 40,17,31,Drew Brees pass complete short right to Mike Karney for 8 yards (tackle by Mike Peterson),1.540,2.130
3,5:45,1,10,NOR 48,17,31,Drew Brees pass complete short middle to Reggie Bush for 18 yards (tackle by Reggie Nelson),2.130,3.310
3,5:00,1,10,JAX 34,17,31,Drew Brees pass complete short right to Billy Miller for 4 yards (tackle by Clint Ingram),3.310,3.310
3,4:30,2,6,JAX 30,17,31,Aaron Stecker left guard for 8 yards (tackle by Sammy Knight),3.310,4.110
3,3:52,1,10,JAX 22,17,31,Reggie Bush right end for 1 yard (tackle by Rashean Mathis),4.110,3.700
3,3:19,2,9,JAX 21,17,31,Drew Brees pass complete short right to Marques Colston for 18 yards (tackle by Rashean Mathis),3.700,6.510
3,2:48,1,3,JAX 3,17,31,Reggie Bush left end for -1 yards (tackle by Brian Iwuh),6.510,5.340
3,2:09,2,4,JAX 4,17,37,"Drew Brees pass complete short left to David Patten for 4 yards, touchdown",5.340,7.000
3,,,,JAX 2,17,38,Olindo Mare kicks extra point good,0.000,0.000
3,,,,NOR 30,17,38,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
3,2:02,1,10,JAX 20,17,38,Quinn Gray pass complete short right to Marcedes Lewis for 2 yards (tackle by Scott Fujita),0.280,0.000
3,1:19,2,8,JAX 22,17,38,Fred Taylor left tackle for 5 yards (tackle by Renaldo Wynn and Josh Bullocks),0.000,-0.030
3,0:35,3,3,JAX 27,17,38,Fred Taylor up the middle for 13 yards (tackle by Josh Bullocks and Scott Fujita),-0.030,1.600
Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,JAX 40,17,38,Quinn Gray pass incomplete short left intended for Maurice Jones-Drew,1.600,1.050
4,14:57,2,10,JAX 40,17,38,Maurice Jones-Drew up the middle for -3 yards (tackle by Hollis Thomas),1.050,-0.030
4,14:18,3,13,JAX 37,17,38,Quinn Gray sacked by Renaldo Wynn and Josh Cooper for -4 yards,-0.030,-1.180
4,13:51,4,17,JAX 33,17,38,"Adam Podlesh punts 47 yards, returned by Lance Moore for 7 yards (tackle by Greg Jones)",-1.180,-0.740
4,13:39,1,10,NOR 27,17,38,Aaron Stecker right guard for 10 yards (tackle by Sammy Knight and Terry Cousin),0.740,1.400
4,12:57,1,10,NOR 37,17,38,Reggie Bush left end for no gain (tackle by Sammy Knight and Mike Peterson),1.400,0.860
4,12:16,2,10,NOR 37,17,38,Drew Brees pass incomplete,0.860,0.170
4,12:06,3,10,NOR 37,17,38,Drew Brees pass complete short left to Reggie Bush for 4 yards (tackle by Mike Peterson),0.170,-0.650
4,11:17,,,,17,38,Timeout #1 by New Orleans Saints,0.000,-0.650
4,11:17,4,6,NOR 41,17,38,"Steve Weatherford punts 45 yards, fair catch by Dennis Northcutt",-0.650,0.280
4,11:09,1,10,JAX 14,17,38,Quinn Gray pass complete short left to Reggie Williams for 15 yards (tackle by Roman Harper),-0.280,0.870
4,10:28,1,10,JAX 29,17,38,Quinn Gray pass complete deep middle to John Broussard for 56 yards (tackle by Mike McKenzie),0.870,4.580
4,9:41,1,10,NOR 15,23,38,"Quinn Gray pass complete short left to Dennis Northcutt for 15 yards, touchdown",4.580,7.000
4,,,,NOR 2,24,38,John Carney kicks extra point good,0.000,0.000
4,,,,JAX 30,24,38,"John Carney kicks off 60 yards, returned by Pierre Thomas for 20 yards (tackle by Chad Nkang)",0.000,0.940
4,9:27,1,10,NOR 30,24,38,Drew Brees pass complete short middle to Marques Colston for 8 yards (tackle by Reggie Nelson),0.940,1.470
4,9:05,2,2,NOR 38,24,38,Reggie Bush left guard for 1 yard (tackle by Rob Meier),1.470,0.890
4,8:23,3,1,NOR 39,24,38,Reggie Bush right guard for 6 yards (tackle by Kenneth Pettway),0.890,1.930
4,7:42,1,10,NOR 45,24,38,Drew Brees pass incomplete short left intended for Mike Karney,1.930,1.380
4,7:36,2,10,NOR 45,24,38,Reggie Bush right end for 6 yards (tackle by Rashean Mathis),1.380,1.490
4,6:49,,,,24,38,Timeout #2 by New Orleans Saints,0.000,1.490
4,6:49,3,4,JAX 49,24,38,Drew Brees pass complete short right to Reggie Bush for 6 yards (tackle by Daryl Smith),1.490,2.720
4,6:18,1,10,JAX 43,24,38,Aaron Stecker right tackle for 5 yards (tackle by Sammy Knight and Reggie Hayward),2.720,2.850
4,5:33,2,5,JAX 38,24,38,Drew Brees pass complete short left to Billy Miller for 14 yards (tackle by Aaron Glenn),2.850,3.970
4,4:48,1,10,JAX 24,24,38,Aaron Stecker right guard for no gain (tackle by Marcus Stroud),3.970,3.430
4,4:01,2,10,JAX 24,24,38,"Penalty on NOR: False Start, 5 yards (no play)",3.430,2.760
4,3:59,2,15,JAX 29,24,38,Aaron Stecker left guard for -2 yards (tackle by Sammy Knight),2.760,1.820
4,3:15,3,17,JAX 31,24,38,Drew Brees pass complete short middle to David Patten for 15 yards (tackle by Terry Cousin),1.820,2.500
4,3:05,,,,24,38,Timeout #1 by Jacksonville Jaguars,0.000,2.500
4,3:05,4,2,JAX 16,24,41,Olindo Mare 34 yard field goal good,2.500,3.000
4,,,,NOR 30,24,41,"Olindo Mare kicks off 73 yards, returned by John Broussard for 20 yards (tackle by Matt McCoy)",0.000,-0.060
4,2:56,1,10,JAX 17,24,41,Fred Taylor right guard for 6 yards (tackle by Josh Bullocks and Jason Craft),-0.060,0.350
4,2:31,2,4,JAX 23,24,41,Quinn Gray pass incomplete short left intended for Reggie Williams,0.350,-0.490
4,2:26,3,4,JAX 23,24,41,Quinn Gray left end for 6 yards (tackle by Josh Cooper and Jason David),-0.490,0.870
4,2:00,1,10,JAX 29,24,41,Quinn Gray pass complete deep middle to Ernest Wilford for 23 yards (tackle by Roman Harper),0.870,2.390
4,1:34,1,10,NOR 48,24,41,Quinn Gray pass complete short middle to Maurice Jones-Drew for 9 yards (tackle by Jason Craft),2.390,3.060
4,1:01,2,1,NOR 39,24,41,Quinn Gray pass complete short left to Reggie Williams for 10 yards (tackle by Scott Fujita),3.060,3.640
4,0:49,1,10,NOR 29,24,41,Quinn Gray pass incomplete intended for Ernest Wilford,3.640,3.100
4,0:41,2,10,NOR 29,24,41,Quinn Gray pass incomplete deep right intended for Dennis Northcutt (defended by Mike McKenzie),3.100,2.410
4,0:31,3,10,NOR 29,24,41,Quinn Gray pass complete short middle to George Wrighster for 13 yards (tackle by Kevin Kaesviharn),2.410,4.510
4,0:25,,,,24,41,Timeout #2 by Jacksonville Jaguars,0.000,4.510
4,0:25,1,10,NOR 16,24,41,Quinn Gray sacked by Renaldo Wynn for -6 yards,4.510,3.150
4,0:17,,,,24,41,Timeout #3 by Jacksonville Jaguars,0.000,3.150
4,0:17,2,16,NOR 22,24,41,Quinn Gray pass incomplete deep right intended for Matt Jones is intercepted by Jason Craft and returned for 21 yards (tackle by Maurice Jones-Drew),3.150,0.280
4,0:07,1,10,NOR 14,24,41,Drew Brees kneels for -1 yards,-0.280,-0.850
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
