Quarter,Time,Tm,Detail,JAX,NOR
1.0,12:15,Saints,Olindo Mare 46 yard field goal,0,3
,8:33,Saints,Reggie Bush 1 yard rush (Olindo Mare kick),0,10
,7:32,Jaguars,Reggie Williams 80 yard pass from Quinn Gray (John Carney kick),7,10
,2:01,Jaguars,John Carney 30 yard field goal,10,10
,0:12,Saints,Reggie Bush 2 yard pass from Drew Brees (Olindo Mare kick),10,17
,0:00,Jaguars,Maurice Jones-Drew 100 yard kickoff return (John Carney kick),17,17
2.0,5:31,Saints,Lance Moore 8 yard pass from Drew Brees (Olindo Mare kick),17,24
3.0,8:47,Saints,Mike McKenzie 75 yard interception return (Olindo Mare kick),17,31
,2:02,Saints,David Patten 4 yard pass from Drew Brees (Olindo Mare kick),17,38
4.0,9:32,Jaguars,Dennis Northcutt 15 yard pass from Quinn Gray (John Carney kick),24,38
,3:01,Saints,Olindo Mare 34 yard field goal,24,41
