Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Kareem Hunt,KAN,19,121,1,7,43,2.3,78,4.1,4,4.8
Patrick Mahomes,KAN,3,7,1,1,7,2.3,0,0.0,0,
Spencer Ware,KAN,2,6,0,,3,1.5,3,1.5,0,
Tyreek Hill,KAN,1,2,0,0,2,2.0,0,0.0,0,
De'Anthony Thomas,KAN,1,6,0,0,6,6.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Phillip Lindsay,DEN,12,69,1,4,64,5.3,5,0.4,0,
Royce Freeman,DEN,8,67,1,4,24,3.0,43,5.4,4,2.0
Devontae Booker,DEN,1,5,0,1,5,5.0,0,0.0,0,
Emmanuel Sanders,DEN,1,18,0,1,14,14.0,4,4.0,1,1.0
