Quarter,Time,Tm,Detail,KAN,DEN
1.0,11:33,Broncos,Brandon McManus 42 yard field goal,0,3
,6:03,Chiefs,Harrison Butker 33 yard field goal,3,3
2.0,9:33,Chiefs,Patrick Mahomes 8 yard rush (Harrison Butker kick),10,3
,6:37,Broncos,Royce Freeman 14 yard rush (Brandon McManus kick),10,10
,0:00,Broncos,Brandon McManus 34 yard field goal,10,13
3.0,9:32,Chiefs,Harrison Butker 21 yard field goal,13,13
,2:05,Broncos,Phillip Lindsay 1 yard rush (Brandon McManus kick),13,20
4.0,12:47,Broncos,Brandon McManus 46 yard field goal,13,23
,6:27,Chiefs,Travis Kelce 2 yard pass from Patrick Mahomes (Harrison Butker kick),20,23
,1:39,Chiefs,Kareem Hunt 4 yard rush (Harrison Butker kick),27,23
