Unnamed: 0,KAN,DEN
First Downs,22,21
Rush-Yds-TDs,26-142-2,22-159-2
Cmp-Att-Yd-TD-INT,28-45-304-1-0,21-33-245-0-1
Sacked-Yards,1-0,4-19
Net Pass Yards,304,226
Total Yards,446,385
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,10-93,3-25
Third Down Conv.,7-15,2-11
Fourth Down Conv.,2-2,2-3
Time of Possession,35:02,24:58
