Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,16,71,1,2,45,2.8,26,1.6,2,8.0
Jameis Winston,NOR,6,26,0,3,15,2.5,11,1.8,0,
Kenny Stills,NOR,1,1,0,0,1,1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Antonio Gibson,WAS,20,60,2,6,32,1.6,28,1.4,1,20.0
Taylor Heinicke,WAS,5,40,0,2,39,7.8,1,0.2,0,
Jaret Patterson,WAS,4,13,0,2,6,1.5,7,1.8,1,4.0
J.D. McKissic,WAS,2,-1,0,,-2,-1.0,1,0.5,0,
DeAndre Carter,WAS,1,11,0,1,8,8.0,3,3.0,0,
Curtis Samuel,WAS,1,8,0,,7,7.0,1,1.0,0,
