Quarter,Time,Tm,Detail,NOR,WAS
1.0,12:27,Football Team,Dustin Hopkins 45 yard field goal,0,3
,11:13,Saints,Deonte Harty 72 yard pass from Jameis Winston (Cody Parkey kick),7,3
,4:55,Football Team,Dustin Hopkins 23 yard field goal,7,6
2.0,14:16,Football Team,Antonio Gibson 5 yard rush (Dustin Hopkins kick),7,13
,10:58,Saints,Alvin Kamara 23 yard rush (Cody Parkey kick failed),13,13
,0:00,Saints,Marquez Callaway 49 yard pass from Jameis Winston (Cody Parkey kick),20,13
3.0,1:53,Football Team,Dustin Hopkins 24 yard field goal,20,16
4.0,12:12,Saints,Marquez Callaway 12 yard pass from Jameis Winston (Cody Parkey kick),27,16
,7:51,Football Team,Antonio Gibson 1 yard rush (pass failed),27,22
,3:15,Saints,Alvin Kamara 19 yard pass from Jameis Winston (Cody Parkey kick failed),33,22
